Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Bihor, Anul 1998, Numar persoane, 638262
Total, Total, Total, Bihor, Anul 1999, Numar persoane, 636598
Total, Total, Total, Bihor, Anul 2000, Numar persoane, 635652
Total, Total, Total, Bihor, Anul 2001, Numar persoane, 633767
Total, Total, Total, Bihor, Anul 2002, Numar persoane, 631741
Total, Total, Total, Bihor, Anul 2003, Numar persoane, 629901
Total, Total, Total, Bihor, Anul 2004, Numar persoane, 627736
Total, Total, Total, Bihor, Anul 2005, Numar persoane, 626369
Total, Total, Total, Bihor, Anul 2006, Numar persoane, 626011
Total, Total, Total, Bihor, Anul 2007, Numar persoane, 625268
Total, Total, Total, Bihor, Anul 2008, Numar persoane, 625150
Total, Total, Total, Bihor, Anul 2009, Numar persoane, 624821
Total, Total, Total, Bihor, Anul 2010, Numar persoane, 624453
Total, Total, Total, Bihor, Anul 2011, Numar persoane, 623832
Total, Total, Total, Bihor, Anul 2012, Numar persoane, 623167
Total, Total, Total, Bihor, Anul 2013, Numar persoane, 622033
Total, Total, Total, Bihor, Anul 2014, Numar persoane, 620866
Total, Total, Total, Bihor, Anul 2016, Numar persoane, 618881
Total, Total, Total, Bihor, Anul 2017, Numar persoane, 617927
Total, Total, Total, Bistrita-Nasaud, Anul 1992, Numar persoane, 331028
Total, Total, Total, Bistrita-Nasaud, Anul 1993, Numar persoane, 331054
Total, Total, Total, Bistrita-Nasaud, Anul 1994, Numar persoane, 331347
Total, Total, Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 331348
Total, Total, Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 330947
Total, Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 330510
Total, Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 330073
Total, Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 329610
Total, Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 329659
Total, Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 329819
Total, Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 329985
Total, Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 330389
Total, Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 330481
Total, Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 330728
Total, Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 330796
Total, Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 330759
Total, Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 330840
Total, Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 331132
Total, Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 331365
Total, Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 330916
Total, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 330388
Total, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 330031
Total, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 329592
Total, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 329397
Total, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 328831
Total, Total, Total, Cluj, Anul 1992, Numar persoane, 733988
Total, Total, Total, Cluj, Anul 1993, Numar persoane, 731733
Total, Total, Total, Cluj, Anul 1994, Numar persoane, 730303
Total, Total, Total, Cluj, Anul 1995, Numar persoane, 728254
Total, Total, Total, Cluj, Anul 1996, Numar persoane, 725724
Total, Total, Total, Cluj, Anul 1997, Numar persoane, 723290
Total, Total, Total, Cluj, Anul 1998, Numar persoane, 721807
Total, Total, Total, Cluj, Anul 1999, Numar persoane, 720159
Total, Total, Total, Cluj, Anul 2000, Numar persoane, 719323
Total, Total, Total, Cluj, Anul 2001, Numar persoane, 718040
Total, Total, Total, Cluj, Anul 2002, Numar persoane, 714542
Total, Total, Total, Cluj, Anul 2003, Numar persoane, 711101
Total, Total, Total, Cluj, Anul 2004, Numar persoane, 709280
Total, Total, Total, Cluj, Anul 2005, Numar persoane, 707144
Total, Total, Total, Cluj, Anul 2006, Numar persoane, 706733
