Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, MACROREGIUNEA DOI, Anul 1992, Numar persoane, 6859799
Total, Total, Total, MACROREGIUNEA DOI, Anul 1993, Numar persoane, 6857817
Total, Total, Total, MACROREGIUNEA DOI, Anul 1994, Numar persoane, 6863140
Total, Total, Total, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 6861918
Total, Total, Total, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 6855896
Total, Total, Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 6850029
Total, Total, Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 6857817
Total, Total, Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 6863422
Total, Total, Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 6872856
Total, Total, Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 6879506
Total, Total, Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 6877626
Total, Total, Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 6871045
Total, Total, Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 6863021
Total, Total, Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 6859621
Total, Total, Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 6854152
Total, Total, Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 6846405
Total, Total, Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 6838240
Total, Total, Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 6831499
Total, Total, Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 6821774
Total, Total, Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 6802765
Total, Total, Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 6796170
Total, Total, Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 6796151
Total, Total, Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 6800755
Total, Total, Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 6798578
Total, Total, Total, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 6794380
Total, Total, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 3858284
Total, Total, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 3856087
Total, Total, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 3860284
Total, Total, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 3862825
Total, Total, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 3861527
Total, Total, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 3860989
Total, Total, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 3869563
Total, Total, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 3877771
Total, Total, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 3887580
Total, Total, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 3897301
Total, Total, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 3900399
Total, Total, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 3899783
Total, Total, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 3897760
Total, Total, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 3898098
Total, Total, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 3897122
Total, Total, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 3894239
Total, Total, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 3891566
Total, Total, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 3889806
Total, Total, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 3886149
Total, Total, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 3878101
Total, Total, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 3880698
Total, Total, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 3890888
Total, Total, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 3908257
Total, Total, Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 3932740
Total, Total, Total, Regiunea NORD-EST, Anul 2017, Numar persoane, 3944891
Total, Total, Total, Bacau, Anul 1992, Numar persoane, 751660
Total, Total, Total, Bacau, Anul 1993, Numar persoane, 752073
Total, Total, Total, Bacau, Anul 1994, Numar persoane, 753499
Total, Total, Total, Bacau, Anul 1995, Numar persoane, 754382
Total, Total, Total, Bacau, Anul 1996, Numar persoane, 754517
Total, Total, Total, Bacau, Anul 1997, Numar persoane, 754923
Total, Total, Total, Bacau, Anul 1998, Numar persoane, 756543
Total, Total, Total, Bacau, Anul 1999, Numar persoane, 758410
Total, Total, Total, Bacau, Anul 2000, Numar persoane, 760001
Total, Total, Total, Bacau, Anul 2001, Numar persoane, 761776
Total, Total, Total, Bacau, Anul 2002, Numar persoane, 762233
Total, Total, Total, Bacau, Anul 2003, Numar persoane, 761746
Total, Total, Total, Bacau, Anul 2004, Numar persoane, 761196
Total, Total, Total, Bacau, Anul 2005, Numar persoane, 761624
Total, Total, Total, Bacau, Anul 2006, Numar persoane, 761003
Total, Total, Total, Bacau, Anul 2007, Numar persoane, 760120
Total, Total, Total, Bacau, Anul 2008, Numar persoane, 759457
Total, Total, Total, Bacau, Anul 2009, Numar persoane, 758097
Total, Total, Total, Bacau, Anul 2010, Numar persoane, 756322
Total, Total, Total, Bacau, Anul 2011, Numar persoane, 753619
Total, Total, Total, Bacau, Anul 2012, Numar persoane, 751919
Total, Total, Total, Bacau, Anul 2013, Numar persoane, 750094
Total, Total, Total, Bacau, Anul 2014, Numar persoane, 748402
Total, Total, Total, Bacau, Anul 2016, Numar persoane, 746524
Total, Total, Total, Bacau, Anul 2017, Numar persoane, 744838
Total, Total, Total, Botosani, Anul 1992, Numar persoane, 486853
Total, Total, Total, Botosani, Anul 1993, Numar persoane, 484509
Total, Total, Total, Botosani, Anul 1994, Numar persoane, 483480
Total, Total, Total, Botosani, Anul 1995, Numar persoane, 482755
Total, Total, Total, Botosani, Anul 1996, Numar persoane, 481306
Total, Total, Total, Botosani, Anul 1997, Numar persoane, 479915
Total, Total, Total, Botosani, Anul 1998, Numar persoane, 480119
Total, Total, Total, Botosani, Anul 1999, Numar persoane, 480367
Total, Total, Total, Botosani, Anul 2000, Numar persoane, 480810
Total, Total, Total, Botosani, Anul 2001, Numar persoane, 481251
Total, Total, Total, Botosani, Anul 2002, Numar persoane, 481269
Total, Total, Total, Botosani, Anul 2003, Numar persoane, 480849
Total, Total, Total, Botosani, Anul 2004, Numar persoane, 480508
Total, Total, Total, Botosani, Anul 2005, Numar persoane, 479809
Total, Total, Total, Botosani, Anul 2006, Numar persoane, 478476
Total, Total, Total, Botosani, Anul 2007, Numar persoane, 476323
Total, Total, Total, Botosani, Anul 2008, Numar persoane, 474211
Total, Total, Total, Botosani, Anul 2009, Numar persoane, 472191
Total, Total, Total, Botosani, Anul 2010, Numar persoane, 469724
Total, Total, Total, Botosani, Anul 2011, Numar persoane, 466701
Total, Total, Total, Botosani, Anul 2012, Numar persoane, 464590
Total, Total, Total, Botosani, Anul 2013, Numar persoane, 462581
Total, Total, Total, Botosani, Anul 2014, Numar persoane, 460065
Total, Total, Total, Botosani, Anul 2016, Numar persoane, 455158
Total, Total, Total, Botosani, Anul 2017, Numar persoane, 453432
Total, Total, Total, Iasi, Anul 1992, Numar persoane, 823129
Total, Total, Total, Iasi, Anul 1993, Numar persoane, 823217
Total, Total, Total, Iasi, Anul 1994, Numar persoane, 825068
Total, Total, Total, Iasi, Anul 1995, Numar persoane, 826298
Total, Total, Total, Iasi, Anul 1996, Numar persoane, 827667
Total, Total, Total, Iasi, Anul 1997, Numar persoane, 829262
Total, Total, Total, Iasi, Anul 1998, Numar persoane, 833621
Total, Total, Total, Iasi, Anul 1999, Numar persoane, 837614
Total, Total, Total, Iasi, Anul 2000, Numar persoane, 841670
Total, Total, Total, Iasi, Anul 2001, Numar persoane, 845586
Total, Total, Total, Iasi, Anul 2002, Numar persoane, 848139
Total, Total, Total, Iasi, Anul 2003, Numar persoane, 849845
Total, Total, Total, Iasi, Anul 2004, Numar persoane, 850246
Total, Total, Total, Iasi, Anul 2005, Numar persoane, 851076
Total, Total, Total, Iasi, Anul 2006, Numar persoane, 853392
Total, Total, Total, Iasi, Anul 2007, Numar persoane, 855977
Total, Total, Total, Iasi, Anul 2008, Numar persoane, 858706
Total, Total, Total, Iasi, Anul 2009, Numar persoane, 861586
Total, Total, Total, Iasi, Anul 2010, Numar persoane, 863952
Total, Total, Total, Iasi, Anul 2011, Numar persoane, 865586
Total, Total, Total, Iasi, Anul 2012, Numar persoane, 872347
Total, Total, Total, Iasi, Anul 2013, Numar persoane, 885252
Total, Total, Total, Iasi, Anul 2014, Numar persoane, 901590
Total, Total, Total, Iasi, Anul 2016, Numar persoane, 925583
Total, Total, Total, Iasi, Anul 2017, Numar persoane, 935051
Total, Total, Total, Neamt, Anul 1992, Numar persoane, 598701
Total, Total, Total, Neamt, Anul 1993, Numar persoane, 598844
Total, Total, Total, Neamt, Anul 1994, Numar persoane, 599735
Total, Total, Total, Neamt, Anul 1995, Numar persoane, 599872
Total, Total, Total, Neamt, Anul 1996, Numar persoane, 598638
Total, Total, Total, Neamt, Anul 1997, Numar persoane, 597697
Total, Total, Total, Neamt, Anul 1998, Numar persoane, 597722
Total, Total, Total, Neamt, Anul 1999, Numar persoane, 598017
Total, Total, Total, Neamt, Anul 2000, Numar persoane, 598484
Total, Total, Total, Neamt, Anul 2001, Numar persoane, 598760
Total, Total, Total, Neamt, Anul 2002, Numar persoane, 598443
Total, Total, Total, Neamt, Anul 2003, Numar persoane, 597615
Total, Total, Total, Neamt, Anul 2004, Numar persoane, 596781
Total, Total, Total, Neamt, Anul 2005, Numar persoane, 596087
Total, Total, Total, Neamt, Anul 2006, Numar persoane, 594751
Total, Total, Total, Neamt, Anul 2007, Numar persoane, 593062
Total, Total, Total, Neamt, Anul 2008, Numar persoane, 591737
Total, Total, Total, Neamt, Anul 2009, Numar persoane, 590692
Total, Total, Total, Neamt, Anul 2010, Numar persoane, 589571
Total, Total, Total, Neamt, Anul 2011, Numar persoane, 587473
Total, Total, Total, Neamt, Anul 2012, Numar persoane, 585622
Total, Total, Total, Neamt, Anul 2013, Numar persoane, 583519
Total, Total, Total, Neamt, Anul 2014, Numar persoane, 580933
Total, Total, Total, Neamt, Anul 2016, Numar persoane, 576521
Total, Total, Total, Neamt, Anul 2017, Numar persoane, 573495
Total, Total, Total, Suceava, Anul 1992, Numar persoane, 715075
Total, Total, Total, Suceava, Anul 1993, Numar persoane, 716008
Total, Total, Total, Suceava, Anul 1994, Numar persoane, 717685
Total, Total, Total, Suceava, Anul 1995, Numar persoane, 719204
Total, Total, Total, Suceava, Anul 1996, Numar persoane, 719848
Total, Total, Total, Suceava, Anul 1997, Numar persoane, 720781
Total, Total, Total, Suceava, Anul 1998, Numar persoane, 721968
Total, Total, Total, Suceava, Anul 1999, Numar persoane, 723533
Total, Total, Total, Suceava, Anul 2000, Numar persoane, 725688
Total, Total, Total, Suceava, Anul 2001, Numar persoane, 728603
Total, Total, Total, Suceava, Anul 2002, Numar persoane, 729393
Total, Total, Total, Suceava, Anul 2003, Numar persoane, 729939
Total, Total, Total, Suceava, Anul 2004, Numar persoane, 730439
Total, Total, Total, Suceava, Anul 2005, Numar persoane, 731562
Total, Total, Total, Suceava, Anul 2006, Numar persoane, 732794
Total, Total, Total, Suceava, Anul 2007, Numar persoane, 733425
Total, Total, Total, Suceava, Anul 2008, Numar persoane, 734285
Total, Total, Total, Suceava, Anul 2009, Numar persoane, 735548
Total, Total, Total, Suceava, Anul 2010, Numar persoane, 736921
Total, Total, Total, Suceava, Anul 2011, Numar persoane, 737710
Total, Total, Total, Suceava, Anul 2012, Numar persoane, 738982
Total, Total, Total, Suceava, Anul 2013, Numar persoane, 740323
Total, Total, Total, Suceava, Anul 2014, Numar persoane, 740861
Total, Total, Total, Suceava, Anul 2016, Numar persoane, 746192
Total, Total, Total, Suceava, Anul 2017, Numar persoane, 749728
Total, Total, Total, Vaslui, Anul 1992, Numar persoane, 482866
Total, Total, Total, Vaslui, Anul 1993, Numar persoane, 481436
Total, Total, Total, Vaslui, Anul 1994, Numar persoane, 480817
Total, Total, Total, Vaslui, Anul 1995, Numar persoane, 480314
Total, Total, Total, Vaslui, Anul 1996, Numar persoane, 479551
Total, Total, Total, Vaslui, Anul 1997, Numar persoane, 478411
Total, Total, Total, Vaslui, Anul 1998, Numar persoane, 479590
Total, Total, Total, Vaslui, Anul 1999, Numar persoane, 479830
Total, Total, Total, Vaslui, Anul 2000, Numar persoane, 480927
Total, Total, Total, Vaslui, Anul 2001, Numar persoane, 481325
Total, Total, Total, Vaslui, Anul 2002, Numar persoane, 480922
Total, Total, Total, Vaslui, Anul 2003, Numar persoane, 479789
Total, Total, Total, Vaslui, Anul 2004, Numar persoane, 478590
Total, Total, Total, Vaslui, Anul 2005, Numar persoane, 477940
Total, Total, Total, Vaslui, Anul 2006, Numar persoane, 476706
Total, Total, Total, Vaslui, Anul 2007, Numar persoane, 475332
Total, Total, Total, Vaslui, Anul 2008, Numar persoane, 473170
Total, Total, Total, Vaslui, Anul 2009, Numar persoane, 471692
Total, Total, Total, Vaslui, Anul 2010, Numar persoane, 469659
Total, Total, Total, Vaslui, Anul 2011, Numar persoane, 467012
Total, Total, Total, Vaslui, Anul 2012, Numar persoane, 467238
Total, Total, Total, Vaslui, Anul 2013, Numar persoane, 469119
Total, Total, Total, Vaslui, Anul 2014, Numar persoane, 476406
Total, Total, Total, Vaslui, Anul 2016, Numar persoane, 482762
Total, Total, Total, Vaslui, Anul 2017, Numar persoane, 488347
Total, Total, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 3001515
Total, Total, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 3001730
Total, Total, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 3002856
Total, Total, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 2999093
Total, Total, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 2994369
Total, Total, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 2989040
Total, Total, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 2988254
Total, Total, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 2985651
Total, Total, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 2985276
Total, Total, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 2982205
Total, Total, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 2977227
Total, Total, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 2971262
Total, Total, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 2965261
Total, Total, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 2961523
Total, Total, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 2957030
Total, Total, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 2952166
Total, Total, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 2946674
Total, Total, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 2941693
Total, Total, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 2935625
Total, Total, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 2924664
Total, Total, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 2915472
Total, Total, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 2905263
Total, Total, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 2892498
Total, Total, Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 2865838
Total, Total, Total, Regiunea SUD-EST, Anul 2017, Numar persoane, 2849489
Total, Total, Total, Braila, Anul 1992, Numar persoane, 397416
Total, Total, Total, Braila, Anul 1993, Numar persoane, 396739
Total, Total, Total, Braila, Anul 1994, Numar persoane, 396696
Total, Total, Total, Braila, Anul 1995, Numar persoane, 396256
Total, Total, Total, Braila, Anul 1996, Numar persoane, 395505
Total, Total, Total, Braila, Anul 1997, Numar persoane, 394823
Total, Total, Total, Braila, Anul 1998, Numar persoane, 394605
Total, Total, Total, Braila, Anul 1999, Numar persoane, 393539
Total, Total, Total, Braila, Anul 2000, Numar persoane, 392559
Total, Total, Total, Braila, Anul 2001, Numar persoane, 391153
Total, Total, Total, Braila, Anul 2002, Numar persoane, 389908
Total, Total, Total, Braila, Anul 2003, Numar persoane, 388148
Total, Total, Total, Braila, Anul 2004, Numar persoane, 386041
Total, Total, Total, Braila, Anul 2005, Numar persoane, 384686
Total, Total, Total, Braila, Anul 2006, Numar persoane, 383037
Total, Total, Total, Braila, Anul 2007, Numar persoane, 380764
Total, Total, Total, Braila, Anul 2008, Numar persoane, 378202
Total, Total, Total, Braila, Anul 2009, Numar persoane, 376145
Total, Total, Total, Braila, Anul 2010, Numar persoane, 373941
Total, Total, Total, Braila, Anul 2011, Numar persoane, 370805
Total, Total, Total, Braila, Anul 2012, Numar persoane, 367771
Total, Total, Total, Braila, Anul 2013, Numar persoane, 364644
Total, Total, Total, Braila, Anul 2014, Numar persoane, 361218
Total, Total, Total, Braila, Anul 2016, Numar persoane, 354467
Total, Total, Total, Braila, Anul 2017, Numar persoane, 350874
Total, Total, Total, Buzau, Anul 1992, Numar persoane, 531449
Total, Total, Total, Buzau, Anul 1993, Numar persoane, 529233
Total, Total, Total, Buzau, Anul 1994, Numar persoane, 527823
Total, Total, Total, Buzau, Anul 1995, Numar persoane, 526117
Total, Total, Total, Buzau, Anul 1996, Numar persoane, 523822
Total, Total, Total, Buzau, Anul 1997, Numar persoane, 521433
Total, Total, Total, Buzau, Anul 1998, Numar persoane, 519652
Total, Total, Total, Buzau, Anul 1999, Numar persoane, 517909
Total, Total, Total, Buzau, Anul 2000, Numar persoane, 517399
Total, Total, Total, Buzau, Anul 2001, Numar persoane, 515604
Total, Total, Total, Buzau, Anul 2002, Numar persoane, 514033
Total, Total, Total, Buzau, Anul 2003, Numar persoane, 512073
Total, Total, Total, Buzau, Anul 2004, Numar persoane, 510108
Total, Total, Total, Buzau, Anul 2005, Numar persoane, 507986
Total, Total, Total, Buzau, Anul 2006, Numar persoane, 505803
Total, Total, Total, Buzau, Anul 2007, Numar persoane, 503833
Total, Total, Total, Buzau, Anul 2008, Numar persoane, 501614
Total, Total, Total, Buzau, Anul 2009, Numar persoane, 499746
Total, Total, Total, Buzau, Anul 2010, Numar persoane, 497418
Total, Total, Total, Buzau, Anul 2011, Numar persoane, 494172
Total, Total, Total, Buzau, Anul 2012, Numar persoane, 491376
Total, Total, Total, Buzau, Anul 2013, Numar persoane, 488108
Total, Total, Total, Buzau, Anul 2014, Numar persoane, 484524
Total, Total, Total, Buzau, Anul 2016, Numar persoane, 477071
Total, Total, Total, Buzau, Anul 2017, Numar persoane, 472743
Total, Total, Total, Constanta, Anul 1992, Numar persoane, 742015
Total, Total, Total, Constanta, Anul 1993, Numar persoane, 746324
Total, Total, Total, Constanta, Anul 1994, Numar persoane, 749472
Total, Total, Total, Constanta, Anul 1995, Numar persoane, 750390
Total, Total, Total, Constanta, Anul 1996, Numar persoane, 751126
Total, Total, Total, Constanta, Anul 1997, Numar persoane, 751408
Total, Total, Total, Constanta, Anul 1998, Numar persoane, 753023
Total, Total, Total, Constanta, Anul 1999, Numar persoane, 754134
Total, Total, Total, Constanta, Anul 2000, Numar persoane, 755060
Total, Total, Total, Constanta, Anul 2001, Numar persoane, 756381
Total, Total, Total, Constanta, Anul 2002, Numar persoane, 756993
Total, Total, Total, Constanta, Anul 2003, Numar persoane, 757653
Total, Total, Total, Constanta, Anul 2004, Numar persoane, 758606
Total, Total, Total, Constanta, Anul 2005, Numar persoane, 760267
Total, Total, Total, Constanta, Anul 2006, Numar persoane, 762016
Total, Total, Total, Constanta, Anul 2007, Numar persoane, 764198
Total, Total, Total, Constanta, Anul 2008, Numar persoane, 766658
Total, Total, Total, Constanta, Anul 2009, Numar persoane, 768683
Total, Total, Total, Constanta, Anul 2010, Numar persoane, 770432
Total, Total, Total, Constanta, Anul 2011, Numar persoane, 771223
Total, Total, Total, Constanta, Anul 2012, Numar persoane, 771376
Total, Total, Total, Constanta, Anul 2013, Numar persoane, 771338
Total, Total, Total, Constanta, Anul 2014, Numar persoane, 770783
Total, Total, Total, Constanta, Anul 2016, Numar persoane, 769337
Total, Total, Total, Constanta, Anul 2017, Numar persoane, 768170
Total, Total, Total, Galati, Anul 1992, Numar persoane, 652082
Total, Total, Total, Galati, Anul 1993, Numar persoane, 652624
Total, Total, Total, Galati, Anul 1994, Numar persoane, 653338
Total, Total, Total, Galati, Anul 1995, Numar persoane, 652953
Total, Total, Total, Galati, Anul 1996, Numar persoane, 652114
Total, Total, Total, Galati, Anul 1997, Numar persoane, 651830
Total, Total, Total, Galati, Anul 1998, Numar persoane, 652622
Total, Total, Total, Galati, Anul 1999, Numar persoane, 653265
Total, Total, Total, Galati, Anul 2000, Numar persoane, 654423
Total, Total, Total, Galati, Anul 2001, Numar persoane, 654154
Total, Total, Total, Galati, Anul 2002, Numar persoane, 653311
Total, Total, Total, Galati, Anul 2003, Numar persoane, 651875
Total, Total, Total, Galati, Anul 2004, Numar persoane, 650087
Total, Total, Total, Galati, Anul 2005, Numar persoane, 649072
Total, Total, Total, Galati, Anul 2006, Numar persoane, 647828
Total, Total, Total, Galati, Anul 2007, Numar persoane, 646219
Total, Total, Total, Galati, Anul 2008, Numar persoane, 644483
Total, Total, Total, Galati, Anul 2009, Numar persoane, 642968
Total, Total, Total, Galati, Anul 2010, Numar persoane, 641616
Total, Total, Total, Galati, Anul 2011, Numar persoane, 639173
Total, Total, Total, Galati, Anul 2012, Numar persoane, 638196
Total, Total, Total, Galati, Anul 2013, Numar persoane, 637292
Total, Total, Total, Galati, Anul 2014, Numar persoane, 635559
Total, Total, Total, Galati, Anul 2016, Numar persoane, 630683
Total, Total, Total, Galati, Anul 2017, Numar persoane, 628146
Total, Total, Total, Tulcea, Anul 1992, Numar persoane, 271063
Total, Total, Total, Tulcea, Anul 1993, Numar persoane, 270105
Total, Total, Total, Tulcea, Anul 1994, Numar persoane, 269365
Total, Total, Total, Tulcea, Anul 1995, Numar persoane, 268308
Total, Total, Total, Tulcea, Anul 1996, Numar persoane, 267625
Total, Total, Total, Tulcea, Anul 1997, Numar persoane, 266460
Total, Total, Total, Tulcea, Anul 1998, Numar persoane, 265812
Total, Total, Total, Tulcea, Anul 1999, Numar persoane, 264810
Total, Total, Total, Tulcea, Anul 2000, Numar persoane, 264012
Total, Total, Total, Tulcea, Anul 2001, Numar persoane, 263320
Total, Total, Total, Tulcea, Anul 2002, Numar persoane, 262213
Total, Total, Total, Tulcea, Anul 2003, Numar persoane, 261071
Total, Total, Total, Tulcea, Anul 2004, Numar persoane, 260078
Total, Total, Total, Tulcea, Anul 2005, Numar persoane, 259504
Total, Total, Total, Tulcea, Anul 2006, Numar persoane, 258675
Total, Total, Total, Tulcea, Anul 2007, Numar persoane, 257700
Total, Total, Total, Tulcea, Anul 2008, Numar persoane, 256526
Total, Total, Total, Tulcea, Anul 2009, Numar persoane, 255346
Total, Total, Total, Tulcea, Anul 2010, Numar persoane, 254067
Total, Total, Total, Tulcea, Anul 2011, Numar persoane, 252128
Total, Total, Total, Tulcea, Anul 2012, Numar persoane, 250653
Total, Total, Total, Tulcea, Anul 2013, Numar persoane, 249017
Total, Total, Total, Tulcea, Anul 2014, Numar persoane, 247111
Total, Total, Total, Tulcea, Anul 2016, Numar persoane, 243419
Total, Total, Total, Tulcea, Anul 2017, Numar persoane, 241061
Total, Total, Total, Vrancea, Anul 1992, Numar persoane, 407490
Total, Total, Total, Vrancea, Anul 1993, Numar persoane, 406705
Total, Total, Total, Vrancea, Anul 1994, Numar persoane, 406162
Total, Total, Total, Vrancea, Anul 1995, Numar persoane, 405069
Total, Total, Total, Vrancea, Anul 1996, Numar persoane, 404177
Total, Total, Total, Vrancea, Anul 1997, Numar persoane, 403086
Total, Total, Total, Vrancea, Anul 1998, Numar persoane, 402540
Total, Total, Total, Vrancea, Anul 1999, Numar persoane, 401994
Total, Total, Total, Vrancea, Anul 2000, Numar persoane, 401823
Total, Total, Total, Vrancea, Anul 2001, Numar persoane, 401593
Total, Total, Total, Vrancea, Anul 2002, Numar persoane, 400769
Total, Total, Total, Vrancea, Anul 2003, Numar persoane, 400442
Total, Total, Total, Vrancea, Anul 2004, Numar persoane, 400341
Total, Total, Total, Vrancea, Anul 2005, Numar persoane, 400008
Total, Total, Total, Vrancea, Anul 2006, Numar persoane, 399671
Total, Total, Total, Vrancea, Anul 2007, Numar persoane, 399452
Total, Total, Total, Vrancea, Anul 2008, Numar persoane, 399191
Total, Total, Total, Vrancea, Anul 2009, Numar persoane, 398805
Total, Total, Total, Vrancea, Anul 2010, Numar persoane, 398151
Total, Total, Total, Vrancea, Anul 2011, Numar persoane, 397163
Total, Total, Total, Vrancea, Anul 2012, Numar persoane, 396100
Total, Total, Total, Vrancea, Anul 2013, Numar persoane, 394864
Total, Total, Total, Vrancea, Anul 2014, Numar persoane, 393303
Total, Total, Total, Vrancea, Anul 2016, Numar persoane, 390861
Total, Total, Total, Vrancea, Anul 2017, Numar persoane, 388495
Total, Total, Total, MACROREGIUNEA TREI, Anul 1992, Numar persoane, 6036962
Total, Total, Total, MACROREGIUNEA TREI, Anul 1993, Numar persoane, 6030872
Total, Total, Total, MACROREGIUNEA TREI, Anul 1994, Numar persoane, 6022220
Total, Total, Total, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 6005078
Total, Total, Total, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 5978366
Total, Total, Total, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 5955453
Total, Total, Total, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 5938427
Total, Total, Total, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 5920419
Total, Total, Total, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 5912136
Total, Total, Total, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 5901643
Total, Total, Total, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 5886356
Total, Total, Total, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 5872800
Total, Total, Total, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 5862033
Total, Total, Total, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 5853181
Total, Total, Total, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 5848320
Total, Total, Total, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 5845758
Total, Total, Total, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 5847322
Total, Total, Total, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 5845871
Total, Total, Total, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 5843334
Total, Total, Total, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 5835464
Total, Total, Total, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 5826029
Total, Total, Total, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 5808149
Total, Total, Total, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 5771193
Total, Total, Total, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 5754312
Total, Total, Total, MACROREGIUNEA TREI, Anul 2017, Numar persoane, 5749191
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 3568374
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 3557489
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 3550053
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 3537937
