CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Municipiul Bucuresti, Anul 2015, Lei, 2696
TOTAL, Total, Municipiul Bucuresti, Anul 2016, Lei, 2925
TOTAL, Total, Municipiul Bucuresti, Anul 2017, Lei, 3272
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 1231
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 1287
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 1297
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 1331
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 1399
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 1467
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2014, Lei, 1574
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2015, Lei, 1717
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2016, Lei, 1887
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2017, Lei, 2154
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1260
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 1308
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 1299
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1330
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 1377
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 1433
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Lei, 1538
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Lei, 1622
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Lei, 1752
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Lei, 2034
TOTAL, Total, Dolj, Anul 2008, Lei, 1216
TOTAL, Total, Dolj, Anul 2009, Lei, 1302
TOTAL, Total, Dolj, Anul 2010, Lei, 1269
TOTAL, Total, Dolj, Anul 2011, Lei, 1332
TOTAL, Total, Dolj, Anul 2012, Lei, 1370
TOTAL, Total, Dolj, Anul 2013, Lei, 1465
TOTAL, Total, Dolj, Anul 2014, Lei, 1541
TOTAL, Total, Dolj, Anul 2015, Lei, 1672
TOTAL, Total, Dolj, Anul 2016, Lei, 1824
TOTAL, Total, Dolj, Anul 2017, Lei, 2128
TOTAL, Total, Gorj, Anul 2008, Lei, 1503
TOTAL, Total, Gorj, Anul 2009, Lei, 1490
TOTAL, Total, Gorj, Anul 2010, Lei, 1520
TOTAL, Total, Gorj, Anul 2011, Lei, 1528
TOTAL, Total, Gorj, Anul 2012, Lei, 1584
TOTAL, Total, Gorj, Anul 2013, Lei, 1608
TOTAL, Total, Gorj, Anul 2014, Lei, 1761
TOTAL, Total, Gorj, Anul 2015, Lei, 1782
TOTAL, Total, Gorj, Anul 2016, Lei, 1862
TOTAL, Total, Gorj, Anul 2017, Lei, 2137
TOTAL, Total, Mehedinti, Anul 2008, Lei, 1261
TOTAL, Total, Mehedinti, Anul 2009, Lei, 1296
TOTAL, Total, Mehedinti, Anul 2010, Lei, 1321
TOTAL, Total, Mehedinti, Anul 2011, Lei, 1298
TOTAL, Total, Mehedinti, Anul 2012, Lei, 1294
TOTAL, Total, Mehedinti, Anul 2013, Lei, 1367
TOTAL, Total, Mehedinti, Anul 2014, Lei, 1475
TOTAL, Total, Mehedinti, Anul 2015, Lei, 1544
TOTAL, Total, Mehedinti, Anul 2016, Lei, 1630
TOTAL, Total, Mehedinti, Anul 2017, Lei, 1897
TOTAL, Total, Olt, Anul 2008, Lei, 1192
TOTAL, Total, Olt, Anul 2009, Lei, 1263
TOTAL, Total, Olt, Anul 2010, Lei, 1214
TOTAL, Total, Olt, Anul 2011, Lei, 1225
TOTAL, Total, Olt, Anul 2012, Lei, 1317
TOTAL, Total, Olt, Anul 2013, Lei, 1379
TOTAL, Total, Olt, Anul 2014, Lei, 1558
TOTAL, Total, Olt, Anul 2015, Lei, 1624
TOTAL, Total, Olt, Anul 2016, Lei, 1753
TOTAL, Total, Olt, Anul 2017, Lei, 2044
TOTAL, Total, Valcea, Anul 2008, Lei, 1162
TOTAL, Total, Valcea, Anul 2009, Lei, 1176
TOTAL, Total, Valcea, Anul 2010, Lei, 1190
TOTAL, Total, Valcea, Anul 2011, Lei, 1241
TOTAL, Total, Valcea, Anul 2012, Lei, 1282
TOTAL, Total, Valcea, Anul 2013, Lei, 1295
TOTAL, Total, Valcea, Anul 2014, Lei, 1337
TOTAL, Total, Valcea, Anul 2015, Lei, 1431
TOTAL, Total, Valcea, Anul 2016, Lei, 1601
TOTAL, Total, Valcea, Anul 2017, Lei, 1854
TOTAL, Total, Regiunea VEST, Anul 2008, Lei, 1207
TOTAL, Total, Regiunea VEST, Anul 2009, Lei, 1270
TOTAL, Total, Regiunea VEST, Anul 2010, Lei, 1295
TOTAL, Total, Regiunea VEST, Anul 2011, Lei, 1332
TOTAL, Total, Regiunea VEST, Anul 2012, Lei, 1416
TOTAL, Total, Regiunea VEST, Anul 2013, Lei, 1492
TOTAL, Total, Regiunea VEST, Anul 2014, Lei, 1601
TOTAL, Total, Regiunea VEST, Anul 2015, Lei, 1787
TOTAL, Total, Regiunea VEST, Anul 2016, Lei, 1985
TOTAL, Total, Regiunea VEST, Anul 2017, Lei, 2242
TOTAL, Total, Arad, Anul 2008, Lei, 1143
TOTAL, Total, Arad, Anul 2009, Lei, 1215
TOTAL, Total, Arad, Anul 2010, Lei, 1246
TOTAL, Total, Arad, Anul 2011, Lei, 1286
TOTAL, Total, Arad, Anul 2012, Lei, 1338
TOTAL, Total, Arad, Anul 2013, Lei, 1402
TOTAL, Total, Arad, Anul 2014, Lei, 1492
TOTAL, Total, Arad, Anul 2015, Lei, 1671
TOTAL, Total, Arad, Anul 2016, Lei, 1819
TOTAL, Total, Arad, Anul 2017, Lei, 2103
TOTAL, Total, Caras-Severin, Anul 2008, Lei, 1054
TOTAL, Total, Caras-Severin, Anul 2009, Lei, 1148
TOTAL, Total, Caras-Severin, Anul 2010, Lei, 1174
TOTAL, Total, Caras-Severin, Anul 2011, Lei, 1157
TOTAL, Total, Caras-Severin, Anul 2012, Lei, 1213
TOTAL, Total, Caras-Severin, Anul 2013, Lei, 1227
TOTAL, Total, Caras-Severin, Anul 2014, Lei, 1326
TOTAL, Total, Caras-Severin, Anul 2015, Lei, 1459
TOTAL, Total, Caras-Severin, Anul 2016, Lei, 1637
TOTAL, Total, Caras-Severin, Anul 2017, Lei, 1869
TOTAL, Total, Hunedoara, Anul 2008, Lei, 1157
TOTAL, Total, Hunedoara, Anul 2009, Lei, 1231
TOTAL, Total, Hunedoara, Anul 2010, Lei, 1204
TOTAL, Total, Hunedoara, Anul 2011, Lei, 1187
TOTAL, Total, Hunedoara, Anul 2012, Lei, 1289
TOTAL, Total, Hunedoara, Anul 2013, Lei, 1311
TOTAL, Total, Hunedoara, Anul 2014, Lei, 1393
TOTAL, Total, Hunedoara, Anul 2015, Lei, 1524
TOTAL, Total, Hunedoara, Anul 2016, Lei, 1600
TOTAL, Total, Hunedoara, Anul 2017, Lei, 1898
TOTAL, Total, Timis, Anul 2008, Lei, 1319
TOTAL, Total, Timis, Anul 2009, Lei, 1357
TOTAL, Total, Timis, Anul 2010, Lei, 1409
TOTAL, Total, Timis, Anul 2011, Lei, 1483
TOTAL, Total, Timis, Anul 2012, Lei, 1581
TOTAL, Total, Timis, Anul 2013, Lei, 1704
TOTAL, Total, Timis, Anul 2014, Lei, 1836
TOTAL, Total, Timis, Anul 2015, Lei, 2060
TOTAL, Total, Timis, Anul 2016, Lei, 2343
TOTAL, Total, Timis, Anul 2017, Lei, 2562
