--- REGION --- Interactions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
EU_EASTERN;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.1916;25.2153;25.2153;25.2153;25.2517;25.2517;25.2517;25.2517;25.2517
EU_NORTHERN;25.397;25.397;25.397;25.397;25.397;25.397;25.397;25.397;25.397;25.397;25.397;25.4031;25.4031;25.4031;25.4115;25.4115;25.4115;25.4115;25.4115
EU_SOUTHERN;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3053;25.3481;25.3481;25.3481;25.3913;25.3913;25.3913;25.3913;25.3913
EU_WESTERN;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3878;25.3948;25.3948;25.3948;25.3895;25.3895;25.3895;25.3895;25.3895
