--- REGION --- PMA ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
EU_EASTERN;61.3461;61.352;61.3889;61.4348;61.4627;61.4501;61.4244;61.4216;61.4129;61.4217;61.4547;61.4995;61.5442;61.6146;61.7003;61.7341;61.7529;61.7506;61.7842
EU_NORTHERN;61.8843;61.9067;61.9487;61.9931;62.0098;61.9135;61.8734;61.881;61.9134;61.9359;61.9702;61.9864;62.0126;62.0454;62.0979;62.133;62.1319;62.1535;62.1887
EU_SOUTHERN;61.4662;61.464;61.4881;61.5249;61.546;61.5156;61.4811;61.4507;61.4011;61.3664;61.3625;61.374;61.4066;61.4637;61.5367;61.593;61.6115;61.653;61.701
EU_WESTERN;61.9506;61.9533;61.9687;62.0005;62.0125;62.0123;62.0322;62.0609;62.0654;62.0745;62.0762;62.0841;62.1024;62.1259;62.1388;62.1735;62.1787;62.2197;62.2408
