--- REGION --- Health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
EU_EASTERN;74.9655;74.9634;74.9789;74.9702;75.0012;75.0274;75.0243;75.0124;75.0414;75.0479;75.0727;75.0794;75.1094;75.1167;75.1269;75.0924;75.0936;75.1044
EU_NORTHERN;75.3575;75.3539;75.3621;75.3615;75.3677;75.2803;75.2196;75.1883;75.186;75.1454;75.1199;75.1106;75.1023;75.0764;75.0762;75.0471;75.0527;75.0475
EU_SOUTHERN;74.7006;74.714;74.7361;74.7594;74.7776;74.7237;74.7242;74.7444;74.7584;74.7382;74.7748;74.792;74.8179;74.8307;74.8289;74.8063;74.8117;74.8056
EU_WESTERN;75.5709;75.5827;75.5898;75.4288;75.4463;75.6157;75.6126;75.6148;75.6277;75.618;75.6223;75.6116;75.6118;75.5998;75.5947;75.5743;75.5882;75.5842
