--- REGION --- safety ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;24.7253;24.7326;24.8798;24.9131;25.1867;25.1692;25.2311;25.232;25.1525;25.1956;25.3115;25.4251;25.5612;25.6872;25.8431;25.9173;25.9827;26.0815;26.0431;26.0505
EU_NORTHERN;26.259;26.2265;26.3394;26.5125;26.5713;26.4756;26.4348;26.3751;26.4266;26.4738;26.5062;26.6036;26.6373;26.6882;26.7293;26.7798;26.8123;26.8652;26.8306;26.8176
EU_SOUTHERN;26.5093;26.5185;26.556;26.5415;26.5475;26.4817;26.4288;26.3675;26.2845;26.2082;26.1899;26.2421;26.3445;26.4219;26.4623;26.5138;26.554;26.5856;26.597;26.6009
EU_WESTERN;28.1036;28.0871;28.0576;28.0179;28.0001;27.9459;27.9419;27.9689;27.9772;27.9777;27.9697;27.9849;28.0038;28.0415;28.0465;28.0505;28.0337;28.0502;28.0331;28.0081
