--- REGION --- health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;75.6166;75.6145;75.6277;75.625;75.6472;75.6722;75.6686;75.6571;75.6889;75.6978;75.7251;75.7292;75.7663;75.768;75.7835;75.7801;75.7806;75.7869;75.7924;75.791
EU_NORTHERN;75.8674;75.8634;75.8769;75.8829;75.8877;75.8043;75.7461;75.7145;75.7106;75.6667;75.6478;75.6337;75.6304;75.6007;75.5997;75.6209;75.6245;75.6173;75.5943;75.5822
EU_SOUTHERN;75.5473;75.5638;75.5901;75.6117;75.63;75.5763;75.5734;75.5941;75.6154;75.5935;75.6285;75.6395;75.6764;75.6868;75.6829;75.7003;75.7053;75.6941;75.6915;75.692
EU_WESTERN;76.1836;76.2018;76.2142;76.057;76.0688;76.2402;76.2363;76.2406;76.2551;76.2387;76.2425;76.2383;76.236;76.2226;76.2177;76.2174;76.2351;76.2315;76.2215;76.2217
