--- REGION --- qoli ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;32.8111;32.8115;32.8156;32.8191;32.8241;32.8244;32.8268;32.828;32.8281;32.8286;32.8323;32.8365;32.8418;32.8462;32.8588;32.8617;32.8644;32.866;32.8685;32.8701
EU_NORTHERN;32.9115;32.913;32.9153;32.9189;32.9213;32.9178;32.9167;32.9173;32.9196;32.9206;32.9217;32.9247;32.9269;32.9282;32.9333;32.9353;32.9358;32.9372;32.9378;32.9372
EU_SOUTHERN;32.8555;32.856;32.858;32.8589;32.8605;32.8581;32.8579;32.8578;32.8564;32.8543;32.855;32.8587;32.8623;32.867;32.8762;32.8795;32.8793;32.8814;32.8835;32.8837
EU_WESTERN;32.9613;32.9618;32.962;32.9602;32.9606;32.9625;32.9632;32.9654;32.9659;32.9667;32.9667;32.9672;32.9686;32.9695;32.9711;32.9717;32.9724;32.9737;32.9754;32.9746
