--- REGION --- mainActivity ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;66.2749;66.2808;66.3165;66.365;66.4045;66.3956;66.3661;66.3606;66.3497;66.3575;66.3921;66.4407;66.487;66.5632;66.6481;66.6846;66.7049;66.7039;66.7508;66.7661
EU_NORTHERN;66.8869;66.9081;66.9566;67.0039;67.0235;66.9174;66.8662;66.8682;66.9057;66.9278;66.9663;66.9861;67.0138;67.0492;67.1041;67.1422;67.142;67.1617;67.219;67.225
EU_SOUTHERN;66.4165;66.4159;66.4409;66.4776;66.5002;66.4707;66.43;66.3938;66.3393;66.2991;66.2924;66.3072;66.3426;66.4057;66.4827;66.5431;66.5635;66.6015;66.6612;66.693
EU_WESTERN;66.9632;66.9669;66.9801;67.0149;67.0315;67.0305;67.0486;67.0754;67.0823;67.0908;67.089;67.0988;67.1173;67.1424;67.1576;67.1928;67.196;67.2355;67.2788;67.2802
