--- REGION --- governance ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;25.0639;25.0616;25.0646;25.0724;25.0759;25.0728;25.0889;25.0877;25.0913;25.0951;25.0695;25.0697;25.072;25.0734;25.0791;25.1171;25.1333;25.1128;25.1204;25.1309
EU_NORTHERN;25.3424;25.3338;25.3455;25.3601;25.387;25.3499;25.358;25.3546;25.3715;25.3768;25.3454;25.3529;25.3573;25.362;25.3642;25.3578;25.3708;25.3445;25.3868;25.3979
EU_SOUTHERN;25.1647;25.1564;25.1687;25.1728;25.1908;25.1516;25.1676;25.1589;25.1752;25.1759;25.1514;25.1603;25.157;25.1622;25.1665;25.1627;25.1765;25.1472;25.1838;25.1956
EU_WESTERN;25.3726;25.362;25.3765;25.394;25.418;25.363;25.3661;25.3669;25.3913;25.4058;25.378;25.391;25.4056;25.4132;25.4183;25.4166;25.4383;25.3991;25.4474;25.4573
