--- REGION --- environment ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU_EASTERN;17.6632;17.6656;17.7093;17.7149;17.7588;17.7259;17.7983;17.8291;17.8678;17.8705;17.8964;17.9172;17.939;17.9521;17.9658;17.982;18.0097;18.0138;18.0141;18.0296
EU_NORTHERN;17.622;17.7186;17.6913;17.6965;17.7395;17.7971;17.8254;17.828;17.8576;17.8819;17.8818;17.9027;17.9032;17.8942;17.8783;17.8873;17.9011;17.895;17.8904;17.9068
EU_SOUTHERN;17.743;17.7308;17.7198;17.7194;17.7717;17.7597;17.7902;17.8002;17.8424;17.8474;17.8926;17.9278;17.9388;17.9554;17.9389;17.9445;17.9229;17.92;17.9149;17.9049
EU_WESTERN;17.8037;17.8197;17.8417;17.8476;17.8683;17.8892;17.9219;17.9242;17.9267;17.9249;17.9214;17.9193;17.9271;17.9181;17.906;17.9083;17.9618;17.96;17.9595;17.9207
