--- COUNTRY --- qoli ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;30.6755;30.6754;30.6797;30.6776;30.6758;30.6802;30.6794;30.6846;30.6915;30.6882;30.6896;30.6911;30.7054;30.7093;30.7219;30.7242;30.7258;30.732;30.7155;30.7117
BE;30.4639;30.4644;30.4709;30.4699;30.4752;30.4688;30.4696;30.4644;30.473;30.476;30.478;30.4801;30.4977;30.5048;30.5176;30.5156;30.5256;30.5321;30.549;30.5529
BG;29.5245;29.5195;29.5332;29.5352;29.6005;29.6188;29.6237;29.6081;29.6008;29.6182;29.6494;29.6585;29.6774;29.69;29.7799;29.7894;29.7891;29.8045;29.7027;29.7137
CY;30.1046;30.0932;30.0974;30.1134;30.1307;30.118;30.1046;30.0957;30.0969;30.0793;30.0772;30.0899;30.1076;30.1225;30.1422;30.1622;30.1672;30.1977;30.2201;30.2254
CZ;30.2021;30.208;30.2186;30.2358;30.247;30.2464;30.2603;30.2743;30.276;30.2753;30.2726;30.2806;30.3006;30.318;30.3552;30.364;30.3625;30.371;30.3648;30.3687
DE;30.5022;30.4975;30.4818;30.5012;30.5054;30.4967;30.5031;30.5127;30.5204;30.5232;30.5215;30.5282;30.5366;30.5404;30.5572;30.569;30.5765;30.5681;30.5821;30.578
DK;30.725;30.7186;30.7201;30.7332;30.7377;30.7287;30.7358;30.7415;30.7483;30.7551;30.7488;30.7523;30.7439;30.7428;30.7224;30.7237;30.7197;30.7148;30.7026;30.7055
EE;30.0878;30.1247;30.1496;30.1691;30.2133;30.2144;30.207;30.2334;30.2479;30.2527;30.2532;30.2729;30.2919;30.3022;30.3444;30.3646;30.379;30.3715;30.3837;30.384
EL;29.8783;29.8724;29.8937;29.8969;29.9139;29.9067;29.9009;29.8698;29.8471;29.8123;29.8159;29.8271;29.8467;29.8622;29.9349;29.9541;29.9549;29.9624;29.9843;29.9881
ES;30.2612;30.2917;30.3037;30.3127;30.3252;30.301;30.3052;30.3124;30.3085;30.2991;30.2945;30.3054;30.315;30.3343;30.3751;30.3985;30.3845;30.3868;30.3545;30.3578
FI;30.733;30.7269;30.7339;30.7396;30.7399;30.7388;30.7441;30.7482;30.751;30.7521;30.754;30.7527;30.7527;30.7546;30.7574;30.7621;30.757;30.7625;30.7916;30.783
FR;30.3882;30.3954;30.4017;30.3979;30.4013;30.3982;30.3943;30.4125;30.4152;30.4488;30.4481;30.4488;30.4478;30.447;30.4641;30.4769;30.4567;30.4537;30.3938;30.4004
HR;29.9565;29.9504;29.9594;29.9581;29.9519;29.9536;29.9549;29.9501;29.9513;29.9521;29.9641;29.9889;30.0109;30.0189;30.0727;30.1008;30.1058;30.1295;30.0841;30.1081
HU;29.9509;29.9478;29.9701;29.9653;29.9695;29.9379;29.9391;29.9988;29.9913;29.9987;29.9949;30.0383;30.0833;30.104;30.157;30.1629;30.1646;30.1659;30.2073;30.2225
IE;30.4846;30.4896;30.485;30.4938;30.4937;30.4762;30.4728;30.4663;30.4699;30.4684;30.4671;30.4815;30.535;30.5531;30.6014;30.6112;30.6072;30.6204;30.5471;30.5486
IT;30.1506;30.1467;30.155;30.1589;30.1642;30.1467;30.1548;30.1519;30.1588;30.1506;30.1473;30.1456;30.177;30.1949;30.2267;30.2323;30.2281;30.2277;30.1583;30.1811
LT;30.0562;30.0617;30.0827;30.1357;30.1529;30.1311;30.1159;30.1456;30.1532;30.1544;30.1799;30.1863;30.1958;30.2049;30.2119;30.2405;30.2503;30.2627;30.2806;30.2905
LU;30.7316;30.7256;30.7308;30.7327;30.7403;30.745;30.7527;30.7579;30.756;30.762;30.7527;30.7527;30.7409;30.7453;30.7385;30.7373;30.7328;30.7307;30.7418;30.7305
LV;29.9104;29.9128;29.9366;29.971;29.9907;29.9572;29.9522;29.9623;30.0075;30.0243;30.0087;30.0337;30.0596;30.0659;30.0809;30.0993;30.1111;30.1245;30.141;30.1401
MT;30.3024;30.3171;30.3171;30.3323;30.345;30.3192;30.3266;30.3364;30.3515;30.3591;30.3611;30.3805;30.3965;30.4195;30.4163;30.4133;30.4226;30.4279;30.4601;30.4701
NL;30.6012;30.5937;30.6068;30.6138;30.6236;30.608;30.6127;30.6219;30.6247;30.6251;30.6133;30.6183;30.6248;30.6332;30.6134;30.6153;30.6231;30.6325;30.6255;30.6245
PL;30.1249;30.1189;30.1374;30.1663;30.192;30.206;30.2207;30.2201;30.2231;30.2295;30.2381;30.2509;30.2721;30.2832;30.3124;30.3463;30.3567;30.3747;30.3569;30.3768
PT;30.1828;30.181;30.1929;30.1892;30.202;30.2046;30.2057;30.2524;30.2423;30.2351;30.2366;30.2437;30.263;30.2741;30.3119;30.3151;30.3163;30.3163;30.3657;30.3626
RO;29.5512;29.5574;29.5613;29.5718;29.608;29.6089;29.6123;29.6185;29.6202;29.6349;29.6433;29.6524;29.6666;29.694;29.7533;29.7961;29.7951;29.851;29.9205;29.93
SE;30.7767;30.7641;30.7599;30.7636;30.7651;30.7566;30.761;30.7591;30.7681;30.7706;30.7698;30.7728;30.769;30.7687;30.7686;30.7673;30.7623;30.761;30.7352;30.746
SI;30.4057;30.4044;30.4133;30.4167;30.411;30.4195;30.419;30.4382;30.4351;30.4347;30.4246;30.4295;30.4398;30.4472;30.451;30.4577;30.4621;30.4914;30.5139;30.512
SK;30.0808;30.0809;30.0992;30.1224;30.1274;30.1305;30.1465;30.1584;30.1537;30.1511;30.1495;30.1554;30.1569;30.1616;30.1897;30.2069;30.2125;30.2258;30.2658;30.2636
UK;30.5947;30.5913;30.5997;30.5915;30.5944;30.5749;30.5738;30.5585;30.5675;30.5716;30.5668;30.5749;30.5598;30.5738;30.5746;30.5718;30.5698;30.5593;30.5783;30.5799
