Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Bistrita-Nasaud, Anul 2001, Numar, 78
Bistrita-Nasaud, Anul 2002, Numar, 62
Bistrita-Nasaud, Anul 2003, Numar, 69
Bistrita-Nasaud, Anul 2004, Numar, 81
Bistrita-Nasaud, Anul 2005, Numar, 48
Bistrita-Nasaud, Anul 2006, Numar, 50
Bistrita-Nasaud, Anul 2007, Numar, 51
Bistrita-Nasaud, Anul 2008, Numar, 107
Bistrita-Nasaud, Anul 2009, Numar, 111
Bistrita-Nasaud, Anul 2010, Numar, 101
Bistrita-Nasaud, Anul 2011, Numar, 106
Bistrita-Nasaud, Anul 2012, Numar, 105
Bistrita-Nasaud, Anul 2013, Numar, 104
Bistrita-Nasaud, Anul 2014, Numar, 83
Bistrita-Nasaud, Anul 2015, Numar, 104
Bistrita-Nasaud, Anul 2016, Numar, 107
Bistrita-Nasaud, Anul 2017, Numar, 94
Cluj, Anul 1992, Numar, 44
Cluj, Anul 1993, Numar, 372
Cluj, Anul 1994, Numar, 308
Cluj, Anul 1995, Numar, 245
Cluj, Anul 1996, Numar, 220
Cluj, Anul 1997, Numar, 220
Cluj, Anul 1998, Numar, 231
Cluj, Anul 1999, Numar, 233
Cluj, Anul 2000, Numar, 333
Cluj, Anul 2001, Numar, 219
Cluj, Anul 2002, Numar, 163
Cluj, Anul 2003, Numar, 172
Cluj, Anul 2004, Numar, 247
Cluj, Anul 2005, Numar, 165
Cluj, Anul 2006, Numar, 186
Cluj, Anul 2007, Numar, 199
Cluj, Anul 2008, Numar, 292
Cluj, Anul 2009, Numar, 322
Cluj, Anul 2010, Numar, 366
Cluj, Anul 2011, Numar, 354
Cluj, Anul 2012, Numar, 362
Cluj, Anul 2013, Numar, 363
Cluj, Anul 2014, Numar, 332
Cluj, Anul 2015, Numar, 379
Cluj, Anul 2016, Numar, 360
Cluj, Anul 2017, Numar, 356
Maramures, Anul 1992, Numar, 398
Maramures, Anul 1993, Numar, 220
Maramures, Anul 1994, Numar, 224
Maramures, Anul 1995, Numar, 223
Maramures, Anul 1996, Numar, 186
Maramures, Anul 1997, Numar, 187
Maramures, Anul 1998, Numar, 164
Maramures, Anul 1999, Numar, 139
Maramures, Anul 2000, Numar, 171
Maramures, Anul 2001, Numar, 90
Maramures, Anul 2002, Numar, 142
Maramures, Anul 2003, Numar, 141
Maramures, Anul 2004, Numar, 148
Maramures, Anul 2005, Numar, 73
Maramures, Anul 2006, Numar, 80
Maramures, Anul 2007, Numar, 88
Maramures, Anul 2008, Numar, 148
Maramures, Anul 2009, Numar, 163
Maramures, Anul 2010, Numar, 162
Maramures, Anul 2011, Numar, 172
Maramures, Anul 2012, Numar, 182
Maramures, Anul 2013, Numar, 179
Maramures, Anul 2014, Numar, 167
Maramures, Anul 2015, Numar, 201
Maramures, Anul 2016, Numar, 189
Maramures, Anul 2017, Numar, 178
Satu Mare, Anul 1992, Numar, 161
Satu Mare, Anul 1993, Numar, 162
Satu Mare, Anul 1994, Numar, 217
Satu Mare, Anul 1995, Numar, 195
Satu Mare, Anul 1996, Numar, 125
Satu Mare, Anul 1997, Numar, 125
Satu Mare, Anul 1998, Numar, 102
Satu Mare, Anul 1999, Numar, 101
Satu Mare, Anul 2000, Numar, 148
Satu Mare, Anul 2001, Numar, 90
Satu Mare, Anul 2002, Numar, 81
Satu Mare, Anul 2003, Numar, 80
Satu Mare, Anul 2004, Numar, 90
Satu Mare, Anul 2005, Numar, 55
Satu Mare, Anul 2006, Numar, 67
Satu Mare, Anul 2007, Numar, 65
Satu Mare, Anul 2008, Numar, 132
Satu Mare, Anul 2009, Numar, 142
Satu Mare, Anul 2010, Numar, 139
Satu Mare, Anul 2011, Numar, 145
Satu Mare, Anul 2012, Numar, 145
Satu Mare, Anul 2013, Numar, 136
Satu Mare, Anul 2014, Numar, 131
Satu Mare, Anul 2015, Numar, 141
Satu Mare, Anul 2016, Numar, 138
Satu Mare, Anul 2017, Numar, 139
