Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Mures, Anul 1991, Numar spectacole, 28696
Cinematografe si instalatii cinematografice - total, Mures, Anul 1992, Numar spectacole, 21073
Cinematografe si instalatii cinematografice - total, Mures, Anul 1993, Numar spectacole, 16291
Cinematografe si instalatii cinematografice - total, Mures, Anul 1994, Numar spectacole, 10783
Cinematografe si instalatii cinematografice - total, Mures, Anul 1995, Numar spectacole, 10428
Cinematografe si instalatii cinematografice - total, Mures, Anul 1996, Numar spectacole, 10113
Cinematografe si instalatii cinematografice - total, Mures, Anul 1997, Numar spectacole, 9247
Cinematografe si instalatii cinematografice - total, Mures, Anul 2002, Numar spectacole, 4740
Cinematografe si instalatii cinematografice - total, Mures, Anul 2003, Numar spectacole, 4036
Cinematografe si instalatii cinematografice - total, Mures, Anul 2004, Numar spectacole, 3134
Cinematografe si instalatii cinematografice - total, Mures, Anul 2005, Numar spectacole, 2633
Cinematografe si instalatii cinematografice - total, Mures, Anul 2006, Numar spectacole, 1968
Cinematografe si instalatii cinematografice - total, Mures, Anul 2007, Numar spectacole, 1833
Cinematografe si instalatii cinematografice - total, Mures, Anul 2008, Numar spectacole, 1510
Cinematografe si instalatii cinematografice - total, Mures, Anul 2009, Numar spectacole, 1193
Cinematografe si instalatii cinematografice - total, Mures, Anul 2010, Numar spectacole, 1280
Cinematografe si instalatii cinematografice - total, Mures, Anul 2011, Numar spectacole, 1719
Cinematografe si instalatii cinematografice - total, Mures, Anul 2012, Numar spectacole, 16193
Cinematografe si instalatii cinematografice - total, Mures, Anul 2013, Numar spectacole, 16321
Cinematografe si instalatii cinematografice - total, Mures, Anul 2014, Numar spectacole, 16323
Cinematografe si instalatii cinematografice - total, Mures, Anul 2015, Numar spectacole, 16110
Cinematografe si instalatii cinematografice - total, Mures, Anul 2016, Numar spectacole, 15597
Cinematografe si instalatii cinematografice - total, Mures, Anul 2017, Numar spectacole, 15435
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1990, Numar spectacole, 28163
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1991, Numar spectacole, 18669
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1992, Numar spectacole, 16008
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1993, Numar spectacole, 14250
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1994, Numar spectacole, 10764
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1995, Numar spectacole, 8755
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1996, Numar spectacole, 6629
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 1997, Numar spectacole, 5125
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2002, Numar spectacole, 4657
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2003, Numar spectacole, 3512
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2004, Numar spectacole, 1652
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2005, Numar spectacole, 1360
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2006, Numar spectacole, 1175
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2007, Numar spectacole, 1173
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2008, Numar spectacole, 1137
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2009, Numar spectacole, 1571
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2010, Numar spectacole, 1629
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2011, Numar spectacole, 1650
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2012, Numar spectacole, 1609
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2013, Numar spectacole, 1476
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2014, Numar spectacole, 467
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2015, Numar spectacole, 932
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2016, Numar spectacole, 1350
Cinematografe si instalatii cinematografice - total, Sibiu, Anul 2017, Numar spectacole, 1354
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1990, Numar spectacole, 419433
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1991, Numar spectacole, 295335
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1992, Numar spectacole, 213499
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1993, Numar spectacole, 176316
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1994, Numar spectacole, 144883
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1995, Numar spectacole, 120168
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1996, Numar spectacole, 105972
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 1997, Numar spectacole, 90805
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2002, Numar spectacole, 46263
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2003, Numar spectacole, 37073
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2004, Numar spectacole, 26228
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2005, Numar spectacole, 20432
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2006, Numar spectacole, 15038
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2007, Numar spectacole, 12969
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2008, Numar spectacole, 25348
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2009, Numar spectacole, 35877
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2010, Numar spectacole, 35246
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2011, Numar spectacole, 48558
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2012, Numar spectacole, 66058
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2013, Numar spectacole, 74085
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2014, Numar spectacole, 75947
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2015, Numar spectacole, 89110
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2016, Numar spectacole, 119410
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA DOI, Anul 2017, Numar spectacole, 131983
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1990, Numar spectacole, 229580
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1991, Numar spectacole, 162625
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1992, Numar spectacole, 119640
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1993, Numar spectacole, 99238
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1994, Numar spectacole, 81256
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1995, Numar spectacole, 66688
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1996, Numar spectacole, 56465
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 1997, Numar spectacole, 47875
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2002, Numar spectacole, 18460
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2003, Numar spectacole, 15711
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2004, Numar spectacole, 13727
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2005, Numar spectacole, 10686
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2006, Numar spectacole, 9471
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2007, Numar spectacole, 10348
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2008, Numar spectacole, 16515
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2009, Numar spectacole, 28008
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2010, Numar spectacole, 27842
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2011, Numar spectacole, 28032
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2012, Numar spectacole, 28464
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2013, Numar spectacole, 33246
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2014, Numar spectacole, 35509
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2015, Numar spectacole, 36963
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2016, Numar spectacole, 53414
Cinematografe si instalatii cinematografice - total, Regiunea NORD-EST, Anul 2017, Numar spectacole, 63575
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1990, Numar spectacole, 49353
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1991, Numar spectacole, 33013
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1992, Numar spectacole, 25797
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1993, Numar spectacole, 21593
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1994, Numar spectacole, 17782
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1995, Numar spectacole, 14027
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1996, Numar spectacole, 12299
Cinematografe si instalatii cinematografice - total, Bacau, Anul 1997, Numar spectacole, 9769
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2002, Numar spectacole, 3280
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2003, Numar spectacole, 3011
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2004, Numar spectacole, 3160
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2005, Numar spectacole, 3031
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2006, Numar spectacole, 2017
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2007, Numar spectacole, 1674
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2008, Numar spectacole, 1611
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2009, Numar spectacole, 13569
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2010, Numar spectacole, 14348
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2011, Numar spectacole, 14146
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2012, Numar spectacole, 14875
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2013, Numar spectacole, 14997
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2014, Numar spectacole, 14560
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2015, Numar spectacole, 14636
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2016, Numar spectacole, 14508
Cinematografe si instalatii cinematografice - total, Bacau, Anul 2017, Numar spectacole, 14811
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1990, Numar spectacole, 34145
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1991, Numar spectacole, 24063
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1992, Numar spectacole, 16156
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1993, Numar spectacole, 14884
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1994, Numar spectacole, 11964
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1995, Numar spectacole, 8459
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1996, Numar spectacole, 5930
Cinematografe si instalatii cinematografice - total, Botosani, Anul 1997, Numar spectacole, 5428
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2002, Numar spectacole, 1618
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2003, Numar spectacole, 1429
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2004, Numar spectacole, 1320
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2005, Numar spectacole, 1327
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2006, Numar spectacole, 1235
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2007, Numar spectacole, 1422
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2008, Numar spectacole, 1529
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2009, Numar spectacole, 1427
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2010, Numar spectacole, 1486
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2011, Numar spectacole, 1425
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2012, Numar spectacole, 1437
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2013, Numar spectacole, 6437
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2014, Numar spectacole, 10584
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2015, Numar spectacole, 9012
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2016, Numar spectacole, 9589
Cinematografe si instalatii cinematografice - total, Botosani, Anul 2017, Numar spectacole, 9690
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1990, Numar spectacole, 41032
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1991, Numar spectacole, 29984
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1992, Numar spectacole, 21774
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1993, Numar spectacole, 17766
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1994, Numar spectacole, 13047
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1995, Numar spectacole, 11156
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1996, Numar spectacole, 10677
Cinematografe si instalatii cinematografice - total, Iasi, Anul 1997, Numar spectacole, 9487
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2002, Numar spectacole, 5949
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2003, Numar spectacole, 5372
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2004, Numar spectacole, 4499
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2005, Numar spectacole, 3743
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2006, Numar spectacole, 4650
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2007, Numar spectacole, 6283
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2008, Numar spectacole, 12383
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2009, Numar spectacole, 11917
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2010, Numar spectacole, 10727
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2011, Numar spectacole, 10630
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2012, Numar spectacole, 10648
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2013, Numar spectacole, 10386
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2014, Numar spectacole, 9814
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2015, Numar spectacole, 9842
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2016, Numar spectacole, 9938
Cinematografe si instalatii cinematografice - total, Iasi, Anul 2017, Numar spectacole, 9643
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1990, Numar spectacole, 34669
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1991, Numar spectacole, 24523
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1992, Numar spectacole, 18435
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1993, Numar spectacole, 16576
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1994, Numar spectacole, 14636
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1995, Numar spectacole, 12106
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1996, Numar spectacole, 10243
Cinematografe si instalatii cinematografice - total, Neamt, Anul 1997, Numar spectacole, 9251
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2002, Numar spectacole, 2983
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2003, Numar spectacole, 2156
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2004, Numar spectacole, 2271
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2005, Numar spectacole, 1139
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2006, Numar spectacole, 924
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2007, Numar spectacole, 948
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2008, Numar spectacole, 992
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2009, Numar spectacole, 816
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2010, Numar spectacole, 791
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2011, Numar spectacole, 636
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2012, Numar spectacole, 552
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2013, Numar spectacole, 576
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2014, Numar spectacole, 551
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2015, Numar spectacole, 562
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2016, Numar spectacole, 1825
Cinematografe si instalatii cinematografice - total, Neamt, Anul 2017, Numar spectacole, 11205
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1990, Numar spectacole, 42643
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1991, Numar spectacole, 30691
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1992, Numar spectacole, 21042
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1993, Numar spectacole, 17101
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1994, Numar spectacole, 14220
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1995, Numar spectacole, 12742
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1996, Numar spectacole, 11241
Cinematografe si instalatii cinematografice - total, Suceava, Anul 1997, Numar spectacole, 9162
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2002, Numar spectacole, 2280
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2003, Numar spectacole, 1574
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2004, Numar spectacole, 1178
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2005, Numar spectacole, 815
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2006, Numar spectacole, 645
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2007, Numar spectacole, 21
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2015, Numar spectacole, 2087
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2016, Numar spectacole, 14568
Cinematografe si instalatii cinematografice - total, Suceava, Anul 2017, Numar spectacole, 14002
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1990, Numar spectacole, 27738
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1991, Numar spectacole, 20351
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1992, Numar spectacole, 16436
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1993, Numar spectacole, 11318
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1994, Numar spectacole, 9607
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1995, Numar spectacole, 8198
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1996, Numar spectacole, 6075
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 1997, Numar spectacole, 4778
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2002, Numar spectacole, 2350
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2003, Numar spectacole, 2169
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2004, Numar spectacole, 1299
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2005, Numar spectacole, 631
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2009, Numar spectacole, 279
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2010, Numar spectacole, 490
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2011, Numar spectacole, 1195
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2012, Numar spectacole, 952
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2013, Numar spectacole, 850
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2015, Numar spectacole, 824
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2016, Numar spectacole, 2986
Cinematografe si instalatii cinematografice - total, Vaslui, Anul 2017, Numar spectacole, 4224
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1990, Numar spectacole, 189853
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1991, Numar spectacole, 132710
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1992, Numar spectacole, 93859
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1993, Numar spectacole, 77078
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1994, Numar spectacole, 63627
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1995, Numar spectacole, 53480
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1996, Numar spectacole, 49507
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 1997, Numar spectacole, 42930
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2002, Numar spectacole, 27803
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2003, Numar spectacole, 21362
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2004, Numar spectacole, 12501
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2005, Numar spectacole, 9746
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2006, Numar spectacole, 5567
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2007, Numar spectacole, 2621
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2008, Numar spectacole, 8833
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2009, Numar spectacole, 7869
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2010, Numar spectacole, 7404
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2011, Numar spectacole, 20526
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2012, Numar spectacole, 37594
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2013, Numar spectacole, 40839
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2014, Numar spectacole, 40438
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2015, Numar spectacole, 52147
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2016, Numar spectacole, 65996
Cinematografe si instalatii cinematografice - total, Regiunea SUD-EST, Anul 2017, Numar spectacole, 68408
Cinematografe si instalatii cinematografice - total, Braila, Anul 1990, Numar spectacole, 24736
Cinematografe si instalatii cinematografice - total, Braila, Anul 1991, Numar spectacole, 15700
Cinematografe si instalatii cinematografice - total, Braila, Anul 1992, Numar spectacole, 10618
Cinematografe si instalatii cinematografice - total, Braila, Anul 1993, Numar spectacole, 9926
Cinematografe si instalatii cinematografice - total, Braila, Anul 1994, Numar spectacole, 6969
Cinematografe si instalatii cinematografice - total, Braila, Anul 1995, Numar spectacole, 6925
Cinematografe si instalatii cinematografice - total, Braila, Anul 1996, Numar spectacole, 6841
Cinematografe si instalatii cinematografice - total, Braila, Anul 1997, Numar spectacole, 5366
Cinematografe si instalatii cinematografice - total, Braila, Anul 2002, Numar spectacole, 1964
Cinematografe si instalatii cinematografice - total, Braila, Anul 2003, Numar spectacole, 1234
Cinematografe si instalatii cinematografice - total, Braila, Anul 2004, Numar spectacole, 354
Cinematografe si instalatii cinematografice - total, Braila, Anul 2005, Numar spectacole, 584
Cinematografe si instalatii cinematografice - total, Braila, Anul 2006, Numar spectacole, 482
Cinematografe si instalatii cinematografice - total, Braila, Anul 2007, Numar spectacole, 417
Cinematografe si instalatii cinematografice - total, Braila, Anul 2008, Numar spectacole, 423
Cinematografe si instalatii cinematografice - total, Braila, Anul 2009, Numar spectacole, 223
Cinematografe si instalatii cinematografice - total, Braila, Anul 2010, Numar spectacole, 152
Cinematografe si instalatii cinematografice - total, Braila, Anul 2011, Numar spectacole, 12945
Cinematografe si instalatii cinematografice - total, Braila, Anul 2012, Numar spectacole, 17548
Cinematografe si instalatii cinematografice - total, Braila, Anul 2013, Numar spectacole, 17459
Cinematografe si instalatii cinematografice - total, Braila, Anul 2014, Numar spectacole, 17106
Cinematografe si instalatii cinematografice - total, Braila, Anul 2015, Numar spectacole, 17066
Cinematografe si instalatii cinematografice - total, Braila, Anul 2016, Numar spectacole, 16858
Cinematografe si instalatii cinematografice - total, Braila, Anul 2017, Numar spectacole, 17017
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1990, Numar spectacole, 27964
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1991, Numar spectacole, 18758
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1992, Numar spectacole, 12466
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1993, Numar spectacole, 9533
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1994, Numar spectacole, 7401
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1995, Numar spectacole, 5857
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1996, Numar spectacole, 4493
Cinematografe si instalatii cinematografice - total, Buzau, Anul 1997, Numar spectacole, 3878
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2002, Numar spectacole, 1572
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2003, Numar spectacole, 704
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2004, Numar spectacole, 141
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2005, Numar spectacole, 476
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2008, Numar spectacole, 418
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2009, Numar spectacole, 125
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2010, Numar spectacole, 74
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2011, Numar spectacole, 180
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2012, Numar spectacole, 8
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2015, Numar spectacole, 1005
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2016, Numar spectacole, 4445
Cinematografe si instalatii cinematografice - total, Buzau, Anul 2017, Numar spectacole, 5941
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1990, Numar spectacole, 42515
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1991, Numar spectacole, 29686
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1992, Numar spectacole, 19463
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1993, Numar spectacole, 17010
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1994, Numar spectacole, 15454
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1995, Numar spectacole, 13845
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1996, Numar spectacole, 14165
Cinematografe si instalatii cinematografice - total, Constanta, Anul 1997, Numar spectacole, 11677
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2002, Numar spectacole, 10891
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2003, Numar spectacole, 8683
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2004, Numar spectacole, 5369
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2005, Numar spectacole, 5518
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2006, Numar spectacole, 3745
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2007, Numar spectacole, 1393
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2008, Numar spectacole, 6881
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2009, Numar spectacole, 7041
