Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2002, Numar spectacole, 23693
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2003, Numar spectacole, 25757
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2004, Numar spectacole, 21605
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2005, Numar spectacole, 19083
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2006, Numar spectacole, 13044
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2007, Numar spectacole, 15483
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2008, Numar spectacole, 18010
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2009, Numar spectacole, 40301
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2010, Numar spectacole, 43120
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2011, Numar spectacole, 52093
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2012, Numar spectacole, 63597
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2013, Numar spectacole, 63154
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2014, Numar spectacole, 70621
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2015, Numar spectacole, 72353
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2016, Numar spectacole, 69632
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 2017, Numar spectacole, 61197
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1990, Numar spectacole, 36071
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1991, Numar spectacole, 24691
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1992, Numar spectacole, 17606
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1993, Numar spectacole, 14023
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1994, Numar spectacole, 13188
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1995, Numar spectacole, 11672
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1996, Numar spectacole, 11023
Cinematografe si instalatii cinematografice - total, Bihor, Anul 1997, Numar spectacole, 9516
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2002, Numar spectacole, 4914
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2003, Numar spectacole, 9683
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2004, Numar spectacole, 8617
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2005, Numar spectacole, 7413
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2006, Numar spectacole, 7185
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2007, Numar spectacole, 7853
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2008, Numar spectacole, 8084
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2009, Numar spectacole, 8336
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2010, Numar spectacole, 8075
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2011, Numar spectacole, 9034
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2012, Numar spectacole, 19905
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2013, Numar spectacole, 21607
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2014, Numar spectacole, 25796
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2015, Numar spectacole, 26404
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2016, Numar spectacole, 22927
Cinematografe si instalatii cinematografice - total, Bihor, Anul 2017, Numar spectacole, 13428
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1990, Numar spectacole, 22832
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1991, Numar spectacole, 14054
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1992, Numar spectacole, 8582
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1993, Numar spectacole, 7252
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1994, Numar spectacole, 5277
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1995, Numar spectacole, 4641
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1996, Numar spectacole, 4053
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 1997, Numar spectacole, 3193
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2002, Numar spectacole, 2363
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2003, Numar spectacole, 2161
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2004, Numar spectacole, 2118
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2005, Numar spectacole, 1527
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2006, Numar spectacole, 831
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2007, Numar spectacole, 757
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2008, Numar spectacole, 742
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2009, Numar spectacole, 426
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2010, Numar spectacole, 403
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2011, Numar spectacole, 516
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2012, Numar spectacole, 451
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2013, Numar spectacole, 421
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2014, Numar spectacole, 48
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2016, Numar spectacole, 349
Cinematografe si instalatii cinematografice - total, Bistrita-Nasaud, Anul 2017, Numar spectacole, 1644
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1990, Numar spectacole, 43886
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1991, Numar spectacole, 30618
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1992, Numar spectacole, 21075
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1993, Numar spectacole, 17841
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1994, Numar spectacole, 16183
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1995, Numar spectacole, 14532
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1996, Numar spectacole, 14611
Cinematografe si instalatii cinematografice - total, Cluj, Anul 1997, Numar spectacole, 13375
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2002, Numar spectacole, 9943
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2003, Numar spectacole, 8858
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2004, Numar spectacole, 7991
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2005, Numar spectacole, 7273
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2006, Numar spectacole, 3885
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2007, Numar spectacole, 6024
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2008, Numar spectacole, 8469
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2009, Numar spectacole, 31025
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2010, Numar spectacole, 32634
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2011, Numar spectacole, 30655
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2012, Numar spectacole, 30297
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2013, Numar spectacole, 28619
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2014, Numar spectacole, 32620
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2015, Numar spectacole, 33705
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2016, Numar spectacole, 34208
Cinematografe si instalatii cinematografice - total, Cluj, Anul 2017, Numar spectacole, 34128
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1990, Numar spectacole, 26097
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1991, Numar spectacole, 18980
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1992, Numar spectacole, 12862
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1993, Numar spectacole, 10348
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1994, Numar spectacole, 8678
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1995, Numar spectacole, 6789
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1996, Numar spectacole, 5683
Cinematografe si instalatii cinematografice - total, Maramures, Anul 1997, Numar spectacole, 4421
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2002, Numar spectacole, 3319
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2003, Numar spectacole, 2776
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2004, Numar spectacole, 1915
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2005, Numar spectacole, 1791
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2006, Numar spectacole, 626
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2007, Numar spectacole, 752
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2008, Numar spectacole, 715
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2009, Numar spectacole, 514
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2010, Numar spectacole, 2008
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2011, Numar spectacole, 10665
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2012, Numar spectacole, 10977
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2013, Numar spectacole, 10789
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2014, Numar spectacole, 10484
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2015, Numar spectacole, 10548
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2016, Numar spectacole, 10421
