--- COUNTRY --- QoLI ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;35.031;35.0301;35.0307;35.0316;35.0315;35.0322;35.0333;35.0347;35.0389;35.0371;35.0394;35.0408;35.0436;35.0448;35.0494;35.0494;35.0515;35.0527;35.0534
BE;34.986;34.988;34.9885;34.9872;34.9881;34.9885;34.9886;34.9883;34.9911;34.9923;34.9967;34.9978;35.0025;35.0032;35.0073;35.0094;35.0131;35.0151;35.0159
BG;34.7512;34.7517;34.7528;34.7559;34.7667;34.7758;34.7784;34.7727;34.7767;34.7799;34.788;34.7938;34.7991;34.8017;34.8197;34.8234;34.8244;34.8288;34.8299
CY;34.8823;34.8817;34.8832;34.8875;34.894;34.8909;34.8865;34.8847;34.8843;34.8811;34.8863;34.89;34.8945;34.8978;34.913;34.9187;34.9219;34.9241;34.9262
CZ;34.8982;34.8997;34.9027;34.9118;34.9116;34.9109;34.9139;34.9154;34.9171;34.9167;34.9189;34.9266;34.9323;34.9375;34.9545;34.9592;34.9621;34.9652;34.9666
DE;34.9896;34.9874;34.9809;34.9867;34.9865;34.9855;34.9876;34.9908;34.9933;34.9939;34.9946;34.9975;35.0003;35.0029;35.0091;35.0119;35.0138;35.0134;35.0132
DK;35.0658;35.0632;35.063;35.0681;35.0676;35.0671;35.0701;35.0685;35.0691;35.0714;35.0698;35.0701;35.0704;35.0704;35.0633;35.0641;35.0618;35.0619;35.0629
EE;34.8643;34.8741;34.8799;34.8847;34.8992;34.8979;34.8931;34.897;34.8974;34.8976;34.9005;34.9092;34.9159;34.9192;34.9341;34.9378;34.9429;34.9428;34.9437
EL;34.8387;34.8397;34.8445;34.8466;34.8484;34.8484;34.8471;34.8435;34.8318;34.8244;34.83;34.8381;34.8392;34.842;34.8567;34.8608;34.8615;34.8649;34.8654
ES;34.9084;34.9127;34.9138;34.9176;34.9216;34.9168;34.919;34.9192;34.9163;34.9149;34.9171;34.9197;34.9214;34.9272;34.9433;34.9493;34.9438;34.9464;34.9473
FI;35.0651;35.0629;35.0649;35.0675;35.0681;35.0674;35.0671;35.069;35.0706;35.0721;35.0723;35.0735;35.0728;35.0725;35.0759;35.0771;35.0758;35.078;35.0773
FR;34.9664;34.9703;34.9717;34.9698;34.9712;34.97;34.9701;34.9722;34.9739;34.9785;34.9802;34.981;34.9812;34.9795;34.9849;34.9882;34.9835;34.9848;34.9842
HR;34.8521;34.8504;34.8507;34.8514;34.8507;34.85;34.85;34.8474;34.8486;34.8487;34.8535;34.8607;34.8613;34.8654;34.8765;34.8828;34.8836;34.8857;34.8884
HU;34.8641;34.8613;34.8682;34.8654;34.8668;34.8626;34.8603;34.8614;34.8591;34.8605;34.8627;34.869;34.879;34.8837;34.9006;34.9005;34.9013;34.9034;34.9057
IE;34.9973;34.9991;34.9964;34.9994;35.0006;34.99;34.9912;34.9889;34.9903;34.9879;34.9874;34.9926;35.0009;35.0047;35.0254;35.0265;35.0249;35.0289;35.0268
IT;34.8856;34.8853;34.8919;34.892;34.8929;34.8914;34.895;34.8892;34.8908;34.886;34.8873;34.8839;34.8922;34.8991;34.9087;34.9125;34.9111;34.9106;34.9134
LT;34.8609;34.8632;34.8717;34.885;34.8921;34.8901;34.8874;34.8928;34.8969;34.8955;34.9002;34.9041;34.9058;34.9091;34.9116;34.9171;34.9191;34.9226;34.9233
LU;35.0473;35.048;35.0485;35.0366;35.0374;35.0506;35.0517;35.0544;35.0535;35.0546;35.0555;35.0558;35.0537;35.0571;35.0557;35.0561;35.0546;35.0563;35.0591
LV;34.8305;34.8324;34.8387;34.8464;34.851;34.8427;34.84;34.8407;34.8469;34.8511;34.8513;34.8623;34.8659;34.8673;34.8693;34.8761;34.8789;34.8852;34.8862
MT;34.9092;34.9116;34.9106;34.9155;34.9165;34.909;34.9124;34.9145;34.9212;34.9252;34.9294;34.9373;34.9431;34.9483;34.9513;34.9511;34.9547;34.9569;34.9601
NL;35.0425;35.0412;35.0443;35.0491;35.0527;35.0502;35.0508;35.0515;35.0531;35.0526;35.0497;35.0525;35.0542;35.0583;35.0498;35.051;35.0533;35.0578;35.058
PL;34.8736;34.8722;34.8773;34.8905;34.8982;34.9028;34.9064;34.9063;34.9084;34.9109;34.9138;34.9223;34.9286;34.9308;34.9398;34.9492;34.9539;34.9566;34.9585
PT;34.8821;34.8832;34.8872;34.8859;34.89;34.8882;34.8903;34.8955;34.8945;34.8945;34.8953;34.8991;34.905;34.9099;34.9253;34.9261;34.928;34.9288;34.9332
RO;34.7757;34.7786;34.7796;34.7833;34.7888;34.7909;34.7913;34.7906;34.7956;34.7994;34.8049;34.8083;34.8131;34.8211;34.8373;34.8421;34.8432;34.845;34.8467
SE;35.0654;35.063;35.0609;35.0625;35.0612;35.0609;35.0612;35.0602;35.063;35.0636;35.065;35.0664;35.0665;35.0659;35.0665;35.066;35.0634;35.0652;35.0642
SI;34.9532;34.9541;34.9571;34.9588;34.9588;34.9633;34.9612;34.9646;34.9665;34.9656;34.9619;34.9629;34.9648;34.9682;34.9735;34.9785;34.983;34.9872;34.9884
SK;34.8814;34.8805;34.8863;34.8957;34.8992;34.8985;34.9045;34.9031;34.905;34.9056;34.9095;34.9116;34.9143;34.9139;34.9216;34.9244;34.93;34.9292;34.9316
UK;34.9942;34.9933;34.994;34.9903;34.991;34.9871;34.9857;34.983;34.9857;34.9872;34.9876;34.9893;34.9835;34.9871;34.9896;34.9886;34.9868;34.9854;34.9855
