
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2009, Litri, 1.472
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2010, Litri, 1.385
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2011, Litri, 1.308
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2012, Litri, 1.321
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2013, Litri, 1.394
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2014, Litri, 1.36
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2015, Litri, 1.466
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2016, Litri, 1.582
Bauturi alcoolice (l), Total, MACROREGIUNEA TREI, Anul 2017, Litri, 1.572
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2008, Litri, 1.619
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2009, Litri, 1.472
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2010, Litri, 1.385
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2011, Litri, 1.308
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2012, Litri, 1.321
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2013, Litri, 1.394
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2014, Litri, 1.36
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2015, Litri, 1.466
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2016, Litri, 1.582
Bauturi alcoolice (l), Total, Regiunea SUD-MUNTENIA, Anul 2017, Litri, 1.572
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Litri, 1.619
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Litri, 1.472
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Litri, 1.385
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Litri, 1.308
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Litri, 1.321
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Litri, 1.394
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Litri, 1.36
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Litri, 1.466
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Litri, 1.582
Bauturi alcoolice (l), Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Litri, 1.572
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2008, Litri, 1.31
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2009, Litri, 1.258
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2010, Litri, 1.201
