
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Legume si conserve din legume, Total, Regiunea NORD-EST, Anul 2017, Kg in echivalent legume proaspete, 4.858
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2008, Kg in echivalent legume proaspete, 4.742
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2009, Kg in echivalent legume proaspete, 4.88
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2010, Kg in echivalent legume proaspete, 4.529
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2011, Kg in echivalent legume proaspete, 4.797
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2012, Kg in echivalent legume proaspete, 4.623
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2013, Kg in echivalent legume proaspete, 4.309
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2014, Kg in echivalent legume proaspete, 4.693
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2015, Kg in echivalent legume proaspete, 4.604
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2016, Kg in echivalent legume proaspete, 4.622
Legume si conserve din legume, Total, Regiunea SUD-EST, Anul 2017, Kg in echivalent legume proaspete, 4.858
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2008, Kg in echivalent legume proaspete, 5.764
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2009, Kg in echivalent legume proaspete, 6.306
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2010, Kg in echivalent legume proaspete, 5.901
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2011, Kg in echivalent legume proaspete, 5.94
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2012, Kg in echivalent legume proaspete, 5.682
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2013, Kg in echivalent legume proaspete, 5.61
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2014, Kg in echivalent legume proaspete, 5.87
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2015, Kg in echivalent legume proaspete, 5.412
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2016, Kg in echivalent legume proaspete, 5.488
Legume si conserve din legume, Total, MACROREGIUNEA TREI, Anul 2017, Kg in echivalent legume proaspete, 5.736
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2008, Kg in echivalent legume proaspete, 5.764
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2009, Kg in echivalent legume proaspete, 6.306
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2010, Kg in echivalent legume proaspete, 5.901
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2011, Kg in echivalent legume proaspete, 5.94
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2012, Kg in echivalent legume proaspete, 5.682
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2013, Kg in echivalent legume proaspete, 5.61
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2014, Kg in echivalent legume proaspete, 5.87
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2015, Kg in echivalent legume proaspete, 5.412
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2016, Kg in echivalent legume proaspete, 5.488
Legume si conserve din legume, Total, Regiunea SUD-MUNTENIA, Anul 2017, Kg in echivalent legume proaspete, 5.736
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Kg in echivalent legume proaspete, 5.764
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Kg in echivalent legume proaspete, 6.306
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Kg in echivalent legume proaspete, 5.901
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Kg in echivalent legume proaspete, 5.94
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Kg in echivalent legume proaspete, 5.682
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Kg in echivalent legume proaspete, 5.61
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Kg in echivalent legume proaspete, 5.87
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Kg in echivalent legume proaspete, 5.412
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Kg in echivalent legume proaspete, 5.488
Legume si conserve din legume, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Kg in echivalent legume proaspete, 5.736
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2008, Kg in echivalent legume proaspete, 3.629
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2009, Kg in echivalent legume proaspete, 3.722
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2010, Kg in echivalent legume proaspete, 3.615
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2011, Kg in echivalent legume proaspete, 3.814
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2012, Kg in echivalent legume proaspete, 3.763
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2013, Kg in echivalent legume proaspete, 3.982
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2014, Kg in echivalent legume proaspete, 3.854
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2015, Kg in echivalent legume proaspete, 4.032
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2016, Kg in echivalent legume proaspete, 4.254
Legume si conserve din legume, Total, MACROREGIUNEA PATRU, Anul 2017, Kg in echivalent legume proaspete, 4.441
Legume si conserve din legume, Total, Regiunea VEST, Anul 2008, Kg in echivalent legume proaspete, 3.629
Legume si conserve din legume, Total, Regiunea VEST, Anul 2009, Kg in echivalent legume proaspete, 3.722
Legume si conserve din legume, Total, Regiunea VEST, Anul 2010, Kg in echivalent legume proaspete, 3.615
Legume si conserve din legume, Total, Regiunea VEST, Anul 2011, Kg in echivalent legume proaspete, 3.814
Legume si conserve din legume, Total, Regiunea VEST, Anul 2012, Kg in echivalent legume proaspete, 3.763
Legume si conserve din legume, Total, Regiunea VEST, Anul 2013, Kg in echivalent legume proaspete, 3.982
Legume si conserve din legume, Total, Regiunea VEST, Anul 2014, Kg in echivalent legume proaspete, 3.854
Legume si conserve din legume, Total, Regiunea VEST, Anul 2015, Kg in echivalent legume proaspete, 4.032
Legume si conserve din legume, Total, Regiunea VEST, Anul 2016, Kg in echivalent legume proaspete, 4.254
Legume si conserve din legume, Total, Regiunea VEST, Anul 2017, Kg in echivalent legume proaspete, 4.441
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Kg in echivalent legume proaspete, 3.629
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Kg in echivalent legume proaspete, 3.722
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Kg in echivalent legume proaspete, 3.615
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Kg in echivalent legume proaspete, 3.814
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Kg in echivalent legume proaspete, 3.763
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Kg in echivalent legume proaspete, 3.982
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Kg in echivalent legume proaspete, 3.854
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Kg in echivalent legume proaspete, 4.032
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Kg in echivalent legume proaspete, 4.254
Legume si conserve din legume, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Kg in echivalent legume proaspete, 4.441
