Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Bacau, Anul 2012, Numar persoane, 112668
Total, Total, Bacau, Anul 2013, Numar persoane, 109431
Total, Total, Bacau, Anul 2014, Numar persoane, 108735
Total, Total, Bacau, Anul 2015, Numar persoane, 105779
Total, Total, Bacau, Anul 2016, Numar persoane, 104170
Total, Total, Bacau, Anul 2017, Numar persoane, 102692
Total, Total, Botosani, Anul 1995, Numar persoane, 93086
Total, Total, Botosani, Anul 1996, Numar persoane, 92621
Total, Total, Botosani, Anul 1997, Numar persoane, 92069
Total, Total, Botosani, Anul 1998, Numar persoane, 91831
Total, Total, Botosani, Anul 1999, Numar persoane, 91533
Total, Total, Botosani, Anul 2000, Numar persoane, 90263
Total, Total, Botosani, Anul 2001, Numar persoane, 89280
Total, Total, Botosani, Anul 2002, Numar persoane, 88693
Total, Total, Botosani, Anul 2003, Numar persoane, 88961
Total, Total, Botosani, Anul 2004, Numar persoane, 87230
Total, Total, Botosani, Anul 2005, Numar persoane, 85314
Total, Total, Botosani, Anul 2006, Numar persoane, 83410
Total, Total, Botosani, Anul 2007, Numar persoane, 81803
Total, Total, Botosani, Anul 2008, Numar persoane, 80746
Total, Total, Botosani, Anul 2009, Numar persoane, 79897
Total, Total, Botosani, Anul 2010, Numar persoane, 78953
Total, Total, Botosani, Anul 2011, Numar persoane, 77083
Total, Total, Botosani, Anul 2012, Numar persoane, 76166
Total, Total, Botosani, Anul 2013, Numar persoane, 74744
Total, Total, Botosani, Anul 2014, Numar persoane, 73810
Total, Total, Botosani, Anul 2015, Numar persoane, 70872
Total, Total, Botosani, Anul 2016, Numar persoane, 69585
Total, Total, Botosani, Anul 2017, Numar persoane, 68185
Total, Total, Iasi, Anul 1995, Numar persoane, 207895
Total, Total, Iasi, Anul 1996, Numar persoane, 209390
Total, Total, Iasi, Anul 1997, Numar persoane, 206478
Total, Total, Iasi, Anul 1998, Numar persoane, 209512
Total, Total, Iasi, Anul 1999, Numar persoane, 210739
Total, Total, Iasi, Anul 2000, Numar persoane, 214250
Total, Total, Iasi, Anul 2001, Numar persoane, 219139
Total, Total, Iasi, Anul 2002, Numar persoane, 220020
Total, Total, Iasi, Anul 2003, Numar persoane, 220782
Total, Total, Iasi, Anul 2004, Numar persoane, 219358
Total, Total, Iasi, Anul 2005, Numar persoane, 214876
Total, Total, Iasi, Anul 2006, Numar persoane, 211772
Total, Total, Iasi, Anul 2007, Numar persoane, 212595
Total, Total, Iasi, Anul 2008, Numar persoane, 207188
Total, Total, Iasi, Anul 2009, Numar persoane, 204175
Total, Total, Iasi, Anul 2010, Numar persoane, 199677
Total, Total, Iasi, Anul 2011, Numar persoane, 193865
Total, Total, Iasi, Anul 2012, Numar persoane, 190412
Total, Total, Iasi, Anul 2013, Numar persoane, 185788
Total, Total, Iasi, Anul 2014, Numar persoane, 196078
Total, Total, Iasi, Anul 2015, Numar persoane, 191754
Total, Total, Iasi, Anul 2016, Numar persoane, 189342
Total, Total, Iasi, Anul 2017, Numar persoane, 187435
Total, Total, Neamt, Anul 1995, Numar persoane, 117257
Total, Total, Neamt, Anul 1996, Numar persoane, 115685
Total, Total, Neamt, Anul 1997, Numar persoane, 112609
Total, Total, Neamt, Anul 1998, Numar persoane, 113119
Total, Total, Neamt, Anul 1999, Numar persoane, 111672
Total, Total, Neamt, Anul 2000, Numar persoane, 109417
Total, Total, Neamt, Anul 2001, Numar persoane, 108994
Total, Total, Neamt, Anul 2002, Numar persoane, 105570
Total, Total, Neamt, Anul 2003, Numar persoane, 103668
Total, Total, Neamt, Anul 2004, Numar persoane, 101187
Total, Total, Neamt, Anul 2005, Numar persoane, 97410
Total, Total, Neamt, Anul 2006, Numar persoane, 94271
Total, Total, Neamt, Anul 2007, Numar persoane, 90898
Total, Total, Neamt, Anul 2008, Numar persoane, 88716
Total, Total, Neamt, Anul 2009, Numar persoane, 88248
Total, Total, Neamt, Anul 2010, Numar persoane, 86433
Total, Total, Neamt, Anul 2011, Numar persoane, 83733
Total, Total, Neamt, Anul 2012, Numar persoane, 82982
Total, Total, Neamt, Anul 2013, Numar persoane, 80263
Total, Total, Neamt, Anul 2014, Numar persoane, 79245
Total, Total, Neamt, Anul 2015, Numar persoane, 76214
Total, Total, Neamt, Anul 2016, Numar persoane, 74450
Total, Total, Neamt, Anul 2017, Numar persoane, 72924
Total, Total, Suceava, Anul 1995, Numar persoane, 148578
Total, Total, Suceava, Anul 1996, Numar persoane, 148998
Total, Total, Suceava, Anul 1997, Numar persoane, 148916
Total, Total, Suceava, Anul 1998, Numar persoane, 149631
Total, Total, Suceava, Anul 1999, Numar persoane, 150137
Total, Total, Suceava, Anul 2000, Numar persoane, 149692
Total, Total, Suceava, Anul 2001, Numar persoane, 149886
Total, Total, Suceava, Anul 2002, Numar persoane, 148232
Total, Total, Suceava, Anul 2003, Numar persoane, 149851
Total, Total, Suceava, Anul 2004, Numar persoane, 148120
Total, Total, Suceava, Anul 2005, Numar persoane, 146018
Total, Total, Suceava, Anul 2006, Numar persoane, 145092
Total, Total, Suceava, Anul 2007, Numar persoane, 145116
Total, Total, Suceava, Anul 2008, Numar persoane, 143327
Total, Total, Suceava, Anul 2009, Numar persoane, 143023
Total, Total, Suceava, Anul 2010, Numar persoane, 140601
Total, Total, Suceava, Anul 2011, Numar persoane, 136826
Total, Total, Suceava, Anul 2012, Numar persoane, 133575
Total, Total, Suceava, Anul 2013, Numar persoane, 131793
Total, Total, Suceava, Anul 2014, Numar persoane, 131778
Total, Total, Suceava, Anul 2015, Numar persoane, 128369
Total, Total, Suceava, Anul 2016, Numar persoane, 125107
Total, Total, Suceava, Anul 2017, Numar persoane, 124176
Total, Total, Vaslui, Anul 1995, Numar persoane, 96169
Total, Total, Vaslui, Anul 1996, Numar persoane, 96561
Total, Total, Vaslui, Anul 1997, Numar persoane, 94337
Total, Total, Vaslui, Anul 1998, Numar persoane, 94920
Total, Total, Vaslui, Anul 1999, Numar persoane, 94412
Total, Total, Vaslui, Anul 2000, Numar persoane, 93099
Total, Total, Vaslui, Anul 2001, Numar persoane, 92729
Total, Total, Vaslui, Anul 2002, Numar persoane, 91127
Total, Total, Vaslui, Anul 2003, Numar persoane, 92180
Total, Total, Vaslui, Anul 2004, Numar persoane, 91891
Total, Total, Vaslui, Anul 2005, Numar persoane, 90027
Total, Total, Vaslui, Anul 2006, Numar persoane, 87931
Total, Total, Vaslui, Anul 2007, Numar persoane, 86551
Total, Total, Vaslui, Anul 2008, Numar persoane, 84801
Total, Total, Vaslui, Anul 2009, Numar persoane, 83606
Total, Total, Vaslui, Anul 2010, Numar persoane, 81650
Total, Total, Vaslui, Anul 2011, Numar persoane, 79891
Total, Total, Vaslui, Anul 2012, Numar persoane, 79228
Total, Total, Vaslui, Anul 2013, Numar persoane, 76391
Total, Total, Vaslui, Anul 2014, Numar persoane, 74892
Total, Total, Vaslui, Anul 2015, Numar persoane, 71780
Total, Total, Vaslui, Anul 2016, Numar persoane, 69775
Total, Total, Vaslui, Anul 2017, Numar persoane, 67574
Total, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 590004
Total, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 587889
Total, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 582675
Total, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 577313
Total, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 566991
Total, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 565934
Total, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 559328
Total, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 550736
Total, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 544935
Total, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 530449
Total, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 518899
Total, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 510395
Total, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 509656
Total, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 499250
Total, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 492802
Total, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 486012
Total, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 466122
Total, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 456284
Total, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 445950
Total, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 447976
Total, Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 436396
Total, Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 428506
Total, Total, Regiunea SUD-EST, Anul 2017, Numar persoane, 423192
Total, Total, Braila, Anul 1995, Numar persoane, 76157
Total, Total, Braila, Anul 1996, Numar persoane, 75292
Total, Total, Braila, Anul 1997, Numar persoane, 74832
Total, Total, Braila, Anul 1998, Numar persoane, 73269
Total, Total, Braila, Anul 1999, Numar persoane, 70868
Total, Total, Braila, Anul 2000, Numar persoane, 69749
Total, Total, Braila, Anul 2001, Numar persoane, 68212
Total, Total, Braila, Anul 2002, Numar persoane, 66948
Total, Total, Braila, Anul 2003, Numar persoane, 65270
Total, Total, Braila, Anul 2004, Numar persoane, 62640
Total, Total, Braila, Anul 2005, Numar persoane, 60589
Total, Total, Braila, Anul 2006, Numar persoane, 58009
Total, Total, Braila, Anul 2007, Numar persoane, 57202
Total, Total, Braila, Anul 2008, Numar persoane, 55106
Total, Total, Braila, Anul 2009, Numar persoane, 54971
Total, Total, Braila, Anul 2010, Numar persoane, 53153
Total, Total, Braila, Anul 2011, Numar persoane, 52192
Total, Total, Braila, Anul 2012, Numar persoane, 51893
Total, Total, Braila, Anul 2013, Numar persoane, 51308
Total, Total, Braila, Anul 2014, Numar persoane, 50446
Total, Total, Braila, Anul 2015, Numar persoane, 48640
Total, Total, Braila, Anul 2016, Numar persoane, 47000
Total, Total, Braila, Anul 2017, Numar persoane, 45716
Total, Total, Buzau, Anul 1995, Numar persoane, 93107
Total, Total, Buzau, Anul 1996, Numar persoane, 92701
Total, Total, Buzau, Anul 1997, Numar persoane, 92201
Total, Total, Buzau, Anul 1998, Numar persoane, 90639
Total, Total, Buzau, Anul 1999, Numar persoane, 89331
Total, Total, Buzau, Anul 2000, Numar persoane, 87692
Total, Total, Buzau, Anul 2001, Numar persoane, 86258
Total, Total, Buzau, Anul 2002, Numar persoane, 85593
Total, Total, Buzau, Anul 2003, Numar persoane, 85794
Total, Total, Buzau, Anul 2004, Numar persoane, 83104
Total, Total, Buzau, Anul 2005, Numar persoane, 80591
Total, Total, Buzau, Anul 2006, Numar persoane, 78232
Total, Total, Buzau, Anul 2007, Numar persoane, 76502
Total, Total, Buzau, Anul 2008, Numar persoane, 74910
Total, Total, Buzau, Anul 2009, Numar persoane, 74406
Total, Total, Buzau, Anul 2010, Numar persoane, 73694
Total, Total, Buzau, Anul 2011, Numar persoane, 72906
Total, Total, Buzau, Anul 2012, Numar persoane, 72039
Total, Total, Buzau, Anul 2013, Numar persoane, 71353
Total, Total, Buzau, Anul 2014, Numar persoane, 70519
Total, Total, Buzau, Anul 2015, Numar persoane, 68823
Total, Total, Buzau, Anul 2016, Numar persoane, 67026
Total, Total, Buzau, Anul 2017, Numar persoane, 66109
Total, Total, Constanta, Anul 1995, Numar persoane, 160524
Total, Total, Constanta, Anul 1996, Numar persoane, 160408
Total, Total, Constanta, Anul 1997, Numar persoane, 157719
Total, Total, Constanta, Anul 1998, Numar persoane, 156417
Total, Total, Constanta, Anul 1999, Numar persoane, 155393
Total, Total, Constanta, Anul 2000, Numar persoane, 157971
Total, Total, Constanta, Anul 2001, Numar persoane, 158339
Total, Total, Constanta, Anul 2002, Numar persoane, 156058
Total, Total, Constanta, Anul 2003, Numar persoane, 155310
Total, Total, Constanta, Anul 2004, Numar persoane, 153286
Total, Total, Constanta, Anul 2005, Numar persoane, 152811
Total, Total, Constanta, Anul 2006, Numar persoane, 152859
Total, Total, Constanta, Anul 2007, Numar persoane, 157659
Total, Total, Constanta, Anul 2008, Numar persoane, 156332
Total, Total, Constanta, Anul 2009, Numar persoane, 152075
Total, Total, Constanta, Anul 2010, Numar persoane, 154026
Total, Total, Constanta, Anul 2011, Numar persoane, 142941
Total, Total, Constanta, Anul 2012, Numar persoane, 139380
Total, Total, Constanta, Anul 2013, Numar persoane, 135552
Total, Total, Constanta, Anul 2014, Numar persoane, 138786
Total, Total, Constanta, Anul 2015, Numar persoane, 136320
Total, Total, Constanta, Anul 2016, Numar persoane, 134646
Total, Total, Constanta, Anul 2017, Numar persoane, 133686
Total, Total, Galati, Anul 1995, Numar persoane, 132295
Total, Total, Galati, Anul 1996, Numar persoane, 132579
Total, Total, Galati, Anul 1997, Numar persoane, 131178
Total, Total, Galati, Anul 1998, Numar persoane, 132122
Total, Total, Galati, Anul 1999, Numar persoane, 129833
Total, Total, Galati, Anul 2000, Numar persoane, 131362
Total, Total, Galati, Anul 2001, Numar persoane, 131471
Total, Total, Galati, Anul 2002, Numar persoane, 129287
Total, Total, Galati, Anul 2003, Numar persoane, 128485
Total, Total, Galati, Anul 2004, Numar persoane, 124967
Total, Total, Galati, Anul 2005, Numar persoane, 122066
Total, Total, Galati, Anul 2006, Numar persoane, 121264
Total, Total, Galati, Anul 2007, Numar persoane, 120085
Total, Total, Galati, Anul 2008, Numar persoane, 117809
Total, Total, Galati, Anul 2009, Numar persoane, 117676
Total, Total, Galati, Anul 2010, Numar persoane, 112881
Total, Total, Galati, Anul 2011, Numar persoane, 107427
Total, Total, Galati, Anul 2012, Numar persoane, 103479
Total, Total, Galati, Anul 2013, Numar persoane, 99852
Total, Total, Galati, Anul 2014, Numar persoane, 101781
Total, Total, Galati, Anul 2015, Numar persoane, 98991
Total, Total, Galati, Anul 2016, Numar persoane, 96969
Total, Total, Galati, Anul 2017, Numar persoane, 95793
Total, Total, Tulcea, Anul 1995, Numar persoane, 54713
Total, Total, Tulcea, Anul 1996, Numar persoane, 54270
Total, Total, Tulcea, Anul 1997, Numar persoane, 53956
Total, Total, Tulcea, Anul 1998, Numar persoane, 52795
Total, Total, Tulcea, Anul 1999, Numar persoane, 50954
Total, Total, Tulcea, Anul 2000, Numar persoane, 49685
Total, Total, Tulcea, Anul 2001, Numar persoane, 47413
Total, Total, Tulcea, Anul 2002, Numar persoane, 46517
Total, Total, Tulcea, Anul 2003, Numar persoane, 45003
Total, Total, Tulcea, Anul 2004, Numar persoane, 43019
Total, Total, Tulcea, Anul 2005, Numar persoane, 41612
Total, Total, Tulcea, Anul 2006, Numar persoane, 40122
Total, Total, Tulcea, Anul 2007, Numar persoane, 39350
Total, Total, Tulcea, Anul 2008, Numar persoane, 37783
Total, Total, Tulcea, Anul 2009, Numar persoane, 36970
Total, Total, Tulcea, Anul 2010, Numar persoane, 36372
Total, Total, Tulcea, Anul 2011, Numar persoane, 35088
Total, Total, Tulcea, Anul 2012, Numar persoane, 34293
Total, Total, Tulcea, Anul 2013, Numar persoane, 33757
Total, Total, Tulcea, Anul 2014, Numar persoane, 33243
Total, Total, Tulcea, Anul 2015, Numar persoane, 32128
Total, Total, Tulcea, Anul 2016, Numar persoane, 31386
Total, Total, Tulcea, Anul 2017, Numar persoane, 31070
Total, Total, Vrancea, Anul 1995, Numar persoane, 73208
Total, Total, Vrancea, Anul 1996, Numar persoane, 72639
Total, Total, Vrancea, Anul 1997, Numar persoane, 72789
Total, Total, Vrancea, Anul 1998, Numar persoane, 72071
Total, Total, Vrancea, Anul 1999, Numar persoane, 70612
Total, Total, Vrancea, Anul 2000, Numar persoane, 69475
Total, Total, Vrancea, Anul 2001, Numar persoane, 67635
Total, Total, Vrancea, Anul 2002, Numar persoane, 66333
Total, Total, Vrancea, Anul 2003, Numar persoane, 65073
Total, Total, Vrancea, Anul 2004, Numar persoane, 63433
Total, Total, Vrancea, Anul 2005, Numar persoane, 61230
Total, Total, Vrancea, Anul 2006, Numar persoane, 59909
Total, Total, Vrancea, Anul 2007, Numar persoane, 58858
Total, Total, Vrancea, Anul 2008, Numar persoane, 57310
Total, Total, Vrancea, Anul 2009, Numar persoane, 56704
Total, Total, Vrancea, Anul 2010, Numar persoane, 55886
Total, Total, Vrancea, Anul 2011, Numar persoane, 55568
Total, Total, Vrancea, Anul 2012, Numar persoane, 55200
Total, Total, Vrancea, Anul 2013, Numar persoane, 54128
Total, Total, Vrancea, Anul 2014, Numar persoane, 53201
Total, Total, Vrancea, Anul 2015, Numar persoane, 51494
Total, Total, Vrancea, Anul 2016, Numar persoane, 51479
Total, Total, Vrancea, Anul 2017, Numar persoane, 50818
Total, Total, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 1206079
Total, Total, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 1190368
Total, Total, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 1179123
Total, Total, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 1171915
Total, Total, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 1152775
Total, Total, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 1153909
Total, Total, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 1152971
Total, Total, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 1136205
Total, Total, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 1138997
Total, Total, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 1130959
Total, Total, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 1143605
Total, Total, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 1169726
Total, Total, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 1244197
Total, Total, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 1222468
Total, Total, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 1115231
Total, Total, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 1041116
Total, Total, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 969403
Total, Total, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 944768
Total, Total, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 925061
Total, Total, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 973361
Total, Total, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 956436
Total, Total, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 954044
Total, Total, MACROREGIUNEA TREI, Anul 2017, Numar persoane, 960996
Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 644085
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 638097
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 633036
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 630498
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 623825
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 623013
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 621892
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 613282
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 611812
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 596270
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 580359
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 562569
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 554426
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 538832
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 536153
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 523362
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 505704
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 499990
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 487096
Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 487097
Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 471648
Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 462368
Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 454205
Total, Total, Arges, Anul 1995, Numar persoane, 138953
Total, Total, Arges, Anul 1996, Numar persoane, 136587
Total, Total, Arges, Anul 1997, Numar persoane, 135898
Total, Total, Arges, Anul 1998, Numar persoane, 135085
Total, Total, Arges, Anul 1999, Numar persoane, 134434
Total, Total, Arges, Anul 2000, Numar persoane, 138281
Total, Total, Arges, Anul 2001, Numar persoane, 140194
Total, Total, Arges, Anul 2002, Numar persoane, 139210
Total, Total, Arges, Anul 2003, Numar persoane, 137978
Total, Total, Arges, Anul 2004, Numar persoane, 133768
Total, Total, Arges, Anul 2005, Numar persoane, 130152
Total, Total, Arges, Anul 2006, Numar persoane, 125628
Total, Total, Arges, Anul 2007, Numar persoane, 124596
Total, Total, Arges, Anul 2008, Numar persoane, 119946
Total, Total, Arges, Anul 2009, Numar persoane, 120856
Total, Total, Arges, Anul 2010, Numar persoane, 114602
Total, Total, Arges, Anul 2011, Numar persoane, 108404
Total, Total, Arges, Anul 2012, Numar persoane, 106495
Total, Total, Arges, Anul 2013, Numar persoane, 103593
Total, Total, Arges, Anul 2014, Numar persoane, 105978
Total, Total, Arges, Anul 2015, Numar persoane, 103333
Total, Total, Arges, Anul 2016, Numar persoane, 102390
Total, Total, Arges, Anul 2017, Numar persoane, 101992
Total, Total, Calarasi, Anul 1995, Numar persoane, 59079
Total, Total, Calarasi, Anul 1996, Numar persoane, 59571
Total, Total, Calarasi, Anul 1997, Numar persoane, 59925
Total, Total, Calarasi, Anul 1998, Numar persoane, 59607
Total, Total, Calarasi, Anul 1999, Numar persoane, 58685
Total, Total, Calarasi, Anul 2000, Numar persoane, 57095
Total, Total, Calarasi, Anul 2001, Numar persoane, 57163
Total, Total, Calarasi, Anul 2002, Numar persoane, 57234
Total, Total, Calarasi, Anul 2003, Numar persoane, 56267
Total, Total, Calarasi, Anul 2004, Numar persoane, 54828
Total, Total, Calarasi, Anul 2005, Numar persoane, 53016
Total, Total, Calarasi, Anul 2006, Numar persoane, 51629
Total, Total, Calarasi, Anul 2007, Numar persoane, 51259
Total, Total, Calarasi, Anul 2008, Numar persoane, 50694
Total, Total, Calarasi, Anul 2009, Numar persoane, 50167
Total, Total, Calarasi, Anul 2010, Numar persoane, 50012
Total, Total, Calarasi, Anul 2011, Numar persoane, 48442
Total, Total, Calarasi, Anul 2012, Numar persoane, 47569
Total, Total, Calarasi, Anul 2013, Numar persoane, 46849
Total, Total, Calarasi, Anul 2014, Numar persoane, 45777
Total, Total, Calarasi, Anul 2015, Numar persoane, 44486
Total, Total, Calarasi, Anul 2016, Numar persoane, 43697
Total, Total, Calarasi, Anul 2017, Numar persoane, 42401
Total, Total, Dambovita, Anul 1995, Numar persoane, 108522
Total, Total, Dambovita, Anul 1996, Numar persoane, 107954
Total, Total, Dambovita, Anul 1997, Numar persoane, 107892
Total, Total, Dambovita, Anul 1998, Numar persoane, 109045
Total, Total, Dambovita, Anul 1999, Numar persoane, 110105
Total, Total, Dambovita, Anul 2000, Numar persoane, 109933
Total, Total, Dambovita, Anul 2001, Numar persoane, 110054
Total, Total, Dambovita, Anul 2002, Numar persoane, 106066
Total, Total, Dambovita, Anul 2003, Numar persoane, 105265
Total, Total, Dambovita, Anul 2004, Numar persoane, 101761
Total, Total, Dambovita, Anul 2005, Numar persoane, 98774
Total, Total, Dambovita, Anul 2006, Numar persoane, 95462
Total, Total, Dambovita, Anul 2007, Numar persoane, 93600
Total, Total, Dambovita, Anul 2008, Numar persoane, 91633
Total, Total, Dambovita, Anul 2009, Numar persoane, 90996
Total, Total, Dambovita, Anul 2010, Numar persoane, 88610
Total, Total, Dambovita, Anul 2011, Numar persoane, 84468
Total, Total, Dambovita, Anul 2012, Numar persoane, 83703
Total, Total, Dambovita, Anul 2013, Numar persoane, 81050
Total, Total, Dambovita, Anul 2014, Numar persoane, 81123
Total, Total, Dambovita, Anul 2015, Numar persoane, 78003
Total, Total, Dambovita, Anul 2016, Numar persoane, 76484
Total, Total, Dambovita, Anul 2017, Numar persoane, 75412
Total, Total, Giurgiu, Anul 1995, Numar persoane, 44500
Total, Total, Giurgiu, Anul 1996, Numar persoane, 45266
Total, Total, Giurgiu, Anul 1997, Numar persoane, 45065
Total, Total, Giurgiu, Anul 1998, Numar persoane, 45065
Total, Total, Giurgiu, Anul 1999, Numar persoane, 44385
Total, Total, Giurgiu, Anul 2000, Numar persoane, 44018
Total, Total, Giurgiu, Anul 2001, Numar persoane, 43375
Total, Total, Giurgiu, Anul 2002, Numar persoane, 42899
Total, Total, Giurgiu, Anul 2003, Numar persoane, 43424
Total, Total, Giurgiu, Anul 2004, Numar persoane, 42940
Total, Total, Giurgiu, Anul 2005, Numar persoane, 41679
Total, Total, Giurgiu, Anul 2006, Numar persoane, 41430
Total, Total, Giurgiu, Anul 2007, Numar persoane, 40976
Total, Total, Giurgiu, Anul 2008, Numar persoane, 40675
Total, Total, Giurgiu, Anul 2009, Numar persoane, 40183
Total, Total, Giurgiu, Anul 2010, Numar persoane, 39376
Total, Total, Giurgiu, Anul 2011, Numar persoane, 38437
Total, Total, Giurgiu, Anul 2012, Numar persoane, 38249
Total, Total, Giurgiu, Anul 2013, Numar persoane, 37613
Total, Total, Giurgiu, Anul 2014, Numar persoane, 37245
Total, Total, Giurgiu, Anul 2015, Numar persoane, 36316
Total, Total, Giurgiu, Anul 2016, Numar persoane, 35835
Total, Total, Giurgiu, Anul 2017, Numar persoane, 34906
Total, Total, Ialomita, Anul 1995, Numar persoane, 55647
Total, Total, Ialomita, Anul 1996, Numar persoane, 55402
Total, Total, Ialomita, Anul 1997, Numar persoane, 55009
Total, Total, Ialomita, Anul 1998, Numar persoane, 54507
Total, Total, Ialomita, Anul 1999, Numar persoane, 53534
Total, Total, Ialomita, Anul 2000, Numar persoane, 53639
Total, Total, Ialomita, Anul 2001, Numar persoane, 53246
Total, Total, Ialomita, Anul 2002, Numar persoane, 51166
Total, Total, Ialomita, Anul 2003, Numar persoane, 51983
Total, Total, Ialomita, Anul 2004, Numar persoane, 51042
Total, Total, Ialomita, Anul 2005, Numar persoane, 50623
Total, Total, Ialomita, Anul 2006, Numar persoane, 48987
Total, Total, Ialomita, Anul 2007, Numar persoane, 48195
Total, Total, Ialomita, Anul 2008, Numar persoane, 46859
Total, Total, Ialomita, Anul 2009, Numar persoane, 46334
Total, Total, Ialomita, Anul 2010, Numar persoane, 45350
Total, Total, Ialomita, Anul 2011, Numar persoane, 44413
Total, Total, Ialomita, Anul 2012, Numar persoane, 43860
Total, Total, Ialomita, Anul 2013, Numar persoane, 42581
Total, Total, Ialomita, Anul 2014, Numar persoane, 41429
Total, Total, Ialomita, Anul 2015, Numar persoane, 39993
Total, Total, Ialomita, Anul 2016, Numar persoane, 39221
Total, Total, Ialomita, Anul 2017, Numar persoane, 38292
Total, Total, Prahova, Anul 1995, Numar persoane, 162595
Total, Total, Prahova, Anul 1996, Numar persoane, 158953
Total, Total, Prahova, Anul 1997, Numar persoane, 154980
Total, Total, Prahova, Anul 1998, Numar persoane, 153432
Total, Total, Prahova, Anul 1999, Numar persoane, 150548
Total, Total, Prahova, Anul 2000, Numar persoane, 148776
Total, Total, Prahova, Anul 2001, Numar persoane, 147110
Total, Total, Prahova, Anul 2002, Numar persoane, 145991
Total, Total, Prahova, Anul 2003, Numar persoane, 145962
Total, Total, Prahova, Anul 2004, Numar persoane, 143080
