Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Neamt, Anul 2014, Numar, 4
Total, Neamt, Anul 2015, Numar, 4
Total, Neamt, Anul 2016, Numar, 4
Total, Neamt, Anul 2017, Numar, 4
Total, Suceava, Anul 1990, Numar, 3
Total, Suceava, Anul 1991, Numar, 5
Total, Suceava, Anul 1992, Numar, 5
Total, Suceava, Anul 1993, Numar, 5
Total, Suceava, Anul 1994, Numar, 4
Total, Suceava, Anul 1995, Numar, 5
Total, Suceava, Anul 1996, Numar, 5
Total, Suceava, Anul 1997, Numar, 5
Total, Suceava, Anul 1998, Numar, 5
Total, Suceava, Anul 1999, Numar, 6
Total, Suceava, Anul 2000, Numar, 9
Total, Suceava, Anul 2001, Numar, 10
Total, Suceava, Anul 2002, Numar, 11
Total, Suceava, Anul 2003, Numar, 11
Total, Suceava, Anul 2004, Numar, 10
Total, Suceava, Anul 2005, Numar, 12
Total, Suceava, Anul 2006, Numar, 13
Total, Suceava, Anul 2007, Numar, 10
Total, Suceava, Anul 2008, Numar, 10
Total, Suceava, Anul 2009, Numar, 10
Total, Suceava, Anul 2010, Numar, 10
Total, Suceava, Anul 2011, Numar, 11
Total, Suceava, Anul 2012, Numar, 10
Total, Suceava, Anul 2013, Numar, 10
Total, Suceava, Anul 2014, Numar, 10
Total, Suceava, Anul 2015, Numar, 10
Total, Suceava, Anul 2016, Numar, 11
Total, Suceava, Anul 2017, Numar, 11
Total, Vaslui, Anul 1999, Numar, 1
Total, Vaslui, Anul 2000, Numar, 1
Total, Vaslui, Anul 2001, Numar, 1
Total, Vaslui, Anul 2002, Numar, 1
Total, Vaslui, Anul 2003, Numar, 1
Total, Vaslui, Anul 2004, Numar, 1
Total, Vaslui, Anul 2005, Numar, 1
Total, Vaslui, Anul 2006, Numar, 1
Total, Regiunea SUD-EST, Anul 1990, Numar, 11
Total, Regiunea SUD-EST, Anul 1991, Numar, 17
Total, Regiunea SUD-EST, Anul 1992, Numar, 17
Total, Regiunea SUD-EST, Anul 1993, Numar, 17
Total, Regiunea SUD-EST, Anul 1994, Numar, 17
Total, Regiunea SUD-EST, Anul 1995, Numar, 26
Total, Regiunea SUD-EST, Anul 1996, Numar, 31
Total, Regiunea SUD-EST, Anul 1997, Numar, 39
Total, Regiunea SUD-EST, Anul 1998, Numar, 41
Total, Regiunea SUD-EST, Anul 1999, Numar, 46
Total, Regiunea SUD-EST, Anul 2000, Numar, 50
Total, Regiunea SUD-EST, Anul 2001, Numar, 55
Total, Regiunea SUD-EST, Anul 2002, Numar, 57
Total, Regiunea SUD-EST, Anul 2003, Numar, 58
Total, Regiunea SUD-EST, Anul 2004, Numar, 60
Total, Regiunea SUD-EST, Anul 2005, Numar, 66
Total, Regiunea SUD-EST, Anul 2006, Numar, 65
Total, Regiunea SUD-EST, Anul 2007, Numar, 54
Total, Regiunea SUD-EST, Anul 2008, Numar, 53
Total, Regiunea SUD-EST, Anul 2009, Numar, 53
Total, Regiunea SUD-EST, Anul 2010, Numar, 54
Total, Regiunea SUD-EST, Anul 2011, Numar, 53
Total, Regiunea SUD-EST, Anul 2012, Numar, 53
Total, Regiunea SUD-EST, Anul 2013, Numar, 53
Total, Regiunea SUD-EST, Anul 2014, Numar, 52
Total, Regiunea SUD-EST, Anul 2015, Numar, 50
Total, Regiunea SUD-EST, Anul 2016, Numar, 50
Total, Regiunea SUD-EST, Anul 2017, Numar, 50
Total, Braila, Anul 1990, Numar, 1
Total, Braila, Anul 1991, Numar, 1
Total, Braila, Anul 1992, Numar, 1
Total, Braila, Anul 1993, Numar, 1
Total, Braila, Anul 1994, Numar, 1
Total, Braila, Anul 1995, Numar, 2
Total, Braila, Anul 1996, Numar, 2
Total, Braila, Anul 1997, Numar, 2
Total, Braila, Anul 1998, Numar, 2
Total, Braila, Anul 1999, Numar, 3
Total, Braila, Anul 2000, Numar, 3
Total, Braila, Anul 2001, Numar, 5
Total, Braila, Anul 2002, Numar, 5
Total, Braila, Anul 2003, Numar, 4
Total, Braila, Anul 2004, Numar, 4
Total, Braila, Anul 2005, Numar, 4
Total, Braila, Anul 2006, Numar, 4
Total, Braila, Anul 2007, Numar, 3
Total, Braila, Anul 2008, Numar, 3
Total, Braila, Anul 2009, Numar, 3
Total, Braila, Anul 2010, Numar, 3
Total, Braila, Anul 2011, Numar, 3
Total, Braila, Anul 2012, Numar, 3
Total, Braila, Anul 2013, Numar, 3
Total, Braila, Anul 2014, Numar, 3
Total, Braila, Anul 2015, Numar, 2
Total, Braila, Anul 2016, Numar, 2
Total, Braila, Anul 2017, Numar, 2
Total, Buzau, Anul 1991, Numar, 1
Total, Buzau, Anul 1992, Numar, 1
Total, Buzau, Anul 1993, Numar, 1
Total, Buzau, Anul 1994, Numar, 1
Total, Buzau, Anul 1995, Numar, 3
Total, Buzau, Anul 1996, Numar, 3
Total, Buzau, Anul 1997, Numar, 3
Total, Buzau, Anul 1998, Numar, 2
Total, Buzau, Anul 1999, Numar, 2
Total, Buzau, Anul 2000, Numar, 3
Total, Buzau, Anul 2001, Numar, 3
Total, Buzau, Anul 2002, Numar, 3
Total, Buzau, Anul 2003, Numar, 2
Total, Buzau, Anul 2004, Numar, 2
Total, Buzau, Anul 2005, Numar, 3
Total, Buzau, Anul 2006, Numar, 3
Total, Buzau, Anul 2007, Numar, 1
Total, Buzau, Anul 2008, Numar, 1
Total, Buzau, Anul 2009, Numar, 1
Total, Buzau, Anul 2010, Numar, 1
Total, Buzau, Anul 2011, Numar, 2
Total, Buzau, Anul 2012, Numar, 2
Total, Buzau, Anul 2013, Numar, 3
Total, Buzau, Anul 2014, Numar, 3
Total, Buzau, Anul 2015, Numar, 3
Total, Buzau, Anul 2016, Numar, 3
Total, Buzau, Anul 2017, Numar, 3
Total, Constanta, Anul 1990, Numar, 5
Total, Constanta, Anul 1991, Numar, 8
Total, Constanta, Anul 1992, Numar, 8
Total, Constanta, Anul 1993, Numar, 8
Total, Constanta, Anul 1994, Numar, 8
Total, Constanta, Anul 1995, Numar, 12
Total, Constanta, Anul 1996, Numar, 17
Total, Constanta, Anul 1997, Numar, 21
Total, Constanta, Anul 1998, Numar, 23
Total, Constanta, Anul 1999, Numar, 25
Total, Constanta, Anul 2000, Numar, 28
Total, Constanta, Anul 2001, Numar, 30
Total, Constanta, Anul 2002, Numar, 31
Total, Constanta, Anul 2003, Numar, 32
Total, Constanta, Anul 2004, Numar, 33
Total, Constanta, Anul 2005, Numar, 32
Total, Constanta, Anul 2006, Numar, 32
Total, Constanta, Anul 2007, Numar, 30
Total, Constanta, Anul 2008, Numar, 28
Total, Constanta, Anul 2009, Numar, 29
Total, Constanta, Anul 2010, Numar, 29
Total, Constanta, Anul 2011, Numar, 28
Total, Constanta, Anul 2012, Numar, 28
Total, Constanta, Anul 2013, Numar, 28
Total, Constanta, Anul 2014, Numar, 28
Total, Constanta, Anul 2015, Numar, 27
Total, Constanta, Anul 2016, Numar, 27
Total, Constanta, Anul 2017, Numar, 27
Total, Galati, Anul 1990, Numar, 5
Total, Galati, Anul 1991, Numar, 7
Total, Galati, Anul 1992, Numar, 7
Total, Galati, Anul 1993, Numar, 7
Total, Galati, Anul 1994, Numar, 7
Total, Galati, Anul 1995, Numar, 9
Total, Galati, Anul 1996, Numar, 9
Total, Galati, Anul 1997, Numar, 12
Total, Galati, Anul 1998, Numar, 13
Total, Galati, Anul 1999, Numar, 14
Total, Galati, Anul 2000, Numar, 14
Total, Galati, Anul 2001, Numar, 15
Total, Galati, Anul 2002, Numar, 16
Total, Galati, Anul 2003, Numar, 17
Total, Galati, Anul 2004, Numar, 19
Total, Galati, Anul 2005, Numar, 24
Total, Galati, Anul 2006, Numar, 24
Total, Galati, Anul 2007, Numar, 19
Total, Galati, Anul 2008, Numar, 20
Total, Galati, Anul 2009, Numar, 19
Total, Galati, Anul 2010, Numar, 19
Total, Galati, Anul 2011, Numar, 18
Total, Galati, Anul 2012, Numar, 18
Total, Galati, Anul 2013, Numar, 17
Total, Galati, Anul 2014, Numar, 16
Total, Galati, Anul 2015, Numar, 16
Total, Galati, Anul 2016, Numar, 16
Total, Galati, Anul 2017, Numar, 16
Total, Vrancea, Anul 1997, Numar, 1
Total, Vrancea, Anul 1998, Numar, 1
Total, Vrancea, Anul 1999, Numar, 2
Total, Vrancea, Anul 2000, Numar, 2
Total, Vrancea, Anul 2001, Numar, 2
Total, Vrancea, Anul 2002, Numar, 2
Total, Vrancea, Anul 2003, Numar, 3
Total, Vrancea, Anul 2004, Numar, 2
Total, Vrancea, Anul 2005, Numar, 3
Total, Vrancea, Anul 2006, Numar, 2
Total, Vrancea, Anul 2007, Numar, 1
Total, Vrancea, Anul 2008, Numar, 1
Total, Vrancea, Anul 2009, Numar, 1
Total, Vrancea, Anul 2010, Numar, 2
Total, Vrancea, Anul 2011, Numar, 2
Total, Vrancea, Anul 2012, Numar, 2
Total, Vrancea, Anul 2013, Numar, 2
Total, Vrancea, Anul 2014, Numar, 2
Total, Vrancea, Anul 2015, Numar, 2
Total, Vrancea, Anul 2016, Numar, 2
Total, Vrancea, Anul 2017, Numar, 2
Total, MACROREGIUNEA TREI, Anul 1990, Numar, 58
Total, MACROREGIUNEA TREI, Anul 1991, Numar, 80
Total, MACROREGIUNEA TREI, Anul 1992, Numar, 81
Total, MACROREGIUNEA TREI, Anul 1993, Numar, 81
Total, MACROREGIUNEA TREI, Anul 1994, Numar, 81
Total, MACROREGIUNEA TREI, Anul 1995, Numar, 162
Total, MACROREGIUNEA TREI, Anul 1996, Numar, 184
Total, MACROREGIUNEA TREI, Anul 1997, Numar, 183
Total, MACROREGIUNEA TREI, Anul 1998, Numar, 193
Total, MACROREGIUNEA TREI, Anul 1999, Numar, 206
Total, MACROREGIUNEA TREI, Anul 2000, Numar, 231
Total, MACROREGIUNEA TREI, Anul 2001, Numar, 231
Total, MACROREGIUNEA TREI, Anul 2002, Numar, 237
Total, MACROREGIUNEA TREI, Anul 2003, Numar, 246
Total, MACROREGIUNEA TREI, Anul 2004, Numar, 236
Total, MACROREGIUNEA TREI, Anul 2005, Numar, 235
Total, MACROREGIUNEA TREI, Anul 2006, Numar, 235
Total, MACROREGIUNEA TREI, Anul 2007, Numar, 206
Total, MACROREGIUNEA TREI, Anul 2008, Numar, 201
Total, MACROREGIUNEA TREI, Anul 2009, Numar, 203
Total, MACROREGIUNEA TREI, Anul 2010, Numar, 207
Total, MACROREGIUNEA TREI, Anul 2011, Numar, 207
Total, MACROREGIUNEA TREI, Anul 2012, Numar, 195
Total, MACROREGIUNEA TREI, Anul 2013, Numar, 198
Total, MACROREGIUNEA TREI, Anul 2014, Numar, 197
Total, MACROREGIUNEA TREI, Anul 2015, Numar, 196
Total, MACROREGIUNEA TREI, Anul 2016, Numar, 191
Total, MACROREGIUNEA TREI, Anul 2017, Numar, 188
Total, Regiunea SUD-MUNTENIA, Anul 1990, Numar, 5
Total, Regiunea SUD-MUNTENIA, Anul 1991, Numar, 10
Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar, 11
Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar, 11
Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar, 11
Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar, 27
Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar, 26
Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar, 18
Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar, 25
Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar, 29
Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar, 38
Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar, 40
Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar, 46
Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar, 49
Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar, 45
Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar, 51
Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar, 51
Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar, 36
Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar, 33
Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar, 37
Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar, 36
Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar, 36
Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar, 38
Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar, 39
Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar, 38
Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar, 38
Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar, 31
Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar, 30
Total, Arges, Anul 1990, Numar, 2
Total, Arges, Anul 1991, Numar, 5
Total, Arges, Anul 1992, Numar, 5
Total, Arges, Anul 1993, Numar, 5
Total, Arges, Anul 1994, Numar, 5
Total, Arges, Anul 1995, Numar, 6
Total, Arges, Anul 1996, Numar, 6
Total, Arges, Anul 1997, Numar, 5
Total, Arges, Anul 1998, Numar, 8
Total, Arges, Anul 1999, Numar, 9
Total, Arges, Anul 2000, Numar, 13
Total, Arges, Anul 2001, Numar, 15
Total, Arges, Anul 2002, Numar, 18
Total, Arges, Anul 2003, Numar, 18
Total, Arges, Anul 2004, Numar, 17
Total, Arges, Anul 2005, Numar, 19
Total, Arges, Anul 2006, Numar, 18
Total, Arges, Anul 2007, Numar, 15
Total, Arges, Anul 2008, Numar, 15
Total, Arges, Anul 2009, Numar, 16
Total, Arges, Anul 2010, Numar, 16
Total, Arges, Anul 2011, Numar, 16
Total, Arges, Anul 2012, Numar, 16
Total, Arges, Anul 2013, Numar, 16
Total, Arges, Anul 2014, Numar, 16
Total, Arges, Anul 2015, Numar, 16
Total, Arges, Anul 2016, Numar, 11
Total, Arges, Anul 2017, Numar, 11
Total, Calarasi, Anul 1998, Numar, 1
Total, Calarasi, Anul 1999, Numar, 2
Total, Calarasi, Anul 2000, Numar, 3
Total, Calarasi, Anul 2001, Numar, 3
Total, Calarasi, Anul 2002, Numar, 3
Total, Calarasi, Anul 2003, Numar, 3
Total, Calarasi, Anul 2004, Numar, 2
Total, Calarasi, Anul 2005, Numar, 5
Total, Calarasi, Anul 2006, Numar, 4
Total, Calarasi, Anul 2007, Numar, 1
Total, Calarasi, Anul 2008, Numar, 1
Total, Calarasi, Anul 2009, Numar, 1
Total, Calarasi, Anul 2010, Numar, 1
Total, Calarasi, Anul 2011, Numar, 1
Total, Calarasi, Anul 2012, Numar, 1
Total, Calarasi, Anul 2013, Numar, 1
Total, Calarasi, Anul 2014, Numar, 1
Total, Calarasi, Anul 2015, Numar, 1
Total, Calarasi, Anul 2016, Numar, 1
Total, Calarasi, Anul 2017, Numar, 1
Total, Dambovita, Anul 1991, Numar, 1
Total, Dambovita, Anul 1992, Numar, 2
Total, Dambovita, Anul 1993, Numar, 2
Total, Dambovita, Anul 1994, Numar, 2
Total, Dambovita, Anul 1995, Numar, 6
Total, Dambovita, Anul 1996, Numar, 6
Total, Dambovita, Anul 1997, Numar, 7
Total, Dambovita, Anul 1998, Numar, 10
Total, Dambovita, Anul 1999, Numar, 12
Total, Dambovita, Anul 2000, Numar, 12
Total, Dambovita, Anul 2001, Numar, 12
Total, Dambovita, Anul 2002, Numar, 13
Total, Dambovita, Anul 2003, Numar, 13
Total, Dambovita, Anul 2004, Numar, 13
Total, Dambovita, Anul 2005, Numar, 14
Total, Dambovita, Anul 2006, Numar, 14
Total, Dambovita, Anul 2007, Numar, 10
Total, Dambovita, Anul 2008, Numar, 10
Total, Dambovita, Anul 2009, Numar, 10
Total, Dambovita, Anul 2010, Numar, 9
Total, Dambovita, Anul 2011, Numar, 9
Total, Dambovita, Anul 2012, Numar, 9
Total, Dambovita, Anul 2013, Numar, 10
Total, Dambovita, Anul 2014, Numar, 9
Total, Dambovita, Anul 2015, Numar, 9
Total, Dambovita, Anul 2016, Numar, 9
Total, Dambovita, Anul 2017, Numar, 10
Total, Giurgiu, Anul 2000, Numar, 1
Total, Giurgiu, Anul 2001, Numar, 1
Total, Giurgiu, Anul 2002, Numar, 1
Total, Giurgiu, Anul 2003, Numar, 1
Total, Giurgiu, Anul 2004, Numar, 1
Total, Giurgiu, Anul 2005, Numar, 1
Total, Giurgiu, Anul 2006, Numar, 1
Total, Ialomita, Anul 2000, Numar, 3
Total, Ialomita, Anul 2001, Numar, 3
Total, Ialomita, Anul 2002, Numar, 3
Total, Ialomita, Anul 2003, Numar, 3
Total, Ialomita, Anul 2004, Numar, 2
Total, Ialomita, Anul 2005, Numar, 2
Total, Ialomita, Anul 2006, Numar, 2
Total, Ialomita, Anul 2007, Numar, 1
Total, Ialomita, Anul 2009, Numar, 2
Total, Ialomita, Anul 2010, Numar, 2
Total, Ialomita, Anul 2011, Numar, 2
Total, Ialomita, Anul 2012, Numar, 2
Total, Ialomita, Anul 2013, Numar, 2
Total, Ialomita, Anul 2014, Numar, 2
Total, Ialomita, Anul 2015, Numar, 2
Total, Ialomita, Anul 2016, Numar, 2
Total, Prahova, Anul 1990, Numar, 3
Total, Prahova, Anul 1991, Numar, 4
Total, Prahova, Anul 1992, Numar, 4
Total, Prahova, Anul 1993, Numar, 4
Total, Prahova, Anul 1994, Numar, 4
Total, Prahova, Anul 1995, Numar, 15
Total, Prahova, Anul 1996, Numar, 14
Total, Prahova, Anul 1997, Numar, 6
Total, Prahova, Anul 1998, Numar, 6
Total, Prahova, Anul 1999, Numar, 6
Total, Prahova, Anul 2000, Numar, 6
Total, Prahova, Anul 2001, Numar, 6
Total, Prahova, Anul 2002, Numar, 6
Total, Prahova, Anul 2003, Numar, 6
Total, Prahova, Anul 2004, Numar, 5
Total, Prahova, Anul 2005, Numar, 7
Total, Prahova, Anul 2006, Numar, 7
Total, Prahova, Anul 2007, Numar, 5
Total, Prahova, Anul 2008, Numar, 5
Total, Prahova, Anul 2009, Numar, 5
Total, Prahova, Anul 2010, Numar, 5
Total, Prahova, Anul 2011, Numar, 5
Total, Prahova, Anul 2012, Numar, 7
Total, Prahova, Anul 2013, Numar, 7
Total, Prahova, Anul 2014, Numar, 7
Total, Prahova, Anul 2015, Numar, 7
Total, Prahova, Anul 2016, Numar, 5
Total, Prahova, Anul 2017, Numar, 5
Total, Teleorman, Anul 2002, Numar, 2
Total, Teleorman, Anul 2003, Numar, 5
Total, Teleorman, Anul 2004, Numar, 5
Total, Teleorman, Anul 2005, Numar, 3
Total, Teleorman, Anul 2006, Numar, 5
Total, Teleorman, Anul 2007, Numar, 4
Total, Teleorman, Anul 2008, Numar, 2
Total, Teleorman, Anul 2009, Numar, 3
Total, Teleorman, Anul 2010, Numar, 3
Total, Teleorman, Anul 2011, Numar, 3
Total, Teleorman, Anul 2012, Numar, 3
Total, Teleorman, Anul 2013, Numar, 3
Total, Teleorman, Anul 2014, Numar, 3
Total, Teleorman, Anul 2015, Numar, 3
Total, Teleorman, Anul 2016, Numar, 3
Total, Teleorman, Anul 2017, Numar, 3
Total, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar, 53
Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar, 70
Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar, 70
Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar, 70
Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar, 70
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar, 135
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar, 158
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar, 165
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar, 168
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar, 177
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar, 193
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar, 191
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar, 191
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar, 197
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar, 191
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar, 184
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar, 184
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar, 170
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar, 168
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar, 166
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar, 171
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar, 171
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar, 157
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar, 159
Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar, 159
Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar, 158
Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar, 160
Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar, 158
Total, Ilfov, Anul 2007, Numar, 1
Total, Ilfov, Anul 2008, Numar, 1
Total, Ilfov, Anul 2009, Numar, 1
Total, Ilfov, Anul 2010, Numar, 1
Total, Ilfov, Anul 2011, Numar, 1
Total, Ilfov, Anul 2012, Numar, 1
Total, Ilfov, Anul 2013, Numar, 1
Total, Ilfov, Anul 2014, Numar, 1
Total, Ilfov, Anul 2015, Numar, 1
Total, Ilfov, Anul 2016, Numar, 1
Total, Ilfov, Anul 2017, Numar, 1
Total, Municipiul Bucuresti, Anul 1990, Numar, 53
Total, Municipiul Bucuresti, Anul 1991, Numar, 70
Total, Municipiul Bucuresti, Anul 1992, Numar, 70
Total, Municipiul Bucuresti, Anul 1993, Numar, 70
Total, Municipiul Bucuresti, Anul 1994, Numar, 70
Total, Municipiul Bucuresti, Anul 1995, Numar, 135
Total, Municipiul Bucuresti, Anul 1996, Numar, 158
Total, Municipiul Bucuresti, Anul 1997, Numar, 165
Total, Municipiul Bucuresti, Anul 1998, Numar, 168
Total, Municipiul Bucuresti, Anul 1999, Numar, 177
Total, Municipiul Bucuresti, Anul 2000, Numar, 193
Total, Municipiul Bucuresti, Anul 2001, Numar, 191
Total, Municipiul Bucuresti, Anul 2002, Numar, 191
Total, Municipiul Bucuresti, Anul 2003, Numar, 197
Total, Municipiul Bucuresti, Anul 2004, Numar, 191
Total, Municipiul Bucuresti, Anul 2005, Numar, 184
Total, Municipiul Bucuresti, Anul 2006, Numar, 184
Total, Municipiul Bucuresti, Anul 2007, Numar, 169
Total, Municipiul Bucuresti, Anul 2008, Numar, 167
Total, Municipiul Bucuresti, Anul 2009, Numar, 165
Total, Municipiul Bucuresti, Anul 2010, Numar, 170
Total, Municipiul Bucuresti, Anul 2011, Numar, 170
Total, Municipiul Bucuresti, Anul 2012, Numar, 156
Total, Municipiul Bucuresti, Anul 2013, Numar, 158
Total, Municipiul Bucuresti, Anul 2014, Numar, 158
Total, Municipiul Bucuresti, Anul 2015, Numar, 157
Total, Municipiul Bucuresti, Anul 2016, Numar, 159
Total, Municipiul Bucuresti, Anul 2017, Numar, 157
Total, MACROREGIUNEA PATRU, Anul 1990, Numar, 31
Total, MACROREGIUNEA PATRU, Anul 1991, Numar, 43
Total, MACROREGIUNEA PATRU, Anul 1992, Numar, 46
Total, MACROREGIUNEA PATRU, Anul 1993, Numar, 47
Total, MACROREGIUNEA PATRU, Anul 1994, Numar, 47
Total, MACROREGIUNEA PATRU, Anul 1995, Numar, 80
Total, MACROREGIUNEA PATRU, Anul 1996, Numar, 87
Total, MACROREGIUNEA PATRU, Anul 1997, Numar, 98
Total, MACROREGIUNEA PATRU, Anul 1998, Numar, 107
Total, MACROREGIUNEA PATRU, Anul 1999, Numar, 125
Total, MACROREGIUNEA PATRU, Anul 2000, Numar, 135
Total, MACROREGIUNEA PATRU, Anul 2001, Numar, 140
Total, MACROREGIUNEA PATRU, Anul 2002, Numar, 140
Total, MACROREGIUNEA PATRU, Anul 2003, Numar, 145
Total, MACROREGIUNEA PATRU, Anul 2004, Numar, 147
Total, MACROREGIUNEA PATRU, Anul 2005, Numar, 152
Total, MACROREGIUNEA PATRU, Anul 2006, Numar, 144
Total, MACROREGIUNEA PATRU, Anul 2007, Numar, 123
Total, MACROREGIUNEA PATRU, Anul 2008, Numar, 120
Total, MACROREGIUNEA PATRU, Anul 2009, Numar, 121
Total, MACROREGIUNEA PATRU, Anul 2010, Numar, 119
Total, MACROREGIUNEA PATRU, Anul 2011, Numar, 107
Total, MACROREGIUNEA PATRU, Anul 2012, Numar, 109
Total, MACROREGIUNEA PATRU, Anul 2013, Numar, 100
Total, MACROREGIUNEA PATRU, Anul 2014, Numar, 97
Total, MACROREGIUNEA PATRU, Anul 2015, Numar, 96
Total, MACROREGIUNEA PATRU, Anul 2016, Numar, 96
Total, MACROREGIUNEA PATRU, Anul 2017, Numar, 95
Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar, 9
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar, 13
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar, 16
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar, 16
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar, 16
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar, 22
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar, 20
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar, 23
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar, 30
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar, 37
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar, 46
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar, 47
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar, 45
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar, 53
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar, 54
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar, 58
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar, 53
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar, 42
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar, 40
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar, 42
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar, 42
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar, 36
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar, 38
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar, 35
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar, 35
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar, 34
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar, 34
Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar, 33
Total, Dolj, Anul 1990, Numar, 9
Total, Dolj, Anul 1991, Numar, 12
Total, Dolj, Anul 1992, Numar, 13
Total, Dolj, Anul 1993, Numar, 13
Total, Dolj, Anul 1994, Numar, 13
Total, Dolj, Anul 1995, Numar, 15
Total, Dolj, Anul 1996, Numar, 15
Total, Dolj, Anul 1997, Numar, 19
Total, Dolj, Anul 1998, Numar, 24
Total, Dolj, Anul 1999, Numar, 26
Total, Dolj, Anul 2000, Numar, 28
Total, Dolj, Anul 2001, Numar, 28
Total, Dolj, Anul 2002, Numar, 28
Total, Dolj, Anul 2003, Numar, 27
Total, Dolj, Anul 2004, Numar, 27
Total, Dolj, Anul 2005, Numar, 26
Total, Dolj, Anul 2006, Numar, 26
Total, Dolj, Anul 2007, Numar, 24
