Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Bihor, Anul 2008, Numar, 23
Total, Bihor, Anul 2009, Numar, 25
Total, Bihor, Anul 2010, Numar, 25
Total, Bihor, Anul 2011, Numar, 23
Total, Bihor, Anul 2012, Numar, 23
Total, Bihor, Anul 2013, Numar, 23
Total, Bihor, Anul 2014, Numar, 23
Total, Bihor, Anul 2015, Numar, 23
Total, Bihor, Anul 2016, Numar, 22
Total, Bihor, Anul 2017, Numar, 22
Total, Bistrita-Nasaud, Anul 1991, Numar, 1
Total, Bistrita-Nasaud, Anul 1992, Numar, 1
Total, Bistrita-Nasaud, Anul 1997, Numar, 1
Total, Bistrita-Nasaud, Anul 1998, Numar, 2
Total, Bistrita-Nasaud, Anul 1999, Numar, 6
Total, Bistrita-Nasaud, Anul 2000, Numar, 6
Total, Bistrita-Nasaud, Anul 2001, Numar, 11
Total, Bistrita-Nasaud, Anul 2002, Numar, 9
Total, Bistrita-Nasaud, Anul 2003, Numar, 7
Total, Bistrita-Nasaud, Anul 2004, Numar, 7
Total, Bistrita-Nasaud, Anul 2005, Numar, 10
Total, Bistrita-Nasaud, Anul 2006, Numar, 9
Total, Bistrita-Nasaud, Anul 2007, Numar, 3
Total, Bistrita-Nasaud, Anul 2008, Numar, 3
Total, Bistrita-Nasaud, Anul 2009, Numar, 3
Total, Bistrita-Nasaud, Anul 2010, Numar, 3
Total, Bistrita-Nasaud, Anul 2011, Numar, 4
Total, Bistrita-Nasaud, Anul 2012, Numar, 4
Total, Bistrita-Nasaud, Anul 2013, Numar, 4
Total, Bistrita-Nasaud, Anul 2014, Numar, 4
Total, Bistrita-Nasaud, Anul 2015, Numar, 3
Total, Bistrita-Nasaud, Anul 2016, Numar, 3
Total, Bistrita-Nasaud, Anul 2017, Numar, 3
Total, Cluj, Anul 1990, Numar, 26
Total, Cluj, Anul 1991, Numar, 30
Total, Cluj, Anul 1992, Numar, 30
Total, Cluj, Anul 1993, Numar, 31
Total, Cluj, Anul 1994, Numar, 32
Total, Cluj, Anul 1995, Numar, 47
Total, Cluj, Anul 1996, Numar, 49
Total, Cluj, Anul 1997, Numar, 50
Total, Cluj, Anul 1998, Numar, 53
Total, Cluj, Anul 1999, Numar, 56
Total, Cluj, Anul 2000, Numar, 58
Total, Cluj, Anul 2001, Numar, 60
Total, Cluj, Anul 2002, Numar, 58
Total, Cluj, Anul 2003, Numar, 56
Total, Cluj, Anul 2004, Numar, 56
Total, Cluj, Anul 2005, Numar, 56
Total, Cluj, Anul 2006, Numar, 58
Total, Cluj, Anul 2007, Numar, 52
Total, Cluj, Anul 2008, Numar, 51
Total, Cluj, Anul 2009, Numar, 50
Total, Cluj, Anul 2010, Numar, 50
Total, Cluj, Anul 2011, Numar, 49
Total, Cluj, Anul 2012, Numar, 50
Total, Cluj, Anul 2013, Numar, 52
Total, Cluj, Anul 2014, Numar, 51
Total, Cluj, Anul 2015, Numar, 51
Total, Cluj, Anul 2016, Numar, 51
Total, Cluj, Anul 2017, Numar, 50
Total, Maramures, Anul 1990, Numar, 3
Total, Maramures, Anul 1991, Numar, 5
Total, Maramures, Anul 1992, Numar, 5
Total, Maramures, Anul 1993, Numar, 5
Total, Maramures, Anul 1994, Numar, 5
Total, Maramures, Anul 1995, Numar, 7
Total, Maramures, Anul 1996, Numar, 8
Total, Maramures, Anul 1997, Numar, 8
Total, Maramures, Anul 1998, Numar, 10
Total, Maramures, Anul 1999, Numar, 12
