Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Suceava, Anul 2009, Numar, 238
Total, Total, Suceava, Anul 2010, Numar, 234
Total, Total, Suceava, Anul 2011, Numar, 225
Total, Total, Suceava, Anul 2012, Numar, 228
Total, Total, Suceava, Anul 2013, Numar, 232
Total, Total, Suceava, Anul 2014, Numar, 240
Total, Total, Suceava, Anul 2015, Numar, 235
Total, Total, Suceava, Anul 2016, Numar, 229
Total, Total, Suceava, Anul 2017, Numar, 226
Total, Total, Vaslui, Anul 1996, Numar, 856
Total, Total, Vaslui, Anul 1997, Numar, 778
Total, Total, Vaslui, Anul 1998, Numar, 836
Total, Total, Vaslui, Anul 1999, Numar, 839
Total, Total, Vaslui, Anul 2000, Numar, 818
Total, Total, Vaslui, Anul 2001, Numar, 824
Total, Total, Vaslui, Anul 2002, Numar, 833
Total, Total, Vaslui, Anul 2003, Numar, 694
Total, Total, Vaslui, Anul 2004, Numar, 599
Total, Total, Vaslui, Anul 2005, Numar, 168
Total, Total, Vaslui, Anul 2006, Numar, 118
Total, Total, Vaslui, Anul 2007, Numar, 119
Total, Total, Vaslui, Anul 2008, Numar, 120
Total, Total, Vaslui, Anul 2009, Numar, 158
Total, Total, Vaslui, Anul 2010, Numar, 159
Total, Total, Vaslui, Anul 2011, Numar, 152
Total, Total, Vaslui, Anul 2012, Numar, 150
Total, Total, Vaslui, Anul 2013, Numar, 150
Total, Total, Vaslui, Anul 2014, Numar, 155
Total, Total, Vaslui, Anul 2015, Numar, 163
Total, Total, Vaslui, Anul 2016, Numar, 153
Total, Total, Vaslui, Anul 2017, Numar, 154
Total, Total, Regiunea SUD-EST, Anul 1996, Numar, 3468
Total, Total, Regiunea SUD-EST, Anul 1997, Numar, 3406
Total, Total, Regiunea SUD-EST, Anul 1998, Numar, 3432
Total, Total, Regiunea SUD-EST, Anul 1999, Numar, 3239
Total, Total, Regiunea SUD-EST, Anul 2000, Numar, 3046
Total, Total, Regiunea SUD-EST, Anul 2001, Numar, 3051
Total, Total, Regiunea SUD-EST, Anul 2002, Numar, 2908
Total, Total, Regiunea SUD-EST, Anul 2003, Numar, 2741
Total, Total, Regiunea SUD-EST, Anul 2004, Numar, 2223
Total, Total, Regiunea SUD-EST, Anul 2005, Numar, 1773
Total, Total, Regiunea SUD-EST, Anul 2006, Numar, 1102
Total, Total, Regiunea SUD-EST, Anul 2007, Numar, 1120
Total, Total, Regiunea SUD-EST, Anul 2008, Numar, 1109
Total, Total, Regiunea SUD-EST, Anul 2009, Numar, 1103
Total, Total, Regiunea SUD-EST, Anul 2010, Numar, 967
Total, Total, Regiunea SUD-EST, Anul 2011, Numar, 936
Total, Total, Regiunea SUD-EST, Anul 2012, Numar, 909
Total, Total, Regiunea SUD-EST, Anul 2013, Numar, 902
Total, Total, Regiunea SUD-EST, Anul 2014, Numar, 912
Total, Total, Regiunea SUD-EST, Anul 2015, Numar, 901
Total, Total, Regiunea SUD-EST, Anul 2016, Numar, 880
Total, Total, Regiunea SUD-EST, Anul 2017, Numar, 867
Total, Total, Braila, Anul 1996, Numar, 421
Total, Total, Braila, Anul 1997, Numar, 419
Total, Total, Braila, Anul 1998, Numar, 421
Total, Total, Braila, Anul 1999, Numar, 389
Total, Total, Braila, Anul 2000, Numar, 360
Total, Total, Braila, Anul 2001, Numar, 356
Total, Total, Braila, Anul 2002, Numar, 354
Total, Total, Braila, Anul 2003, Numar, 354
Total, Total, Braila, Anul 2004, Numar, 199
Total, Total, Braila, Anul 2005, Numar, 138
Total, Total, Braila, Anul 2006, Numar, 137
Total, Total, Braila, Anul 2007, Numar, 139
Total, Total, Braila, Anul 2008, Numar, 137
Total, Total, Braila, Anul 2009, Numar, 140
Total, Total, Braila, Anul 2010, Numar, 137
Total, Total, Braila, Anul 2011, Numar, 125
Total, Total, Braila, Anul 2012, Numar, 116
Total, Total, Braila, Anul 2013, Numar, 111
Total, Total, Braila, Anul 2014, Numar, 111
Total, Total, Braila, Anul 2015, Numar, 111
Total, Total, Braila, Anul 2016, Numar, 110
Total, Total, Braila, Anul 2017, Numar, 107
Total, Total, Buzau, Anul 1996, Numar, 862
Total, Total, Buzau, Anul 1997, Numar, 850
Total, Total, Buzau, Anul 1998, Numar, 852
Total, Total, Buzau, Anul 1999, Numar, 810
Total, Total, Buzau, Anul 2000, Numar, 767
Total, Total, Buzau, Anul 2001, Numar, 764
Total, Total, Buzau, Anul 2002, Numar, 762
Total, Total, Buzau, Anul 2003, Numar, 759
Total, Total, Buzau, Anul 2004, Numar, 749
Total, Total, Buzau, Anul 2005, Numar, 725
Total, Total, Buzau, Anul 2006, Numar, 198
Total, Total, Buzau, Anul 2007, Numar, 201
Total, Total, Buzau, Anul 2008, Numar, 203
Total, Total, Buzau, Anul 2009, Numar, 198
Total, Total, Buzau, Anul 2010, Numar, 165
Total, Total, Buzau, Anul 2011, Numar, 159
Total, Total, Buzau, Anul 2012, Numar, 157
Total, Total, Buzau, Anul 2013, Numar, 157
Total, Total, Buzau, Anul 2014, Numar, 155
Total, Total, Buzau, Anul 2015, Numar, 151
Total, Total, Buzau, Anul 2016, Numar, 148
Total, Total, Buzau, Anul 2017, Numar, 148
Total, Total, Constanta, Anul 1996, Numar, 621
Total, Total, Constanta, Anul 1997, Numar, 605
Total, Total, Constanta, Anul 1998, Numar, 601
Total, Total, Constanta, Anul 1999, Numar, 564
Total, Total, Constanta, Anul 2000, Numar, 555
Total, Total, Constanta, Anul 2001, Numar, 556
Total, Total, Constanta, Anul 2002, Numar, 562
Total, Total, Constanta, Anul 2003, Numar, 563
Total, Total, Constanta, Anul 2004, Numar, 386
Total, Total, Constanta, Anul 2005, Numar, 300
Total, Total, Constanta, Anul 2006, Numar, 299
Total, Total, Constanta, Anul 2007, Numar, 299
Total, Total, Constanta, Anul 2008, Numar, 293
Total, Total, Constanta, Anul 2009, Numar, 289
Total, Total, Constanta, Anul 2010, Numar, 259
Total, Total, Constanta, Anul 2011, Numar, 245
Total, Total, Constanta, Anul 2012, Numar, 234
Total, Total, Constanta, Anul 2013, Numar, 236
Total, Total, Constanta, Anul 2014, Numar, 244
Total, Total, Constanta, Anul 2015, Numar, 242
Total, Total, Constanta, Anul 2016, Numar, 234
Total, Total, Constanta, Anul 2017, Numar, 230
Total, Total, Galati, Anul 1996, Numar, 565
Total, Total, Galati, Anul 1997, Numar, 567
Total, Total, Galati, Anul 1998, Numar, 581
Total, Total, Galati, Anul 1999, Numar, 541
Total, Total, Galati, Anul 2000, Numar, 449
Total, Total, Galati, Anul 2001, Numar, 445
Total, Total, Galati, Anul 2002, Numar, 447
Total, Total, Galati, Anul 2003, Numar, 276
Total, Total, Galati, Anul 2004, Numar, 278
Total, Total, Galati, Anul 2005, Numar, 259
Total, Total, Galati, Anul 2006, Numar, 248
Total, Total, Galati, Anul 2007, Numar, 249
Total, Total, Galati, Anul 2008, Numar, 249
Total, Total, Galati, Anul 2009, Numar, 250
Total, Total, Galati, Anul 2010, Numar, 203
Total, Total, Galati, Anul 2011, Numar, 199
Total, Total, Galati, Anul 2012, Numar, 197
Total, Total, Galati, Anul 2013, Numar, 197
Total, Total, Galati, Anul 2014, Numar, 192
Total, Total, Galati, Anul 2015, Numar, 192
Total, Total, Galati, Anul 2016, Numar, 188
Total, Total, Galati, Anul 2017, Numar, 186
Total, Total, Tulcea, Anul 1996, Numar, 321
Total, Total, Tulcea, Anul 1997, Numar, 314
Total, Total, Tulcea, Anul 1998, Numar, 317
Total, Total, Tulcea, Anul 1999, Numar, 302
Total, Total, Tulcea, Anul 2000, Numar, 302
Total, Total, Tulcea, Anul 2001, Numar, 298
Total, Total, Tulcea, Anul 2002, Numar, 172
Total, Total, Tulcea, Anul 2003, Numar, 170
Total, Total, Tulcea, Anul 2004, Numar, 159
Total, Total, Tulcea, Anul 2005, Numar, 157
Total, Total, Tulcea, Anul 2006, Numar, 76
Total, Total, Tulcea, Anul 2007, Numar, 89
Total, Total, Tulcea, Anul 2008, Numar, 88
Total, Total, Tulcea, Anul 2009, Numar, 83
Total, Total, Tulcea, Anul 2010, Numar, 71
Total, Total, Tulcea, Anul 2011, Numar, 81
Total, Total, Tulcea, Anul 2012, Numar, 81
Total, Total, Tulcea, Anul 2013, Numar, 81
Total, Total, Tulcea, Anul 2014, Numar, 82
Total, Total, Tulcea, Anul 2015, Numar, 83
Total, Total, Tulcea, Anul 2016, Numar, 82
Total, Total, Tulcea, Anul 2017, Numar, 80
Total, Total, Vrancea, Anul 1996, Numar, 678
Total, Total, Vrancea, Anul 1997, Numar, 651
Total, Total, Vrancea, Anul 1998, Numar, 660
Total, Total, Vrancea, Anul 1999, Numar, 633
Total, Total, Vrancea, Anul 2000, Numar, 613
Total, Total, Vrancea, Anul 2001, Numar, 632
Total, Total, Vrancea, Anul 2002, Numar, 611
Total, Total, Vrancea, Anul 2003, Numar, 619
Total, Total, Vrancea, Anul 2004, Numar, 452
Total, Total, Vrancea, Anul 2005, Numar, 194
Total, Total, Vrancea, Anul 2006, Numar, 144
Total, Total, Vrancea, Anul 2007, Numar, 143
Total, Total, Vrancea, Anul 2008, Numar, 139
Total, Total, Vrancea, Anul 2009, Numar, 143
Total, Total, Vrancea, Anul 2010, Numar, 132
Total, Total, Vrancea, Anul 2011, Numar, 127
Total, Total, Vrancea, Anul 2012, Numar, 124
Total, Total, Vrancea, Anul 2013, Numar, 120
Total, Total, Vrancea, Anul 2014, Numar, 128
Total, Total, Vrancea, Anul 2015, Numar, 122
Total, Total, Vrancea, Anul 2016, Numar, 118
Total, Total, Vrancea, Anul 2017, Numar, 116
Total, Total, MACROREGIUNEA TREI, Anul 1996, Numar, 5385
Total, Total, MACROREGIUNEA TREI, Anul 1997, Numar, 5371
Total, Total, MACROREGIUNEA TREI, Anul 1998, Numar, 5311
Total, Total, MACROREGIUNEA TREI, Anul 1999, Numar, 4987
Total, Total, MACROREGIUNEA TREI, Anul 2000, Numar, 4717
Total, Total, MACROREGIUNEA TREI, Anul 2001, Numar, 4709
Total, Total, MACROREGIUNEA TREI, Anul 2002, Numar, 4650
Total, Total, MACROREGIUNEA TREI, Anul 2003, Numar, 3702
Total, Total, MACROREGIUNEA TREI, Anul 2004, Numar, 2573
Total, Total, MACROREGIUNEA TREI, Anul 2005, Numar, 2563
Total, Total, MACROREGIUNEA TREI, Anul 2006, Numar, 2000
Total, Total, MACROREGIUNEA TREI, Anul 2007, Numar, 1947
Total, Total, MACROREGIUNEA TREI, Anul 2008, Numar, 1938
Total, Total, MACROREGIUNEA TREI, Anul 2009, Numar, 1930
Total, Total, MACROREGIUNEA TREI, Anul 2010, Numar, 1795
Total, Total, MACROREGIUNEA TREI, Anul 2011, Numar, 1679
Total, Total, MACROREGIUNEA TREI, Anul 2012, Numar, 1662
Total, Total, MACROREGIUNEA TREI, Anul 2013, Numar, 1706
Total, Total, MACROREGIUNEA TREI, Anul 2014, Numar, 1748
Total, Total, MACROREGIUNEA TREI, Anul 2015, Numar, 1740
Total, Total, MACROREGIUNEA TREI, Anul 2016, Numar, 1734
Total, Total, MACROREGIUNEA TREI, Anul 2017, Numar, 1783
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar, 4454
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar, 4419
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar, 4394
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar, 4156
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar, 3944
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar, 3933
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar, 3874
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar, 3021
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar, 1892
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar, 1901
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar, 1341
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar, 1273
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar, 1271
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar, 1277
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar, 1151
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar, 1056
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar, 1023
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar, 1034
Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar, 1040
Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar, 1042
Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar, 1034
Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar, 1020
Total, Total, Arges, Anul 1996, Numar, 1079
Total, Total, Arges, Anul 1997, Numar, 1082
Total, Total, Arges, Anul 1998, Numar, 1083
Total, Total, Arges, Anul 1999, Numar, 1012
Total, Total, Arges, Anul 2000, Numar, 1002
Total, Total, Arges, Anul 2001, Numar, 1000
Total, Total, Arges, Anul 2002, Numar, 1001
Total, Total, Arges, Anul 2003, Numar, 353
Total, Total, Arges, Anul 2004, Numar, 353
Total, Total, Arges, Anul 2005, Numar, 353
Total, Total, Arges, Anul 2006, Numar, 228
Total, Total, Arges, Anul 2007, Numar, 226
Total, Total, Arges, Anul 2008, Numar, 226
Total, Total, Arges, Anul 2009, Numar, 222
Total, Total, Arges, Anul 2010, Numar, 208
Total, Total, Arges, Anul 2011, Numar, 202
Total, Total, Arges, Anul 2012, Numar, 203
Total, Total, Arges, Anul 2013, Numar, 206
Total, Total, Arges, Anul 2014, Numar, 210
Total, Total, Arges, Anul 2015, Numar, 208
Total, Total, Arges, Anul 2016, Numar, 212
Total, Total, Arges, Anul 2017, Numar, 213
Total, Total, Calarasi, Anul 1996, Numar, 387
Total, Total, Calarasi, Anul 1997, Numar, 385
Total, Total, Calarasi, Anul 1998, Numar, 377
Total, Total, Calarasi, Anul 1999, Numar, 359
Total, Total, Calarasi, Anul 2000, Numar, 355
Total, Total, Calarasi, Anul 2001, Numar, 355
Total, Total, Calarasi, Anul 2002, Numar, 355
Total, Total, Calarasi, Anul 2003, Numar, 351
Total, Total, Calarasi, Anul 2004, Numar, 113
Total, Total, Calarasi, Anul 2005, Numar, 137
Total, Total, Calarasi, Anul 2006, Numar, 134
Total, Total, Calarasi, Anul 2007, Numar, 132
Total, Total, Calarasi, Anul 2008, Numar, 133
Total, Total, Calarasi, Anul 2009, Numar, 133
Total, Total, Calarasi, Anul 2010, Numar, 111
Total, Total, Calarasi, Anul 2011, Numar, 99
Total, Total, Calarasi, Anul 2012, Numar, 95
Total, Total, Calarasi, Anul 2013, Numar, 99
Total, Total, Calarasi, Anul 2014, Numar, 100
Total, Total, Calarasi, Anul 2015, Numar, 100
Total, Total, Calarasi, Anul 2016, Numar, 99
Total, Total, Calarasi, Anul 2017, Numar, 96
Total, Total, Dambovita, Anul 1996, Numar, 789
Total, Total, Dambovita, Anul 1997, Numar, 783
Total, Total, Dambovita, Anul 1998, Numar, 779
Total, Total, Dambovita, Anul 1999, Numar, 743
Total, Total, Dambovita, Anul 2000, Numar, 742
Total, Total, Dambovita, Anul 2001, Numar, 734
Total, Total, Dambovita, Anul 2002, Numar, 713
Total, Total, Dambovita, Anul 2003, Numar, 697
Total, Total, Dambovita, Anul 2004, Numar, 243
Total, Total, Dambovita, Anul 2005, Numar, 254
Total, Total, Dambovita, Anul 2006, Numar, 201
Total, Total, Dambovita, Anul 2007, Numar, 200
Total, Total, Dambovita, Anul 2008, Numar, 202
Total, Total, Dambovita, Anul 2009, Numar, 207
Total, Total, Dambovita, Anul 2010, Numar, 167
Total, Total, Dambovita, Anul 2011, Numar, 156
Total, Total, Dambovita, Anul 2012, Numar, 160
Total, Total, Dambovita, Anul 2013, Numar, 160
Total, Total, Dambovita, Anul 2014, Numar, 161
Total, Total, Dambovita, Anul 2015, Numar, 161
Total, Total, Dambovita, Anul 2016, Numar, 157
Total, Total, Dambovita, Anul 2017, Numar, 154
Total, Total, Giurgiu, Anul 1996, Numar, 394
Total, Total, Giurgiu, Anul 1997, Numar, 382
Total, Total, Giurgiu, Anul 1998, Numar, 386
Total, Total, Giurgiu, Anul 1999, Numar, 374
Total, Total, Giurgiu, Anul 2000, Numar, 222
Total, Total, Giurgiu, Anul 2001, Numar, 221
Total, Total, Giurgiu, Anul 2002, Numar, 219
Total, Total, Giurgiu, Anul 2003, Numar, 134
Total, Total, Giurgiu, Anul 2004, Numar, 129
Total, Total, Giurgiu, Anul 2005, Numar, 107
Total, Total, Giurgiu, Anul 2006, Numar, 109
Total, Total, Giurgiu, Anul 2007, Numar, 107
Total, Total, Giurgiu, Anul 2008, Numar, 107
Total, Total, Giurgiu, Anul 2009, Numar, 107
Total, Total, Giurgiu, Anul 2010, Numar, 109
Total, Total, Giurgiu, Anul 2011, Numar, 86
Total, Total, Giurgiu, Anul 2012, Numar, 85
Total, Total, Giurgiu, Anul 2013, Numar, 85
Total, Total, Giurgiu, Anul 2014, Numar, 85
Total, Total, Giurgiu, Anul 2015, Numar, 88
Total, Total, Giurgiu, Anul 2016, Numar, 90
Total, Total, Giurgiu, Anul 2017, Numar, 87
Total, Total, Ialomita, Anul 1996, Numar, 330
Total, Total, Ialomita, Anul 1997, Numar, 327
Total, Total, Ialomita, Anul 1998, Numar, 324
Total, Total, Ialomita, Anul 1999, Numar, 304
Total, Total, Ialomita, Anul 2000, Numar, 265
Total, Total, Ialomita, Anul 2001, Numar, 262
Total, Total, Ialomita, Anul 2002, Numar, 244
Total, Total, Ialomita, Anul 2003, Numar, 151
Total, Total, Ialomita, Anul 2004, Numar, 118
Total, Total, Ialomita, Anul 2005, Numar, 118
Total, Total, Ialomita, Anul 2006, Numar, 115
Total, Total, Ialomita, Anul 2007, Numar, 115
Total, Total, Ialomita, Anul 2008, Numar, 114
Total, Total, Ialomita, Anul 2009, Numar, 125
Total, Total, Ialomita, Anul 2010, Numar, 127
Total, Total, Ialomita, Anul 2011, Numar, 123
Total, Total, Ialomita, Anul 2012, Numar, 92
Total, Total, Ialomita, Anul 2013, Numar, 95
Total, Total, Ialomita, Anul 2014, Numar, 98
Total, Total, Ialomita, Anul 2015, Numar, 98
Total, Total, Ialomita, Anul 2016, Numar, 95
Total, Total, Ialomita, Anul 2017, Numar, 93
Total, Total, Prahova, Anul 1996, Numar, 925
Total, Total, Prahova, Anul 1997, Numar, 913
Total, Total, Prahova, Anul 1998, Numar, 896
Total, Total, Prahova, Anul 1999, Numar, 833
Total, Total, Prahova, Anul 2000, Numar, 834
Total, Total, Prahova, Anul 2001, Numar, 834
Total, Total, Prahova, Anul 2002, Numar, 817
Total, Total, Prahova, Anul 2003, Numar, 810
Total, Total, Prahova, Anul 2004, Numar, 691
Total, Total, Prahova, Anul 2005, Numar, 685
Total, Total, Prahova, Anul 2006, Numar, 345
Total, Total, Prahova, Anul 2007, Numar, 298
Total, Total, Prahova, Anul 2008, Numar, 297
Total, Total, Prahova, Anul 2009, Numar, 292
Total, Total, Prahova, Anul 2010, Numar, 279
Total, Total, Prahova, Anul 2011, Numar, 240
Total, Total, Prahova, Anul 2012, Numar, 241
Total, Total, Prahova, Anul 2013, Numar, 240
Total, Total, Prahova, Anul 2014, Numar, 238
Total, Total, Prahova, Anul 2015, Numar, 239
Total, Total, Prahova, Anul 2016, Numar, 237
Total, Total, Prahova, Anul 2017, Numar, 236
Total, Total, Teleorman, Anul 1996, Numar, 550
Total, Total, Teleorman, Anul 1997, Numar, 547
Total, Total, Teleorman, Anul 1998, Numar, 549
Total, Total, Teleorman, Anul 1999, Numar, 531
Total, Total, Teleorman, Anul 2000, Numar, 524
Total, Total, Teleorman, Anul 2001, Numar, 527
Total, Total, Teleorman, Anul 2002, Numar, 525
Total, Total, Teleorman, Anul 2003, Numar, 525
Total, Total, Teleorman, Anul 2004, Numar, 245
Total, Total, Teleorman, Anul 2005, Numar, 247
Total, Total, Teleorman, Anul 2006, Numar, 209
Total, Total, Teleorman, Anul 2007, Numar, 195
Total, Total, Teleorman, Anul 2008, Numar, 192
Total, Total, Teleorman, Anul 2009, Numar, 191
Total, Total, Teleorman, Anul 2010, Numar, 150
Total, Total, Teleorman, Anul 2011, Numar, 150
Total, Total, Teleorman, Anul 2012, Numar, 147
Total, Total, Teleorman, Anul 2013, Numar, 149
Total, Total, Teleorman, Anul 2014, Numar, 148
Total, Total, Teleorman, Anul 2015, Numar, 148
Total, Total, Teleorman, Anul 2016, Numar, 144
Total, Total, Teleorman, Anul 2017, Numar, 141
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar, 931
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar, 952
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar, 917
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar, 831
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar, 773
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar, 776
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar, 776
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar, 681
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar, 681
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar, 662
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar, 659
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar, 674
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar, 667
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar, 653
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar, 644
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar, 623
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar, 639
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar, 672
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar, 708
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar, 698
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar, 700
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar, 763
Total, Total, Ilfov, Anul 1996, Numar, 264
Total, Total, Ilfov, Anul 1997, Numar, 267
Total, Total, Ilfov, Anul 1998, Numar, 264
Total, Total, Ilfov, Anul 1999, Numar, 261
Total, Total, Ilfov, Anul 2000, Numar, 241
Total, Total, Ilfov, Anul 2001, Numar, 246
Total, Total, Ilfov, Anul 2002, Numar, 242
Total, Total, Ilfov, Anul 2003, Numar, 128
Total, Total, Ilfov, Anul 2004, Numar, 125
Total, Total, Ilfov, Anul 2005, Numar, 103
Total, Total, Ilfov, Anul 2006, Numar, 102
Total, Total, Ilfov, Anul 2007, Numar, 105
Total, Total, Ilfov, Anul 2008, Numar, 103
Total, Total, Ilfov, Anul 2009, Numar, 97
Total, Total, Ilfov, Anul 2010, Numar, 91
Total, Total, Ilfov, Anul 2011, Numar, 77
Total, Total, Ilfov, Anul 2012, Numar, 83
Total, Total, Ilfov, Anul 2013, Numar, 119
Total, Total, Ilfov, Anul 2014, Numar, 129
Total, Total, Ilfov, Anul 2015, Numar, 128
Total, Total, Ilfov, Anul 2016, Numar, 132
Total, Total, Ilfov, Anul 2017, Numar, 137
Total, Total, Municipiul Bucuresti, Anul 1996, Numar, 667
Total, Total, Municipiul Bucuresti, Anul 1997, Numar, 685
Total, Total, Municipiul Bucuresti, Anul 1998, Numar, 653
Total, Total, Municipiul Bucuresti, Anul 1999, Numar, 570
Total, Total, Municipiul Bucuresti, Anul 2000, Numar, 532
Total, Total, Municipiul Bucuresti, Anul 2001, Numar, 530
Total, Total, Municipiul Bucuresti, Anul 2002, Numar, 534
Total, Total, Municipiul Bucuresti, Anul 2003, Numar, 553
Total, Total, Municipiul Bucuresti, Anul 2004, Numar, 556
Total, Total, Municipiul Bucuresti, Anul 2005, Numar, 559
Total, Total, Municipiul Bucuresti, Anul 2006, Numar, 557
Total, Total, Municipiul Bucuresti, Anul 2007, Numar, 569
Total, Total, Municipiul Bucuresti, Anul 2008, Numar, 564
Total, Total, Municipiul Bucuresti, Anul 2009, Numar, 556
Total, Total, Municipiul Bucuresti, Anul 2010, Numar, 553
Total, Total, Municipiul Bucuresti, Anul 2011, Numar, 546
Total, Total, Municipiul Bucuresti, Anul 2012, Numar, 556
Total, Total, Municipiul Bucuresti, Anul 2013, Numar, 553
Total, Total, Municipiul Bucuresti, Anul 2014, Numar, 579
Total, Total, Municipiul Bucuresti, Anul 2015, Numar, 570
Total, Total, Municipiul Bucuresti, Anul 2016, Numar, 568
Total, Total, Municipiul Bucuresti, Anul 2017, Numar, 626
Total, Total, MACROREGIUNEA PATRU, Anul 1996, Numar, 6830
Total, Total, MACROREGIUNEA PATRU, Anul 1997, Numar, 6633
Total, Total, MACROREGIUNEA PATRU, Anul 1998, Numar, 6707
Total, Total, MACROREGIUNEA PATRU, Anul 1999, Numar, 6209
Total, Total, MACROREGIUNEA PATRU, Anul 2000, Numar, 5508
Total, Total, MACROREGIUNEA PATRU, Anul 2001, Numar, 5382
Total, Total, MACROREGIUNEA PATRU, Anul 2002, Numar, 5074
Total, Total, MACROREGIUNEA PATRU, Anul 2003, Numar, 3180
Total, Total, MACROREGIUNEA PATRU, Anul 2004, Numar, 2938
Total, Total, MACROREGIUNEA PATRU, Anul 2005, Numar, 2508
Total, Total, MACROREGIUNEA PATRU, Anul 2006, Numar, 1720
Total, Total, MACROREGIUNEA PATRU, Anul 2007, Numar, 1620
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Numar, 1626
Total, Total, MACROREGIUNEA PATRU, Anul 2009, Numar, 1611
Total, Total, MACROREGIUNEA PATRU, Anul 2010, Numar, 1452
Total, Total, MACROREGIUNEA PATRU, Anul 2011, Numar, 1380
Total, Total, MACROREGIUNEA PATRU, Anul 2012, Numar, 1420
Total, Total, MACROREGIUNEA PATRU, Anul 2013, Numar, 1394
Total, Total, MACROREGIUNEA PATRU, Anul 2014, Numar, 1370
Total, Total, MACROREGIUNEA PATRU, Anul 2015, Numar, 1364
Total, Total, MACROREGIUNEA PATRU, Anul 2016, Numar, 1347
Total, Total, MACROREGIUNEA PATRU, Anul 2017, Numar, 1353
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar, 3911
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar, 3782
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar, 3827
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar, 3567
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar, 3146
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar, 3023
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar, 2747
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar, 1515
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar, 1436
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar, 1263
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar, 885
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar, 836
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar, 842
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar, 836
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar, 770
