Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Bistrita-Nasaud, Anul 2010, Numar, 126
Total, Total, Bistrita-Nasaud, Anul 2011, Numar, 126
Total, Total, Bistrita-Nasaud, Anul 2012, Numar, 120
Total, Total, Bistrita-Nasaud, Anul 2013, Numar, 120
Total, Total, Bistrita-Nasaud, Anul 2014, Numar, 120
Total, Total, Bistrita-Nasaud, Anul 2015, Numar, 119
Total, Total, Bistrita-Nasaud, Anul 2016, Numar, 115
Total, Total, Bistrita-Nasaud, Anul 2017, Numar, 116
Total, Total, Cluj, Anul 1996, Numar, 916
Total, Total, Cluj, Anul 1997, Numar, 917
Total, Total, Cluj, Anul 1998, Numar, 931
Total, Total, Cluj, Anul 1999, Numar, 867
Total, Total, Cluj, Anul 2000, Numar, 624
Total, Total, Cluj, Anul 2001, Numar, 615
Total, Total, Cluj, Anul 2002, Numar, 599
Total, Total, Cluj, Anul 2003, Numar, 493
Total, Total, Cluj, Anul 2004, Numar, 395
Total, Total, Cluj, Anul 2005, Numar, 279
Total, Total, Cluj, Anul 2006, Numar, 268
Total, Total, Cluj, Anul 2007, Numar, 263
Total, Total, Cluj, Anul 2008, Numar, 259
Total, Total, Cluj, Anul 2009, Numar, 263
Total, Total, Cluj, Anul 2010, Numar, 252
Total, Total, Cluj, Anul 2011, Numar, 254
Total, Total, Cluj, Anul 2012, Numar, 257
Total, Total, Cluj, Anul 2013, Numar, 258
Total, Total, Cluj, Anul 2014, Numar, 258
Total, Total, Cluj, Anul 2015, Numar, 263
Total, Total, Cluj, Anul 2016, Numar, 265
Total, Total, Cluj, Anul 2017, Numar, 274
Total, Total, Maramures, Anul 1996, Numar, 662
Total, Total, Maramures, Anul 1997, Numar, 659
Total, Total, Maramures, Anul 1998, Numar, 665
Total, Total, Maramures, Anul 1999, Numar, 623
Total, Total, Maramures, Anul 2000, Numar, 366
Total, Total, Maramures, Anul 2001, Numar, 365
Total, Total, Maramures, Anul 2002, Numar, 369
Total, Total, Maramures, Anul 2003, Numar, 291
Total, Total, Maramures, Anul 2004, Numar, 291
Total, Total, Maramures, Anul 2005, Numar, 291
Total, Total, Maramures, Anul 2006, Numar, 195
Total, Total, Maramures, Anul 2007, Numar, 199
Total, Total, Maramures, Anul 2008, Numar, 200
Total, Total, Maramures, Anul 2009, Numar, 205
Total, Total, Maramures, Anul 2010, Numar, 185
Total, Total, Maramures, Anul 2011, Numar, 177
Total, Total, Maramures, Anul 2012, Numar, 183
Total, Total, Maramures, Anul 2013, Numar, 191
Total, Total, Maramures, Anul 2014, Numar, 191
Total, Total, Maramures, Anul 2015, Numar, 185
Total, Total, Maramures, Anul 2016, Numar, 189
Total, Total, Maramures, Anul 2017, Numar, 191
