Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Regiunea NORD-EST, Anul 2013, Ani, 74.91
Total, Total, Regiunea NORD-EST, Anul 2014, Ani, 75.09
Total, Total, Regiunea NORD-EST, Anul 2015, Ani, 74.99
Total, Total, Regiunea NORD-EST, Anul 2016, Ani, 75.22
Total, Total, Regiunea NORD-EST, Anul 2017, Ani, 75.43
Total, Total, Bacau, Anul 1990, Ani, 69.87
Total, Total, Bacau, Anul 1991, Ani, 70.21
Total, Total, Bacau, Anul 1992, Ani, 70.14
Total, Total, Bacau, Anul 1993, Ani, 70.07
Total, Total, Bacau, Anul 1994, Ani, 70.1
Total, Total, Bacau, Anul 1995, Ani, 69.63
Total, Total, Bacau, Anul 1996, Ani, 69
Total, Total, Bacau, Anul 1997, Ani, 69.05
Total, Total, Bacau, Anul 1998, Ani, 69.63
Total, Total, Bacau, Anul 1999, Ani, 69.9
Total, Total, Bacau, Anul 2000, Ani, 70.39
Total, Total, Bacau, Anul 2001, Ani, 70.58
Total, Total, Bacau, Anul 2002, Ani, 70.35
Total, Total, Bacau, Anul 2003, Ani, 70.1
Total, Total, Bacau, Anul 2004, Ani, 70.33
Total, Total, Bacau, Anul 2005, Ani, 71.01
Total, Total, Bacau, Anul 2006, Ani, 71.52
Total, Total, Bacau, Anul 2007, Ani, 71.93
Total, Total, Bacau, Anul 2008, Ani, 72.73
Total, Total, Bacau, Anul 2009, Ani, 72.81
Total, Total, Bacau, Anul 2010, Ani, 72.78
Total, Total, Bacau, Anul 2011, Ani, 72.96
Total, Total, Bacau, Anul 2012, Ani, 73.53
Total, Total, Bacau, Anul 2013, Ani, 74.11
Total, Total, Bacau, Anul 2014, Ani, 74.15
Total, Total, Bacau, Anul 2015, Ani, 74.12
Total, Total, Bacau, Anul 2016, Ani, 74.54
Total, Total, Bacau, Anul 2017, Ani, 74.51
Total, Total, Botosani, Anul 1990, Ani, 69.16
Total, Total, Botosani, Anul 1991, Ani, 69.16
Total, Total, Botosani, Anul 1992, Ani, 68.81
Total, Total, Botosani, Anul 1993, Ani, 68.71
Total, Total, Botosani, Anul 1994, Ani, 68.89
Total, Total, Botosani, Anul 1995, Ani, 68.48
Total, Total, Botosani, Anul 1996, Ani, 67.73
Total, Total, Botosani, Anul 1997, Ani, 67.51
Total, Total, Botosani, Anul 1998, Ani, 67.96
Total, Total, Botosani, Anul 1999, Ani, 69.01
Total, Total, Botosani, Anul 2000, Ani, 69.97
Total, Total, Botosani, Anul 2001, Ani, 70.45
Total, Total, Botosani, Anul 2002, Ani, 70.33
Total, Total, Botosani, Anul 2003, Ani, 70.11
Total, Total, Botosani, Anul 2004, Ani, 70.54
Total, Total, Botosani, Anul 2005, Ani, 71.18
Total, Total, Botosani, Anul 2006, Ani, 71.64
Total, Total, Botosani, Anul 2007, Ani, 71.89
Total, Total, Botosani, Anul 2008, Ani, 72.67
Total, Total, Botosani, Anul 2009, Ani, 73.08
Total, Total, Botosani, Anul 2010, Ani, 72.95
Total, Total, Botosani, Anul 2011, Ani, 73.07
Total, Total, Botosani, Anul 2012, Ani, 73.68
Total, Total, Botosani, Anul 2013, Ani, 74
Total, Total, Botosani, Anul 2014, Ani, 74.42
Total, Total, Botosani, Anul 2015, Ani, 74.27
Total, Total, Botosani, Anul 2016, Ani, 74.23
Total, Total, Botosani, Anul 2017, Ani, 74.51
Total, Total, Iasi, Anul 1990, Ani, 70.42
Total, Total, Iasi, Anul 1991, Ani, 70.67
Total, Total, Iasi, Anul 1992, Ani, 70.61
Total, Total, Iasi, Anul 1993, Ani, 70.18
Total, Total, Iasi, Anul 1994, Ani, 69.66
Total, Total, Iasi, Anul 1995, Ani, 69.26
Total, Total, Iasi, Anul 1996, Ani, 68.64
Total, Total, Iasi, Anul 1997, Ani, 68.44
Total, Total, Iasi, Anul 1998, Ani, 69.08
Total, Total, Iasi, Anul 1999, Ani, 70.11
Total, Total, Iasi, Anul 2000, Ani, 70.93
Total, Total, Iasi, Anul 2001, Ani, 71.33
Total, Total, Iasi, Anul 2002, Ani, 71.4
Total, Total, Iasi, Anul 2003, Ani, 70.97
Total, Total, Iasi, Anul 2004, Ani, 71.16
Total, Total, Iasi, Anul 2005, Ani, 71.88
Total, Total, Iasi, Anul 2006, Ani, 72.63
Total, Total, Iasi, Anul 2007, Ani, 73.13
Total, Total, Iasi, Anul 2008, Ani, 74.02
Total, Total, Iasi, Anul 2009, Ani, 74.29
Total, Total, Iasi, Anul 2010, Ani, 74.15
Total, Total, Iasi, Anul 2011, Ani, 74.11
Total, Total, Iasi, Anul 2012, Ani, 74.67
Total, Total, Iasi, Anul 2013, Ani, 75.41
Total, Total, Iasi, Anul 2014, Ani, 75.8
Total, Total, Iasi, Anul 2015, Ani, 75.51
Total, Total, Iasi, Anul 2016, Ani, 75.65
Total, Total, Iasi, Anul 2017, Ani, 76.11
Total, Total, Neamt, Anul 1990, Ani, 70.87
Total, Total, Neamt, Anul 1991, Ani, 70.69
Total, Total, Neamt, Anul 1992, Ani, 70.54
Total, Total, Neamt, Anul 1993, Ani, 70.23
Total, Total, Neamt, Anul 1994, Ani, 70.54
Total, Total, Neamt, Anul 1995, Ani, 70.56
Total, Total, Neamt, Anul 1996, Ani, 69.81
Total, Total, Neamt, Anul 1997, Ani, 69.6
Total, Total, Neamt, Anul 1998, Ani, 69.92
Total, Total, Neamt, Anul 1999, Ani, 70.22
Total, Total, Neamt, Anul 2000, Ani, 70.64
Total, Total, Neamt, Anul 2001, Ani, 71.11
Total, Total, Neamt, Anul 2002, Ani, 71.18
Total, Total, Neamt, Anul 2003, Ani, 71.01
Total, Total, Neamt, Anul 2004, Ani, 71.26
Total, Total, Neamt, Anul 2005, Ani, 72.01
Total, Total, Neamt, Anul 2006, Ani, 72.69
Total, Total, Neamt, Anul 2007, Ani, 73.21
Total, Total, Neamt, Anul 2008, Ani, 73.91
Total, Total, Neamt, Anul 2009, Ani, 73.89
Total, Total, Neamt, Anul 2010, Ani, 73.95
Total, Total, Neamt, Anul 2011, Ani, 74.29
Total, Total, Neamt, Anul 2012, Ani, 74.82
Total, Total, Neamt, Anul 2013, Ani, 75.16
Total, Total, Neamt, Anul 2014, Ani, 75.27
Total, Total, Neamt, Anul 2015, Ani, 75.28
Total, Total, Neamt, Anul 2016, Ani, 75.58
Total, Total, Neamt, Anul 2017, Ani, 75.75
Total, Total, Suceava, Anul 1990, Ani, 70.99
Total, Total, Suceava, Anul 1991, Ani, 70.84
Total, Total, Suceava, Anul 1992, Ani, 70.53
Total, Total, Suceava, Anul 1993, Ani, 70.44
Total, Total, Suceava, Anul 1994, Ani, 70.41
Total, Total, Suceava, Anul 1995, Ani, 70.18
Total, Total, Suceava, Anul 1996, Ani, 69.93
Total, Total, Suceava, Anul 1997, Ani, 69.9
Total, Total, Suceava, Anul 1998, Ani, 70.2
Total, Total, Suceava, Anul 1999, Ani, 70.73
Total, Total, Suceava, Anul 2000, Ani, 71.55
Total, Total, Suceava, Anul 2001, Ani, 72.26
Total, Total, Suceava, Anul 2002, Ani, 72.55
Total, Total, Suceava, Anul 2003, Ani, 72.38
Total, Total, Suceava, Anul 2004, Ani, 72.44
Total, Total, Suceava, Anul 2005, Ani, 72.95
Total, Total, Suceava, Anul 2006, Ani, 73.33
Total, Total, Suceava, Anul 2007, Ani, 73.48
Total, Total, Suceava, Anul 2008, Ani, 74.06
Total, Total, Suceava, Anul 2009, Ani, 74.54
Total, Total, Suceava, Anul 2010, Ani, 74.62
Total, Total, Suceava, Anul 2011, Ani, 74.81
Total, Total, Suceava, Anul 2012, Ani, 75.42
Total, Total, Suceava, Anul 2013, Ani, 75.88
Total, Total, Suceava, Anul 2014, Ani, 75.92
Total, Total, Suceava, Anul 2015, Ani, 75.73
Total, Total, Suceava, Anul 2016, Ani, 76.05
Total, Total, Suceava, Anul 2017, Ani, 76.47
Total, Total, Vaslui, Anul 1990, Ani, 70.58
Total, Total, Vaslui, Anul 1991, Ani, 70.49
Total, Total, Vaslui, Anul 1992, Ani, 70.54
Total, Total, Vaslui, Anul 1993, Ani, 70.75
Total, Total, Vaslui, Anul 1994, Ani, 69.94
Total, Total, Vaslui, Anul 1995, Ani, 69.26
Total, Total, Vaslui, Anul 1996, Ani, 68.96
Total, Total, Vaslui, Anul 1997, Ani, 68.59
Total, Total, Vaslui, Anul 1998, Ani, 69.13
Total, Total, Vaslui, Anul 1999, Ani, 70.33
Total, Total, Vaslui, Anul 2000, Ani, 70.96
Total, Total, Vaslui, Anul 2001, Ani, 71.13
Total, Total, Vaslui, Anul 2002, Ani, 71.05
Total, Total, Vaslui, Anul 2003, Ani, 70.77
Total, Total, Vaslui, Anul 2004, Ani, 70.8
Total, Total, Vaslui, Anul 2005, Ani, 71.5
Total, Total, Vaslui, Anul 2006, Ani, 72.31
Total, Total, Vaslui, Anul 2007, Ani, 72.86
Total, Total, Vaslui, Anul 2008, Ani, 73.38
Total, Total, Vaslui, Anul 2009, Ani, 73.62
Total, Total, Vaslui, Anul 2010, Ani, 72.84
Total, Total, Vaslui, Anul 2011, Ani, 72.8
Total, Total, Vaslui, Anul 2012, Ani, 74.02
Total, Total, Vaslui, Anul 2013, Ani, 74.43
Total, Total, Vaslui, Anul 2014, Ani, 74.53
Total, Total, Vaslui, Anul 2015, Ani, 74.59
Total, Total, Vaslui, Anul 2016, Ani, 74.74
Total, Total, Vaslui, Anul 2017, Ani, 74.61
Total, Total, Regiunea SUD-EST, Anul 1990, Ani, 69.48
Total, Total, Regiunea SUD-EST, Anul 1991, Ani, 69.59
Total, Total, Regiunea SUD-EST, Anul 1992, Ani, 69.7
Total, Total, Regiunea SUD-EST, Anul 1993, Ani, 69.81
Total, Total, Regiunea SUD-EST, Anul 1994, Ani, 69.64
Total, Total, Regiunea SUD-EST, Anul 1995, Ani, 69.25
Total, Total, Regiunea SUD-EST, Anul 1996, Ani, 68.72
Total, Total, Regiunea SUD-EST, Anul 1997, Ani, 68.73
Total, Total, Regiunea SUD-EST, Anul 1998, Ani, 69.19
Total, Total, Regiunea SUD-EST, Anul 1999, Ani, 69.61
Total, Total, Regiunea SUD-EST, Anul 2000, Ani, 70.26
Total, Total, Regiunea SUD-EST, Anul 2001, Ani, 70.82
Total, Total, Regiunea SUD-EST, Anul 2002, Ani, 70.79
Total, Total, Regiunea SUD-EST, Anul 2003, Ani, 70.68
Total, Total, Regiunea SUD-EST, Anul 2004, Ani, 71.01
Total, Total, Regiunea SUD-EST, Anul 2005, Ani, 71.69
Total, Total, Regiunea SUD-EST, Anul 2006, Ani, 72.35
Total, Total, Regiunea SUD-EST, Anul 2007, Ani, 72.66
Total, Total, Regiunea SUD-EST, Anul 2008, Ani, 73.25
Total, Total, Regiunea SUD-EST, Anul 2009, Ani, 73.39
Total, Total, Regiunea SUD-EST, Anul 2010, Ani, 73.58
Total, Total, Regiunea SUD-EST, Anul 2011, Ani, 73.88
Total, Total, Regiunea SUD-EST, Anul 2012, Ani, 74.24
Total, Total, Regiunea SUD-EST, Anul 2013, Ani, 74.68
Total, Total, Regiunea SUD-EST, Anul 2014, Ani, 74.91
Total, Total, Regiunea SUD-EST, Anul 2015, Ani, 74.9
Total, Total, Regiunea SUD-EST, Anul 2016, Ani, 75.16
Total, Total, Regiunea SUD-EST, Anul 2017, Ani, 75.17
Total, Total, Braila, Anul 1990, Ani, 70.52
Total, Total, Braila, Anul 1991, Ani, 70.14
Total, Total, Braila, Anul 1992, Ani, 70.38
Total, Total, Braila, Anul 1993, Ani, 70.66
Total, Total, Braila, Anul 1994, Ani, 70.57
Total, Total, Braila, Anul 1995, Ani, 70.25
Total, Total, Braila, Anul 1996, Ani, 69.25
Total, Total, Braila, Anul 1997, Ani, 69.18
Total, Total, Braila, Anul 1998, Ani, 69.81
Total, Total, Braila, Anul 1999, Ani, 70.1
Total, Total, Braila, Anul 2000, Ani, 70.65
Total, Total, Braila, Anul 2001, Ani, 71.32
Total, Total, Braila, Anul 2002, Ani, 71.38
Total, Total, Braila, Anul 2003, Ani, 71.15
Total, Total, Braila, Anul 2004, Ani, 71.28
Total, Total, Braila, Anul 2005, Ani, 71.61
Total, Total, Braila, Anul 2006, Ani, 72.73
Total, Total, Braila, Anul 2007, Ani, 72.92
Total, Total, Braila, Anul 2008, Ani, 73.37
Total, Total, Braila, Anul 2009, Ani, 73.61
Total, Total, Braila, Anul 2010, Ani, 73.84
Total, Total, Braila, Anul 2011, Ani, 74.03
Total, Total, Braila, Anul 2012, Ani, 73.94
Total, Total, Braila, Anul 2013, Ani, 74.44
Total, Total, Braila, Anul 2014, Ani, 74.65
Total, Total, Braila, Anul 2015, Ani, 74.62
Total, Total, Braila, Anul 2016, Ani, 75.29
Total, Total, Braila, Anul 2017, Ani, 75.22
Total, Total, Buzau, Anul 1990, Ani, 70.81
Total, Total, Buzau, Anul 1991, Ani, 70.85
Total, Total, Buzau, Anul 1992, Ani, 70.62
Total, Total, Buzau, Anul 1993, Ani, 71.07
Total, Total, Buzau, Anul 1994, Ani, 71.12
Total, Total, Buzau, Anul 1995, Ani, 70.74
Total, Total, Buzau, Anul 1996, Ani, 70.25
Total, Total, Buzau, Anul 1997, Ani, 69.86
Total, Total, Buzau, Anul 1998, Ani, 70.46
Total, Total, Buzau, Anul 1999, Ani, 70.9
Total, Total, Buzau, Anul 2000, Ani, 71.46
Total, Total, Buzau, Anul 2001, Ani, 72.2
Total, Total, Buzau, Anul 2002, Ani, 71.84
Total, Total, Buzau, Anul 2003, Ani, 71.61
Total, Total, Buzau, Anul 2004, Ani, 71.77
Total, Total, Buzau, Anul 2005, Ani, 72.38
Total, Total, Buzau, Anul 2006, Ani, 72.76
Total, Total, Buzau, Anul 2007, Ani, 73.21
Total, Total, Buzau, Anul 2008, Ani, 73.88
Total, Total, Buzau, Anul 2009, Ani, 73.81
Total, Total, Buzau, Anul 2010, Ani, 73.91
Total, Total, Buzau, Anul 2011, Ani, 74.06
Total, Total, Buzau, Anul 2012, Ani, 74.62
Total, Total, Buzau, Anul 2013, Ani, 75.09
Total, Total, Buzau, Anul 2014, Ani, 75.08
Total, Total, Buzau, Anul 2015, Ani, 75.04
Total, Total, Buzau, Anul 2016, Ani, 75.29
Total, Total, Buzau, Anul 2017, Ani, 75.27
Total, Total, Constanta, Anul 1990, Ani, 67.11
Total, Total, Constanta, Anul 1991, Ani, 67.84
Total, Total, Constanta, Anul 1992, Ani, 68.27
Total, Total, Constanta, Anul 1993, Ani, 68.12
Total, Total, Constanta, Anul 1994, Ani, 67.94
Total, Total, Constanta, Anul 1995, Ani, 67.6
Total, Total, Constanta, Anul 1996, Ani, 67.23
Total, Total, Constanta, Anul 1997, Ani, 67.46
Total, Total, Constanta, Anul 1998, Ani, 67.86
Total, Total, Constanta, Anul 1999, Ani, 68.27
Total, Total, Constanta, Anul 2000, Ani, 68.82
Total, Total, Constanta, Anul 2001, Ani, 69.65
Total, Total, Constanta, Anul 2002, Ani, 69.87
Total, Total, Constanta, Anul 2003, Ani, 69.74
Total, Total, Constanta, Anul 2004, Ani, 70.27
Total, Total, Constanta, Anul 2005, Ani, 71.02
Total, Total, Constanta, Anul 2006, Ani, 71.58
Total, Total, Constanta, Anul 2007, Ani, 71.83
Total, Total, Constanta, Anul 2008, Ani, 72.81
Total, Total, Constanta, Anul 2009, Ani, 73.17
Total, Total, Constanta, Anul 2010, Ani, 73.38
Total, Total, Constanta, Anul 2011, Ani, 73.72
Total, Total, Constanta, Anul 2012, Ani, 74.17
Total, Total, Constanta, Anul 2013, Ani, 74.67
Total, Total, Constanta, Anul 2014, Ani, 75.09
Total, Total, Constanta, Anul 2015, Ani, 74.84
Total, Total, Constanta, Anul 2016, Ani, 74.99
Total, Total, Constanta, Anul 2017, Ani, 75.35
Total, Total, Galati, Anul 1990, Ani, 70.22
Total, Total, Galati, Anul 1991, Ani, 70.31
Total, Total, Galati, Anul 1992, Ani, 70.6
Total, Total, Galati, Anul 1993, Ani, 70.23
Total, Total, Galati, Anul 1994, Ani, 69.77
Total, Total, Galati, Anul 1995, Ani, 69.17
Total, Total, Galati, Anul 1996, Ani, 68.78
Total, Total, Galati, Anul 1997, Ani, 69.22
Total, Total, Galati, Anul 1998, Ani, 69.48
Total, Total, Galati, Anul 1999, Ani, 69.78
Total, Total, Galati, Anul 2000, Ani, 70.77
Total, Total, Galati, Anul 2001, Ani, 71.43
Total, Total, Galati, Anul 2002, Ani, 71.33
Total, Total, Galati, Anul 2003, Ani, 70.85
Total, Total, Galati, Anul 2004, Ani, 71.03
Total, Total, Galati, Anul 2005, Ani, 71.67
Total, Total, Galati, Anul 2006, Ani, 72.27
Total, Total, Galati, Anul 2007, Ani, 72.61
Total, Total, Galati, Anul 2008, Ani, 73.21
Total, Total, Galati, Anul 2009, Ani, 73.37
Total, Total, Galati, Anul 2010, Ani, 73.63
Total, Total, Galati, Anul 2011, Ani, 74.07
Total, Total, Galati, Anul 2012, Ani, 74.46
Total, Total, Galati, Anul 2013, Ani, 74.65
Total, Total, Galati, Anul 2014, Ani, 74.89
Total, Total, Galati, Anul 2015, Ani, 75.21
Total, Total, Galati, Anul 2016, Ani, 75.53
Total, Total, Galati, Anul 2017, Ani, 75.18
Total, Total, Tulcea, Anul 1990, Ani, 67.24
Total, Total, Tulcea, Anul 1991, Ani, 67.36
Total, Total, Tulcea, Anul 1992, Ani, 67.44
Total, Total, Tulcea, Anul 1993, Ani, 67.95
Total, Total, Tulcea, Anul 1994, Ani, 67.58
Total, Total, Tulcea, Anul 1995, Ani, 67.37
Total, Total, Tulcea, Anul 1996, Ani, 66.97
Total, Total, Tulcea, Anul 1997, Ani, 66.72
Total, Total, Tulcea, Anul 1998, Ani, 67.15
Total, Total, Tulcea, Anul 1999, Ani, 67.63
Total, Total, Tulcea, Anul 2000, Ani, 68.2
Total, Total, Tulcea, Anul 2001, Ani, 68.67
Total, Total, Tulcea, Anul 2002, Ani, 68.7
Total, Total, Tulcea, Anul 2003, Ani, 68.8
Total, Total, Tulcea, Anul 2004, Ani, 69.14
Total, Total, Tulcea, Anul 2005, Ani, 70.37
Total, Total, Tulcea, Anul 2006, Ani, 71.61
Total, Total, Tulcea, Anul 2007, Ani, 71.86
Total, Total, Tulcea, Anul 2008, Ani, 72.25
Total, Total, Tulcea, Anul 2009, Ani, 72.13
Total, Total, Tulcea, Anul 2010, Ani, 71.86
Total, Total, Tulcea, Anul 2011, Ani, 71.94
Total, Total, Tulcea, Anul 2012, Ani, 72.2
Total, Total, Tulcea, Anul 2013, Ani, 72.91
Total, Total, Tulcea, Anul 2014, Ani, 73.59
Total, Total, Tulcea, Anul 2015, Ani, 73.52
Total, Total, Tulcea, Anul 2016, Ani, 73.51
Total, Total, Tulcea, Anul 2017, Ani, 73.51
Total, Total, Vrancea, Anul 1990, Ani, 70.97
Total, Total, Vrancea, Anul 1991, Ani, 71.02
Total, Total, Vrancea, Anul 1992, Ani, 70.86
Total, Total, Vrancea, Anul 1993, Ani, 70.85
Total, Total, Vrancea, Anul 1994, Ani, 70.86
Total, Total, Vrancea, Anul 1995, Ani, 70.34
Total, Total, Vrancea, Anul 1996, Ani, 69.82
Total, Total, Vrancea, Anul 1997, Ani, 69.91
Total, Total, Vrancea, Anul 1998, Ani, 70.36
Total, Total, Vrancea, Anul 1999, Ani, 71.01
Total, Total, Vrancea, Anul 2000, Ani, 71.55
Total, Total, Vrancea, Anul 2001, Ani, 71.47
Total, Total, Vrancea, Anul 2002, Ani, 71.33
Total, Total, Vrancea, Anul 2003, Ani, 71.66
Total, Total, Vrancea, Anul 2004, Ani, 72.24
Total, Total, Vrancea, Anul 2005, Ani, 72.83
Total, Total, Vrancea, Anul 2006, Ani, 73.38
Total, Total, Vrancea, Anul 2007, Ani, 73.72
Total, Total, Vrancea, Anul 2008, Ani, 73.9
Total, Total, Vrancea, Anul 2009, Ani, 73.97
Total, Total, Vrancea, Anul 2010, Ani, 74.35
Total, Total, Vrancea, Anul 2011, Ani, 74.71
Total, Total, Vrancea, Anul 2012, Ani, 75.15
Total, Total, Vrancea, Anul 2013, Ani, 75.55
Total, Total, Vrancea, Anul 2014, Ani, 75.49
Total, Total, Vrancea, Anul 2015, Ani, 75.54
Total, Total, Vrancea, Anul 2016, Ani, 75.84
Total, Total, Vrancea, Anul 2017, Ani, 75.74
Total, Total, MACROREGIUNEA TREI, Anul 2000, Ani, 71.54
Total, Total, MACROREGIUNEA TREI, Anul 2005, Ani, 72.44
Total, Total, MACROREGIUNEA TREI, Anul 2006, Ani, 72.8
Total, Total, MACROREGIUNEA TREI, Anul 2007, Ani, 73.14
Total, Total, MACROREGIUNEA TREI, Anul 2008, Ani, 74.12
Total, Total, MACROREGIUNEA TREI, Anul 2009, Ani, 74.38
Total, Total, MACROREGIUNEA TREI, Anul 2010, Ani, 74.57
Total, Total, MACROREGIUNEA TREI, Anul 2011, Ani, 74.85
Total, Total, MACROREGIUNEA TREI, Anul 2012, Ani, 75.29
Total, Total, MACROREGIUNEA TREI, Anul 2013, Ani, 75.69
Total, Total, MACROREGIUNEA TREI, Anul 2014, Ani, 75.96
Total, Total, MACROREGIUNEA TREI, Anul 2015, Ani, 75.97
Total, Total, MACROREGIUNEA TREI, Anul 2016, Ani, 76.08
Total, Total, MACROREGIUNEA TREI, Anul 2017, Ani, 76.19
Total, Total, Regiunea SUD-MUNTENIA, Anul 1990, Ani, 69.21
Total, Total, Regiunea SUD-MUNTENIA, Anul 1991, Ani, 69.33
Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Ani, 69.33
Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Ani, 69.3
Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Ani, 69.42
Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Ani, 69.39
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Ani, 68.69
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Ani, 68.54
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Ani, 68.86
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Ani, 69.63
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Ani, 70.6
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Ani, 71.26
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Ani, 71.11
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Ani, 70.91
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Ani, 71.13
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Ani, 71.59
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Ani, 72.07
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Ani, 72.5
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Ani, 73.19
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Ani, 73.3
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Ani, 73.35
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Ani, 73.69
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Ani, 74.21
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Ani, 74.7
Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Ani, 74.96
Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Ani, 74.97
Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Ani, 75.15
Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Ani, 75.24
Total, Total, Arges, Anul 1990, Ani, 70.21
Total, Total, Arges, Anul 1991, Ani, 70.61
Total, Total, Arges, Anul 1992, Ani, 70.39
Total, Total, Arges, Anul 1993, Ani, 70.35
Total, Total, Arges, Anul 1994, Ani, 70.6
Total, Total, Arges, Anul 1995, Ani, 70.75
Total, Total, Arges, Anul 1996, Ani, 70.43
Total, Total, Arges, Anul 1997, Ani, 70.24
Total, Total, Arges, Anul 1998, Ani, 70.51
Total, Total, Arges, Anul 1999, Ani, 70.89
Total, Total, Arges, Anul 2000, Ani, 71.4
Total, Total, Arges, Anul 2001, Ani, 71.64
Total, Total, Arges, Anul 2002, Ani, 71.66
Total, Total, Arges, Anul 2003, Ani, 71.7
Total, Total, Arges, Anul 2004, Ani, 72.04
Total, Total, Arges, Anul 2005, Ani, 72.25
Total, Total, Arges, Anul 2006, Ani, 72.5
Total, Total, Arges, Anul 2007, Ani, 72.87
Total, Total, Arges, Anul 2008, Ani, 73.55
Total, Total, Arges, Anul 2009, Ani, 73.95
Total, Total, Arges, Anul 2010, Ani, 74.33
Total, Total, Arges, Anul 2011, Ani, 74.57
Total, Total, Arges, Anul 2012, Ani, 74.95
Total, Total, Arges, Anul 2013, Ani, 75.52
Total, Total, Arges, Anul 2014, Ani, 75.94
Total, Total, Arges, Anul 2015, Ani, 75.97
Total, Total, Arges, Anul 2016, Ani, 76.08
Total, Total, Arges, Anul 2017, Ani, 76.13
Total, Total, Calarasi, Anul 1990, Ani, 68.17
Total, Total, Calarasi, Anul 1991, Ani, 68.37
Total, Total, Calarasi, Anul 1992, Ani, 68.76
Total, Total, Calarasi, Anul 1993, Ani, 68.91
Total, Total, Calarasi, Anul 1994, Ani, 69.07
Total, Total, Calarasi, Anul 1995, Ani, 68.96
Total, Total, Calarasi, Anul 1996, Ani, 67.63
Total, Total, Calarasi, Anul 1997, Ani, 67.33
Total, Total, Calarasi, Anul 1998, Ani, 67.69
Total, Total, Calarasi, Anul 1999, Ani, 68.46
Total, Total, Calarasi, Anul 2000, Ani, 69.67
Total, Total, Calarasi, Anul 2001, Ani, 70
Total, Total, Calarasi, Anul 2002, Ani, 70.1
Total, Total, Calarasi, Anul 2003, Ani, 69.71
Total, Total, Calarasi, Anul 2004, Ani, 69.83
Total, Total, Calarasi, Anul 2005, Ani, 70.28
Total, Total, Calarasi, Anul 2006, Ani, 71.1
Total, Total, Calarasi, Anul 2007, Ani, 71.54
Total, Total, Calarasi, Anul 2008, Ani, 71.77
Total, Total, Calarasi, Anul 2009, Ani, 72.09
Total, Total, Calarasi, Anul 2010, Ani, 72.07
Total, Total, Calarasi, Anul 2011, Ani, 72.36
Total, Total, Calarasi, Anul 2012, Ani, 73.09
Total, Total, Calarasi, Anul 2013, Ani, 73.52
Total, Total, Calarasi, Anul 2014, Ani, 73.4
Total, Total, Calarasi, Anul 2015, Ani, 73.23
Total, Total, Calarasi, Anul 2016, Ani, 73.76
Total, Total, Calarasi, Anul 2017, Ani, 74.03
Total, Total, Dambovita, Anul 1990, Ani, 69.46
Total, Total, Dambovita, Anul 1991, Ani, 69.43
Total, Total, Dambovita, Anul 1992, Ani, 69.45
Total, Total, Dambovita, Anul 1993, Ani, 69.32
Total, Total, Dambovita, Anul 1994, Ani, 69.36
Total, Total, Dambovita, Anul 1995, Ani, 69.63
Total, Total, Dambovita, Anul 1996, Ani, 69.23
Total, Total, Dambovita, Anul 1997, Ani, 69.08
Total, Total, Dambovita, Anul 1998, Ani, 69.36
Total, Total, Dambovita, Anul 1999, Ani, 69.72
Total, Total, Dambovita, Anul 2000, Ani, 70.73
Total, Total, Dambovita, Anul 2001, Ani, 71.67
Total, Total, Dambovita, Anul 2002, Ani, 71.55
Total, Total, Dambovita, Anul 2003, Ani, 71.21
Total, Total, Dambovita, Anul 2004, Ani, 71.62
Total, Total, Dambovita, Anul 2005, Ani, 72.26
Total, Total, Dambovita, Anul 2006, Ani, 72.51
Total, Total, Dambovita, Anul 2007, Ani, 72.85
Total, Total, Dambovita, Anul 2008, Ani, 73.48
Total, Total, Dambovita, Anul 2009, Ani, 73.59
Total, Total, Dambovita, Anul 2010, Ani, 73.71
Total, Total, Dambovita, Anul 2011, Ani, 74.09
