Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Bistrita-Nasaud, Anul 1993, Ani, 69.96
Total, Total, Bistrita-Nasaud, Anul 1994, Ani, 69.79
Total, Total, Bistrita-Nasaud, Anul 1995, Ani, 69.78
Total, Total, Bistrita-Nasaud, Anul 1996, Ani, 70.24
Total, Total, Bistrita-Nasaud, Anul 1997, Ani, 70.47
Total, Total, Bistrita-Nasaud, Anul 1998, Ani, 70.2
Total, Total, Bistrita-Nasaud, Anul 1999, Ani, 70.07
Total, Total, Bistrita-Nasaud, Anul 2000, Ani, 71
Total, Total, Bistrita-Nasaud, Anul 2001, Ani, 72.25
Total, Total, Bistrita-Nasaud, Anul 2002, Ani, 71.79
Total, Total, Bistrita-Nasaud, Anul 2003, Ani, 71.85
Total, Total, Bistrita-Nasaud, Anul 2004, Ani, 72.56
Total, Total, Bistrita-Nasaud, Anul 2005, Ani, 72.75
Total, Total, Bistrita-Nasaud, Anul 2006, Ani, 72.74
Total, Total, Bistrita-Nasaud, Anul 2007, Ani, 72.88
Total, Total, Bistrita-Nasaud, Anul 2008, Ani, 73.63
Total, Total, Bistrita-Nasaud, Anul 2009, Ani, 74.04
Total, Total, Bistrita-Nasaud, Anul 2010, Ani, 74.45
Total, Total, Bistrita-Nasaud, Anul 2011, Ani, 74.84
Total, Total, Bistrita-Nasaud, Anul 2012, Ani, 74.92
Total, Total, Bistrita-Nasaud, Anul 2013, Ani, 75.14
Total, Total, Bistrita-Nasaud, Anul 2014, Ani, 75.57
Total, Total, Bistrita-Nasaud, Anul 2015, Ani, 75.77
Total, Total, Bistrita-Nasaud, Anul 2016, Ani, 75.96
Total, Total, Bistrita-Nasaud, Anul 2017, Ani, 75.79
Total, Total, Cluj, Anul 1990, Ani, 70.1
Total, Total, Cluj, Anul 1991, Ani, 70.25
Total, Total, Cluj, Anul 1992, Ani, 70.04
Total, Total, Cluj, Anul 1993, Ani, 69.72
Total, Total, Cluj, Anul 1994, Ani, 69.76
Total, Total, Cluj, Anul 1995, Ani, 69.97
Total, Total, Cluj, Anul 1996, Ani, 70.32
Total, Total, Cluj, Anul 1997, Ani, 70.32
Total, Total, Cluj, Anul 1998, Ani, 70.08
Total, Total, Cluj, Anul 1999, Ani, 70.45
Total, Total, Cluj, Anul 2000, Ani, 71.43
Total, Total, Cluj, Anul 2001, Ani, 71.81
Total, Total, Cluj, Anul 2002, Ani, 71.75
Total, Total, Cluj, Anul 2003, Ani, 71.84
Total, Total, Cluj, Anul 2004, Ani, 72.5
