ABF - Categorii de cheltuieli  iesiri de bani si in natura, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Lei, 3020.21
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Lei, 3335.62
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Lei, 3794.77
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1889.46
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Lei, 2013.58
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Lei, 2120.07
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 2090.72
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 2209
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 2189.64
Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Lei, 2240.33
Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Lei, 2180.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Lei, 2328.35
Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Lei, 2646.31
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 1848.99
Total, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 1963.9
Total, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 1980.69
Total, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 2132.69
Total, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 2260.78
Total, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 2310.37
Total, Total, MACROREGIUNEA PATRU, Anul 2014, Lei, 2235.19
Total, Total, MACROREGIUNEA PATRU, Anul 2015, Lei, 2250
Total, Total, MACROREGIUNEA PATRU, Anul 2016, Lei, 2397.62
Total, Total, MACROREGIUNEA PATRU, Anul 2017, Lei, 2658.63
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1723.18
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 1770.09
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 1834.16
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1919.76
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 2007.89
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 2131.63
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Lei, 2053.45
