ABF - Categorii de venituri  intrari de bani si in natura, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, UM: Lei  lei RON (incepand cu 2005), Valoare
Venituri totale, Total, MACROREGIUNEA TREI, Anul 2017, Lei, 3911.17
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 2845.47
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Lei, 3154.05
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Lei, 3039.82
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 3121.55
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 3113.15
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 3327.46
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Lei, 3420.17
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Lei, 3671.6
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Lei, 4136.32
Venituri totale, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Lei, 4797.79
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 2059.45
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2009, Lei, 2251.42
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2010, Lei, 2369.21
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 2337.56
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 2434.89
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 2431.04
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2014, Lei, 2442.6
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2015, Lei, 2466.29
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2016, Lei, 2696.43
Venituri totale, Total, Regiunea SUD-MUNTENIA, Anul 2017, Lei, 3200.86
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 2064.53
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 2235.72
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 2232.57
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 2338.64
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 2477.37
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 2522.56
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2014, Lei, 2428.38
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2015, Lei, 2612.23
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2016, Lei, 2866.13
Venituri totale, Total, MACROREGIUNEA PATRU, Anul 2017, Lei, 3139.08
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1960.39
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 2067.69
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 2134.13
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 2159.54
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 2251.56
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 2363.22
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Lei, 2285.38
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Lei, 2448.02
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Lei, 2631.88
Venituri totale, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Lei, 2994.76
Venituri totale, Total, Regiunea VEST, Anul 2008, Lei, 2183.69
Venituri totale, Total, Regiunea VEST, Anul 2009, Lei, 2427.42
Venituri totale, Total, Regiunea VEST, Anul 2010, Lei, 2344.64
Venituri totale, Total, Regiunea VEST, Anul 2011, Lei, 2541.9
Venituri totale, Total, Regiunea VEST, Anul 2012, Lei, 2733.13
Venituri totale, Total, Regiunea VEST, Anul 2013, Lei, 2702.69
Venituri totale, Total, Regiunea VEST, Anul 2014, Lei, 2587.56
Venituri totale, Total, Regiunea VEST, Anul 2015, Lei, 2795.02
Venituri totale, Total, Regiunea VEST, Anul 2016, Lei, 3126.89
Venituri totale, Total, Regiunea VEST, Anul 2017, Lei, 3299.03
