Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Bistrita-Nasaud, Anul 1994, Numar, 3673
Bistrita-Nasaud, Anul 1995, Numar, 3994
Bistrita-Nasaud, Anul 1996, Numar, 3945
Bistrita-Nasaud, Anul 1997, Numar, 4656
Bistrita-Nasaud, Anul 1998, Numar, 5265
Bistrita-Nasaud, Anul 1999, Numar, 5283
Bistrita-Nasaud, Anul 2000, Numar, 4522
Bistrita-Nasaud, Anul 2001, Numar, 4553
Bistrita-Nasaud, Anul 2002, Numar, 4083
Bistrita-Nasaud, Anul 2003, Numar, 4172
Bistrita-Nasaud, Anul 2004, Numar, 3509
Bistrita-Nasaud, Anul 2005, Numar, 3209
Bistrita-Nasaud, Anul 2006, Numar, 3760
Bistrita-Nasaud, Anul 2007, Numar, 3307
Bistrita-Nasaud, Anul 2008, Numar, 3431
Bistrita-Nasaud, Anul 2009, Numar, 3694
Bistrita-Nasaud, Anul 2010, Numar, 4290
Bistrita-Nasaud, Anul 2011, Numar, 4118
Bistrita-Nasaud, Anul 2012, Numar, 3790
Bistrita-Nasaud, Anul 2013, Numar, 3328
Bistrita-Nasaud, Anul 2014, Numar, 4660
Bistrita-Nasaud, Anul 2015, Numar, 3944
Bistrita-Nasaud, Anul 2016, Numar, 5205
Cluj, Anul 1990, Numar, 3190
Cluj, Anul 1991, Numar, 4227
Cluj, Anul 1992, Numar, 4505
Cluj, Anul 1993, Numar, 5998
Cluj, Anul 1994, Numar, 6233
Cluj, Anul 1995, Numar, 8045
Cluj, Anul 1996, Numar, 9224
Cluj, Anul 1997, Numar, 10039
Cluj, Anul 1998, Numar, 11824
Cluj, Anul 1999, Numar, 8101
Cluj, Anul 2000, Numar, 7778
Cluj, Anul 2001, Numar, 6922
Cluj, Anul 2002, Numar, 6668
Cluj, Anul 2003, Numar, 6755
Cluj, Anul 2004, Numar, 6894
Cluj, Anul 2005, Numar, 6562
Cluj, Anul 2006, Numar, 7705
Cluj, Anul 2007, Numar, 8387
Cluj, Anul 2008, Numar, 8563
Cluj, Anul 2009, Numar, 9845
Cluj, Anul 2010, Numar, 11744
Cluj, Anul 2011, Numar, 10000
Cluj, Anul 2012, Numar, 11508
Cluj, Anul 2013, Numar, 11935
Cluj, Anul 2014, Numar, 14450
Cluj, Anul 2015, Numar, 14935
Cluj, Anul 2016, Numar, 10834
Maramures, Anul 1990, Numar, 2080
Maramures, Anul 1991, Numar, 2605
Maramures, Anul 1992, Numar, 2874
Maramures, Anul 1993, Numar, 4875
Maramures, Anul 1994, Numar, 5146
Maramures, Anul 1995, Numar, 5435
Maramures, Anul 1996, Numar, 5624
Maramures, Anul 1997, Numar, 5592
Maramures, Anul 1998, Numar, 5687
Maramures, Anul 1999, Numar, 6144
Maramures, Anul 2000, Numar, 5841
Maramures, Anul 2001, Numar, 5959
Maramures, Anul 2002, Numar, 4940
Maramures, Anul 2003, Numar, 5091
Maramures, Anul 2004, Numar, 4684
Maramures, Anul 2005, Numar, 4390
Maramures, Anul 2006, Numar, 5127
Maramures, Anul 2007, Numar, 5798
Maramures, Anul 2008, Numar, 5577
Maramures, Anul 2009, Numar, 6720
Maramures, Anul 2010, Numar, 7011
Maramures, Anul 2011, Numar, 5953
Maramures, Anul 2012, Numar, 5672
Maramures, Anul 2013, Numar, 5910
Maramures, Anul 2014, Numar, 7751
Maramures, Anul 2015, Numar, 5547
Maramures, Anul 2016, Numar, 6075
Satu Mare, Anul 1990, Numar, 2502
Satu Mare, Anul 1991, Numar, 2563
Satu Mare, Anul 1992, Numar, 3089
Satu Mare, Anul 1993, Numar, 4587
Satu Mare, Anul 1994, Numar, 4457
Satu Mare, Anul 1995, Numar, 5077
Satu Mare, Anul 1996, Numar, 6127
Satu Mare, Anul 1997, Numar, 6907
Satu Mare, Anul 1998, Numar, 7547
