Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Regiunea SUD-EST, Anul 1990, Numar, 191
Regiunea SUD-EST, Anul 1991, Numar, 295
Regiunea SUD-EST, Anul 1992, Numar, 344
Regiunea SUD-EST, Anul 1993, Numar, 411
Regiunea SUD-EST, Anul 1994, Numar, 428
Regiunea SUD-EST, Anul 1995, Numar, 456
Regiunea SUD-EST, Anul 1996, Numar, 482
Regiunea SUD-EST, Anul 1997, Numar, 605
Regiunea SUD-EST, Anul 1998, Numar, 538
Regiunea SUD-EST, Anul 1999, Numar, 440
Regiunea SUD-EST, Anul 2000, Numar, 366
Regiunea SUD-EST, Anul 2001, Numar, 402
Regiunea SUD-EST, Anul 2002, Numar, 423
Regiunea SUD-EST, Anul 2003, Numar, 402
Regiunea SUD-EST, Anul 2004, Numar, 342
Regiunea SUD-EST, Anul 2005, Numar, 316
Regiunea SUD-EST, Anul 2006, Numar, 273
Regiunea SUD-EST, Anul 2007, Numar, 274
Regiunea SUD-EST, Anul 2008, Numar, 200
Regiunea SUD-EST, Anul 2009, Numar, 203
Regiunea SUD-EST, Anul 2010, Numar, 220
Regiunea SUD-EST, Anul 2011, Numar, 274
Regiunea SUD-EST, Anul 2012, Numar, 307
Regiunea SUD-EST, Anul 2013, Numar, 290
Regiunea SUD-EST, Anul 2014, Numar, 253
Regiunea SUD-EST, Anul 2015, Numar, 228
Regiunea SUD-EST, Anul 2016, Numar, 173
Braila, Anul 1990, Numar, 271
Braila, Anul 1991, Numar, 307
Braila, Anul 1992, Numar, 305
Braila, Anul 1993, Numar, 494
Braila, Anul 1994, Numar, 477
Braila, Anul 1995, Numar, 478
Braila, Anul 1996, Numar, 489
Braila, Anul 1997, Numar, 549
Braila, Anul 1998, Numar, 451
Braila, Anul 1999, Numar, 325
Braila, Anul 2000, Numar, 334
Braila, Anul 2001, Numar, 422
Braila, Anul 2002, Numar, 383
Braila, Anul 2003, Numar, 412
Braila, Anul 2004, Numar, 351
Braila, Anul 2005, Numar, 364
Braila, Anul 2006, Numar, 249
Braila, Anul 2007, Numar, 350
Braila, Anul 2008, Numar, 232
Braila, Anul 2009, Numar, 225
Braila, Anul 2010, Numar, 244
Braila, Anul 2011, Numar, 358
Braila, Anul 2012, Numar, 399
Braila, Anul 2013, Numar, 334
Braila, Anul 2014, Numar, 293
Braila, Anul 2015, Numar, 232
Braila, Anul 2016, Numar, 167
Buzau, Anul 1990, Numar, 105
Buzau, Anul 1991, Numar, 219
Buzau, Anul 1992, Numar, 266
Buzau, Anul 1993, Numar, 355
Buzau, Anul 1994, Numar, 247
Buzau, Anul 1995, Numar, 311
Buzau, Anul 1996, Numar, 391
Buzau, Anul 1997, Numar, 460
Buzau, Anul 1998, Numar, 416
Buzau, Anul 1999, Numar, 402
Buzau, Anul 2000, Numar, 294
Buzau, Anul 2001, Numar, 401
Buzau, Anul 2002, Numar, 481
Buzau, Anul 2003, Numar, 387
Buzau, Anul 2004, Numar, 350
Buzau, Anul 2005, Numar, 286
Buzau, Anul 2006, Numar, 231
Buzau, Anul 2007, Numar, 185
Buzau, Anul 2008, Numar, 147
Buzau, Anul 2009, Numar, 149
Buzau, Anul 2010, Numar, 118
Buzau, Anul 2011, Numar, 124
Buzau, Anul 2012, Numar, 165
Buzau, Anul 2013, Numar, 192
Buzau, Anul 2014, Numar, 168
Buzau, Anul 2015, Numar, 182
Buzau, Anul 2016, Numar, 169
Constanta, Anul 1990, Numar, 230
Constanta, Anul 1991, Numar, 310
Constanta, Anul 1992, Numar, 334
Constanta, Anul 1993, Numar, 363
Constanta, Anul 1994, Numar, 396
Constanta, Anul 1995, Numar, 390
Constanta, Anul 1996, Numar, 410
Constanta, Anul 1997, Numar, 664
Constanta, Anul 1998, Numar, 584
Constanta, Anul 1999, Numar, 423
Constanta, Anul 2000, Numar, 309
Constanta, Anul 2001, Numar, 310
Constanta, Anul 2002, Numar, 389
Constanta, Anul 2003, Numar, 308
Constanta, Anul 2004, Numar, 224
Constanta, Anul 2005, Numar, 245
Constanta, Anul 2006, Numar, 207
Constanta, Anul 2007, Numar, 198
Constanta, Anul 2008, Numar, 155
Constanta, Anul 2009, Numar, 158
Constanta, Anul 2010, Numar, 200
Constanta, Anul 2011, Numar, 252
Constanta, Anul 2012, Numar, 275
Constanta, Anul 2013, Numar, 244
Constanta, Anul 2014, Numar, 212
Constanta, Anul 2015, Numar, 221
Constanta, Anul 2016, Numar, 119
Galati, Anul 1990, Numar, 171
Galati, Anul 1991, Numar, 288
Galati, Anul 1992, Numar, 361
Galati, Anul 1993, Numar, 389
Galati, Anul 1994, Numar, 433
Galati, Anul 1995, Numar, 513
Galati, Anul 1996, Numar, 556
Galati, Anul 1997, Numar, 628
Galati, Anul 1998, Numar, 527
Galati, Anul 1999, Numar, 565
Galati, Anul 2000, Numar, 458
Galati, Anul 2001, Numar, 379
Galati, Anul 2002, Numar, 337
Galati, Anul 2003, Numar, 493
Galati, Anul 2004, Numar, 421
Galati, Anul 2005, Numar, 341
Galati, Anul 2006, Numar, 327
Galati, Anul 2007, Numar, 366
Galati, Anul 2008, Numar, 252
Galati, Anul 2009, Numar, 241
Galati, Anul 2010, Numar, 285
Galati, Anul 2011, Numar, 312
Galati, Anul 2012, Numar, 337
Galati, Anul 2013, Numar, 300
Galati, Anul 2014, Numar, 262
Galati, Anul 2015, Numar, 235
Galati, Anul 2016, Numar, 215
Tulcea, Anul 1990, Numar, 158
Tulcea, Anul 1991, Numar, 268
Tulcea, Anul 1992, Numar, 375
Tulcea, Anul 1993, Numar, 463
Tulcea, Anul 1994, Numar, 456
Tulcea, Anul 1995, Numar, 436
Tulcea, Anul 1996, Numar, 492
Tulcea, Anul 1997, Numar, 551
Tulcea, Anul 1998, Numar, 598
Tulcea, Anul 1999, Numar, 399
Tulcea, Anul 2000, Numar, 365
Tulcea, Anul 2001, Numar, 530
Tulcea, Anul 2002, Numar, 522
Tulcea, Anul 2003, Numar, 381
Tulcea, Anul 2004, Numar, 365
Tulcea, Anul 2005, Numar, 325
Tulcea, Anul 2006, Numar, 310
Tulcea, Anul 2007, Numar, 233
Tulcea, Anul 2008, Numar, 192
Tulcea, Anul 2009, Numar, 218
Tulcea, Anul 2010, Numar, 240
Tulcea, Anul 2011, Numar, 308
Tulcea, Anul 2012, Numar, 356
Tulcea, Anul 2013, Numar, 398
Tulcea, Anul 2014, Numar, 348
Tulcea, Anul 2015, Numar, 302
Tulcea, Anul 2016, Numar, 310
Vrancea, Anul 1990, Numar, 203
Vrancea, Anul 1991, Numar, 387
Vrancea, Anul 1992, Numar, 456
Vrancea, Anul 1993, Numar, 493
Vrancea, Anul 1994, Numar, 648
Vrancea, Anul 1995, Numar, 668
Vrancea, Anul 1996, Numar, 604
Vrancea, Anul 1997, Numar, 737
Vrancea, Anul 1998, Numar, 671
Vrancea, Anul 1999, Numar, 456
Vrancea, Anul 2000, Numar, 450
Vrancea, Anul 2001, Numar, 511
Vrancea, Anul 2002, Numar, 522
Vrancea, Anul 2003, Numar, 453
Vrancea, Anul 2004, Numar, 401
Vrancea, Anul 2005, Numar, 389
Vrancea, Anul 2006, Numar, 357
Vrancea, Anul 2007, Numar, 335
Vrancea, Anul 2008, Numar, 243
Vrancea, Anul 2009, Numar, 266
Vrancea, Anul 2010, Numar, 249
Vrancea, Anul 2011, Numar, 339
Vrancea, Anul 2012, Numar, 392
Vrancea, Anul 2013, Numar, 386
Vrancea, Anul 2014, Numar, 336
Vrancea, Anul 2015, Numar, 243
Vrancea, Anul 2016, Numar, 149
MACROREGIUNEA TREI, Anul 1990, Numar, 154
MACROREGIUNEA TREI, Anul 1991, Numar, 243
MACROREGIUNEA TREI, Anul 1992, Numar, 297
MACROREGIUNEA TREI, Anul 1993, Numar, 287
MACROREGIUNEA TREI, Anul 1994, Numar, 329
MACROREGIUNEA TREI, Anul 1995, Numar, 355
MACROREGIUNEA TREI, Anul 1996, Numar, 348
MACROREGIUNEA TREI, Anul 1997, Numar, 378
MACROREGIUNEA TREI, Anul 1998, Numar, 347
MACROREGIUNEA TREI, Anul 1999, Numar, 309
MACROREGIUNEA TREI, Anul 2000, Numar, 263
MACROREGIUNEA TREI, Anul 2001, Numar, 322
MACROREGIUNEA TREI, Anul 2002, Numar, 334
MACROREGIUNEA TREI, Anul 2003, Numar, 294
MACROREGIUNEA TREI, Anul 2004, Numar, 255
MACROREGIUNEA TREI, Anul 2005, Numar, 246
MACROREGIUNEA TREI, Anul 2006, Numar, 203
MACROREGIUNEA TREI, Anul 2007, Numar, 153
MACROREGIUNEA TREI, Anul 2008, Numar, 133
MACROREGIUNEA TREI, Anul 2009, Numar, 111
MACROREGIUNEA TREI, Anul 2010, Numar, 151
MACROREGIUNEA TREI, Anul 2011, Numar, 188
MACROREGIUNEA TREI, Anul 2012, Numar, 188
MACROREGIUNEA TREI, Anul 2013, Numar, 190
MACROREGIUNEA TREI, Anul 2014, Numar, 165
MACROREGIUNEA TREI, Anul 2015, Numar, 194
MACROREGIUNEA TREI, Anul 2016, Numar, 157
Regiunea SUD-MUNTENIA, Anul 1990, Numar, 180
Regiunea SUD-MUNTENIA, Anul 1991, Numar, 282
Regiunea SUD-MUNTENIA, Anul 1992, Numar, 327
Regiunea SUD-MUNTENIA, Anul 1993, Numar, 336
Regiunea SUD-MUNTENIA, Anul 1994, Numar, 395
Regiunea SUD-MUNTENIA, Anul 1995, Numar, 433
Regiunea SUD-MUNTENIA, Anul 1996, Numar, 428
Regiunea SUD-MUNTENIA, Anul 1997, Numar, 455
Regiunea SUD-MUNTENIA, Anul 1998, Numar, 404
Regiunea SUD-MUNTENIA, Anul 1999, Numar, 328
Regiunea SUD-MUNTENIA, Anul 2000, Numar, 270
Regiunea SUD-MUNTENIA, Anul 2001, Numar, 322
Regiunea SUD-MUNTENIA, Anul 2002, Numar, 344
Regiunea SUD-MUNTENIA, Anul 2003, Numar, 319
Regiunea SUD-MUNTENIA, Anul 2004, Numar, 267
Regiunea SUD-MUNTENIA, Anul 2005, Numar, 249
Regiunea SUD-MUNTENIA, Anul 2006, Numar, 214
Regiunea SUD-MUNTENIA, Anul 2007, Numar, 158
Regiunea SUD-MUNTENIA, Anul 2008, Numar, 136
Regiunea SUD-MUNTENIA, Anul 2009, Numar, 106
Regiunea SUD-MUNTENIA, Anul 2010, Numar, 150
Regiunea SUD-MUNTENIA, Anul 2011, Numar, 195
Regiunea SUD-MUNTENIA, Anul 2012, Numar, 197
Regiunea SUD-MUNTENIA, Anul 2013, Numar, 197
Regiunea SUD-MUNTENIA, Anul 2014, Numar, 172
Regiunea SUD-MUNTENIA, Anul 2015, Numar, 187
Regiunea SUD-MUNTENIA, Anul 2016, Numar, 163
Arges, Anul 1990, Numar, 166
Arges, Anul 1991, Numar, 324
Arges, Anul 1992, Numar, 367
Arges, Anul 1993, Numar, 305
Arges, Anul 1994, Numar, 273
Arges, Anul 1995, Numar, 322
Arges, Anul 1996, Numar, 331
Arges, Anul 1997, Numar, 372
Arges, Anul 1998, Numar, 356
Arges, Anul 1999, Numar, 237
Arges, Anul 2000, Numar, 199
Arges, Anul 2001, Numar, 198
Arges, Anul 2002, Numar, 236
Arges, Anul 2003, Numar, 215
Arges, Anul 2004, Numar, 189
Arges, Anul 2005, Numar, 183
Arges, Anul 2006, Numar, 165
Arges, Anul 2007, Numar, 115
Arges, Anul 2008, Numar, 116
Arges, Anul 2009, Numar, 93
Arges, Anul 2010, Numar, 152
Arges, Anul 2011, Numar, 201
Arges, Anul 2012, Numar, 156
Arges, Anul 2013, Numar, 149
Arges, Anul 2014, Numar, 130
Arges, Anul 2015, Numar, 142
Arges, Anul 2016, Numar, 124
Calarasi, Anul 1990, Numar, 239
Calarasi, Anul 1991, Numar, 366
Calarasi, Anul 1992, Numar, 446
Calarasi, Anul 1993, Numar, 457
Calarasi, Anul 1994, Numar, 591
Calarasi, Anul 1995, Numar, 728
Calarasi, Anul 1996, Numar, 631
Calarasi, Anul 1997, Numar, 598
Calarasi, Anul 1998, Numar, 351
Calarasi, Anul 1999, Numar, 300
Calarasi, Anul 2000, Numar, 246
Calarasi, Anul 2001, Numar, 267
Calarasi, Anul 2002, Numar, 375
Calarasi, Anul 2003, Numar, 523
Calarasi, Anul 2004, Numar, 451
Calarasi, Anul 2005, Numar, 410
Calarasi, Anul 2006, Numar, 316
Calarasi, Anul 2007, Numar, 240
Calarasi, Anul 2008, Numar, 186
Calarasi, Anul 2009, Numar, 170
Calarasi, Anul 2010, Numar, 216
Calarasi, Anul 2011, Numar, 310
Calarasi, Anul 2012, Numar, 218
Calarasi, Anul 2013, Numar, 233
Calarasi, Anul 2014, Numar, 204
Calarasi, Anul 2015, Numar, 251
Calarasi, Anul 2016, Numar, 226
Dambovita, Anul 1990, Numar, 138
Dambovita, Anul 1991, Numar, 231
Dambovita, Anul 1992, Numar, 256
Dambovita, Anul 1993, Numar, 323
Dambovita, Anul 1994, Numar, 420
Dambovita, Anul 1995, Numar, 455
Dambovita, Anul 1996, Numar, 424
Dambovita, Anul 1997, Numar, 575
Dambovita, Anul 1998, Numar, 532
Dambovita, Anul 1999, Numar, 437
Dambovita, Anul 2000, Numar, 318
Dambovita, Anul 2001, Numar, 370
Dambovita, Anul 2002, Numar, 458
Dambovita, Anul 2003, Numar, 380
Dambovita, Anul 2004, Numar, 351
Dambovita, Anul 2005, Numar, 314
Dambovita, Anul 2006, Numar, 251
Dambovita, Anul 2007, Numar, 176
Dambovita, Anul 2008, Numar, 146
Dambovita, Anul 2009, Numar, 98
Dambovita, Anul 2010, Numar, 137
Dambovita, Anul 2011, Numar, 175
Dambovita, Anul 2012, Numar, 237
Dambovita, Anul 2013, Numar, 230
Dambovita, Anul 2014, Numar, 200
Dambovita, Anul 2015, Numar, 155
Dambovita, Anul 2016, Numar, 161
Giurgiu, Anul 1990, Numar, 137
Giurgiu, Anul 1991, Numar, 147
Giurgiu, Anul 1992, Numar, 126
Giurgiu, Anul 1993, Numar, 128
Giurgiu, Anul 1994, Numar, 223
Giurgiu, Anul 1995, Numar, 193
Giurgiu, Anul 1996, Numar, 209
Giurgiu, Anul 1997, Numar, 205
Giurgiu, Anul 1998, Numar, 166
Giurgiu, Anul 1999, Numar, 115
Giurgiu, Anul 2000, Numar, 192
Giurgiu, Anul 2001, Numar, 180
Giurgiu, Anul 2002, Numar, 204
Giurgiu, Anul 2003, Numar, 246
Giurgiu, Anul 2004, Numar, 155
Giurgiu, Anul 2005, Numar, 138
Giurgiu, Anul 2006, Numar, 142
Giurgiu, Anul 2007, Numar, 82
Giurgiu, Anul 2008, Numar, 77
Giurgiu, Anul 2009, Numar, 74
Giurgiu, Anul 2010, Numar, 132
Giurgiu, Anul 2011, Numar, 161
Giurgiu, Anul 2012, Numar, 70
Giurgiu, Anul 2013, Numar, 86
Giurgiu, Anul 2014, Numar, 75
Giurgiu, Anul 2015, Numar, 191
Giurgiu, Anul 2016, Numar, 230
Ialomita, Anul 1990, Numar, 215
Ialomita, Anul 1991, Numar, 393
Ialomita, Anul 1992, Numar, 425
Ialomita, Anul 1993, Numar, 501
Ialomita, Anul 1994, Numar, 586
Ialomita, Anul 1995, Numar, 672
Ialomita, Anul 1996, Numar, 646
Ialomita, Anul 1997, Numar, 678
Ialomita, Anul 1998, Numar, 617
Ialomita, Anul 1999, Numar, 484
Ialomita, Anul 2000, Numar, 383
Ialomita, Anul 2001, Numar, 512
Ialomita, Anul 2002, Numar, 473
Ialomita, Anul 2003, Numar, 338
Ialomita, Anul 2004, Numar, 326
Ialomita, Anul 2005, Numar, 321
Ialomita, Anul 2006, Numar, 336
Ialomita, Anul 2007, Numar, 243
Ialomita, Anul 2008, Numar, 197
Ialomita, Anul 2009, Numar, 139
Ialomita, Anul 2010, Numar, 186
Ialomita, Anul 2011, Numar, 210
Ialomita, Anul 2012, Numar, 237
Ialomita, Anul 2013, Numar, 195
Ialomita, Anul 2014, Numar, 170
Ialomita, Anul 2015, Numar, 258
Ialomita, Anul 2016, Numar, 220
Prahova, Anul 1990, Numar, 223
Prahova, Anul 1991, Numar, 309
Prahova, Anul 1992, Numar, 371
Prahova, Anul 1993, Numar, 348
Prahova, Anul 1994, Numar, 400
Prahova, Anul 1995, Numar, 430
Prahova, Anul 1996, Numar, 439
Prahova, Anul 1997, Numar, 411
Prahova, Anul 1998, Numar, 401
Prahova, Anul 1999, Numar, 351
Prahova, Anul 2000, Numar, 285
Prahova, Anul 2001, Numar, 372
Prahova, Anul 2002, Numar, 358
Prahova, Anul 2003, Numar, 311
Prahova, Anul 2004, Numar, 228
Prahova, Anul 2005, Numar, 209
Prahova, Anul 2006, Numar, 171
Prahova, Anul 2007, Numar, 152
Prahova, Anul 2008, Numar, 136
Prahova, Anul 2009, Numar, 97
Prahova, Anul 2010, Numar, 122
Prahova, Anul 2011, Numar, 183
Prahova, Anul 2012, Numar, 209
Prahova, Anul 2013, Numar, 244
Prahova, Anul 2014, Numar, 212
Prahova, Anul 2015, Numar, 171
Prahova, Anul 2016, Numar, 100
Teleorman, Anul 1990, Numar, 134
Teleorman, Anul 1991, Numar, 193
Teleorman, Anul 1992, Numar, 259
Teleorman, Anul 1993, Numar, 319
Teleorman, Anul 1994, Numar, 379
Teleorman, Anul 1995, Numar, 359
Teleorman, Anul 1996, Numar, 408
Teleorman, Anul 1997, Numar, 425
Teleorman, Anul 1998, Numar, 379
Teleorman, Anul 1999, Numar, 341
Teleorman, Anul 2000, Numar, 283
Teleorman, Anul 2001, Numar, 358
Teleorman, Anul 2002, Numar, 321
Teleorman, Anul 2003, Numar, 298
Teleorman, Anul 2004, Numar, 254
Teleorman, Anul 2005, Numar, 251
Teleorman, Anul 2006, Numar, 212
Teleorman, Anul 2007, Numar, 142
Teleorman, Anul 2008, Numar, 114
Teleorman, Anul 2009, Numar, 104
Teleorman, Anul 2010, Numar, 158
Teleorman, Anul 2011, Numar, 163
Teleorman, Anul 2012, Numar, 234
Teleorman, Anul 2013, Numar, 194
Teleorman, Anul 2014, Numar, 170
Teleorman, Anul 2015, Numar, 236
Teleorman, Anul 2016, Numar, 214
Regiunea BUCURESTI - ILFOV, Anul 1990, Numar, 114
Regiunea BUCURESTI - ILFOV, Anul 1991, Numar, 184
Regiunea BUCURESTI - ILFOV, Anul 1992, Numar, 252
Regiunea BUCURESTI - ILFOV, Anul 1993, Numar, 213
Regiunea BUCURESTI - ILFOV, Anul 1994, Numar, 228
Regiunea BUCURESTI - ILFOV, Anul 1995, Numar, 238
Regiunea BUCURESTI - ILFOV, Anul 1996, Numar, 226
Regiunea BUCURESTI - ILFOV, Anul 1997, Numar, 260
Regiunea BUCURESTI - ILFOV, Anul 1998, Numar, 260
Regiunea BUCURESTI - ILFOV, Anul 1999, Numar, 280
Regiunea BUCURESTI - ILFOV, Anul 2000, Numar, 252
Regiunea BUCURESTI - ILFOV, Anul 2001, Numar, 321
Regiunea BUCURESTI - ILFOV, Anul 2002, Numar, 318
Regiunea BUCURESTI - ILFOV, Anul 2003, Numar, 257
Regiunea BUCURESTI - ILFOV, Anul 2004, Numar, 237
Regiunea BUCURESTI - ILFOV, Anul 2005, Numar, 241
Regiunea BUCURESTI - ILFOV, Anul 2006, Numar, 187
Regiunea BUCURESTI - ILFOV, Anul 2007, Numar, 147
Regiunea BUCURESTI - ILFOV, Anul 2008, Numar, 127
Regiunea BUCURESTI - ILFOV, Anul 2009, Numar, 118
Regiunea BUCURESTI - ILFOV, Anul 2010, Numar, 152
Regiunea BUCURESTI - ILFOV, Anul 2011, Numar, 178
Regiunea BUCURESTI - ILFOV, Anul 2012, Numar, 175
Regiunea BUCURESTI - ILFOV, Anul 2013, Numar, 180
Regiunea BUCURESTI - ILFOV, Anul 2014, Numar, 156
Regiunea BUCURESTI - ILFOV, Anul 2015, Numar, 203
Regiunea BUCURESTI - ILFOV, Anul 2016, Numar, 150
Ilfov, Anul 1997, Numar, 544
Ilfov, Anul 1998, Numar, 424
Ilfov, Anul 1999, Numar, 520
Ilfov, Anul 2000, Numar, 346
Ilfov, Anul 2001, Numar, 403
Ilfov, Anul 2002, Numar, 451
Ilfov, Anul 2003, Numar, 326
Ilfov, Anul 2004, Numar, 247
Ilfov, Anul 2005, Numar, 213
Ilfov, Anul 2006, Numar, 179
Ilfov, Anul 2007, Numar, 107
Ilfov, Anul 2008, Numar, 70
Ilfov, Anul 2009, Numar, 81
Ilfov, Anul 2010, Numar, 103
Ilfov, Anul 2011, Numar, 85
Ilfov, Anul 2012, Numar, 139
Ilfov, Anul 2013, Numar, 142
Ilfov, Anul 2014, Numar, 120
Ilfov, Anul 2015, Numar, 114
Ilfov, Anul 2016, Numar, 73
Municipiul Bucuresti, Anul 1997, Numar, 221
Municipiul Bucuresti, Anul 1998, Numar, 238
Municipiul Bucuresti, Anul 1999, Numar, 248
Municipiul Bucuresti, Anul 2000, Numar, 239
Municipiul Bucuresti, Anul 2001, Numar, 309
Municipiul Bucuresti, Anul 2002, Numar, 300
Municipiul Bucuresti, Anul 2003, Numar, 247
Municipiul Bucuresti, Anul 2004, Numar, 235
Municipiul Bucuresti, Anul 2005, Numar, 245
Municipiul Bucuresti, Anul 2006, Numar, 188
Municipiul Bucuresti, Anul 2007, Numar, 153
Municipiul Bucuresti, Anul 2008, Numar, 136
Municipiul Bucuresti, Anul 2009, Numar, 124
Municipiul Bucuresti, Anul 2010, Numar, 160
Municipiul Bucuresti, Anul 2011, Numar, 194
Municipiul Bucuresti, Anul 2012, Numar, 183
Municipiul Bucuresti, Anul 2013, Numar, 189
Municipiul Bucuresti, Anul 2014, Numar, 164
Municipiul Bucuresti, Anul 2015, Numar, 224
Municipiul Bucuresti, Anul 2016, Numar, 169
Mun. Bucuresti -incl. SAI, Anul 1990, Numar, 114
Mun. Bucuresti -incl. SAI, Anul 1991, Numar, 184
Mun. Bucuresti -incl. SAI, Anul 1992, Numar, 252
Mun. Bucuresti -incl. SAI, Anul 1993, Numar, 213
Mun. Bucuresti -incl. SAI, Anul 1994, Numar, 228
Mun. Bucuresti -incl. SAI, Anul 1995, Numar, 238
Mun. Bucuresti -incl. SAI, Anul 1996, Numar, 226
MACROREGIUNEA PATRU, Anul 1990, Numar, 175
MACROREGIUNEA PATRU, Anul 1991, Numar, 290
MACROREGIUNEA PATRU, Anul 1992, Numar, 337
MACROREGIUNEA PATRU, Anul 1993, Numar, 399
MACROREGIUNEA PATRU, Anul 1994, Numar, 527
MACROREGIUNEA PATRU, Anul 1995, Numar, 553
MACROREGIUNEA PATRU, Anul 1996, Numar, 603
MACROREGIUNEA PATRU, Anul 1997, Numar, 625
MACROREGIUNEA PATRU, Anul 1998, Numar, 548
MACROREGIUNEA PATRU, Anul 1999, Numar, 427
MACROREGIUNEA PATRU, Anul 2000, Numar, 373
MACROREGIUNEA PATRU, Anul 2001, Numar, 420
MACROREGIUNEA PATRU, Anul 2002, Numar, 398
MACROREGIUNEA PATRU, Anul 2003, Numar, 387
MACROREGIUNEA PATRU, Anul 2004, Numar, 335
MACROREGIUNEA PATRU, Anul 2005, Numar, 321
MACROREGIUNEA PATRU, Anul 2006, Numar, 286
MACROREGIUNEA PATRU, Anul 2007, Numar, 210
MACROREGIUNEA PATRU, Anul 2008, Numar, 163
MACROREGIUNEA PATRU, Anul 2009, Numar, 157
MACROREGIUNEA PATRU, Anul 2010, Numar, 194
MACROREGIUNEA PATRU, Anul 2011, Numar, 217
MACROREGIUNEA PATRU, Anul 2012, Numar, 242
MACROREGIUNEA PATRU, Anul 2013, Numar, 221
MACROREGIUNEA PATRU, Anul 2014, Numar, 193
MACROREGIUNEA PATRU, Anul 2015, Numar, 216
MACROREGIUNEA PATRU, Anul 2016, Numar, 175
Regiunea SUD-VEST OLTENIA, Anul 1990, Numar, 203
Regiunea SUD-VEST OLTENIA, Anul 1991, Numar, 329
Regiunea SUD-VEST OLTENIA, Anul 1992, Numar, 336
Regiunea SUD-VEST OLTENIA, Anul 1993, Numar, 410
Regiunea SUD-VEST OLTENIA, Anul 1994, Numar, 555
Regiunea SUD-VEST OLTENIA, Anul 1995, Numar, 577
Regiunea SUD-VEST OLTENIA, Anul 1996, Numar, 627
Regiunea SUD-VEST OLTENIA, Anul 1997, Numar, 681
Regiunea SUD-VEST OLTENIA, Anul 1998, Numar, 569
Regiunea SUD-VEST OLTENIA, Anul 1999, Numar, 478
Regiunea SUD-VEST OLTENIA, Anul 2000, Numar, 401
Regiunea SUD-VEST OLTENIA, Anul 2001, Numar, 467
Regiunea SUD-VEST OLTENIA, Anul 2002, Numar, 431
Regiunea SUD-VEST OLTENIA, Anul 2003, Numar, 430
Regiunea SUD-VEST OLTENIA, Anul 2004, Numar, 372
Regiunea SUD-VEST OLTENIA, Anul 2005, Numar, 364
Regiunea SUD-VEST OLTENIA, Anul 2006, Numar, 293
Regiunea SUD-VEST OLTENIA, Anul 2007, Numar, 199
Regiunea SUD-VEST OLTENIA, Anul 2008, Numar, 129
Regiunea SUD-VEST OLTENIA, Anul 2009, Numar, 145
Regiunea SUD-VEST OLTENIA, Anul 2010, Numar, 193
Regiunea SUD-VEST OLTENIA, Anul 2011, Numar, 197
Regiunea SUD-VEST OLTENIA, Anul 2012, Numar, 215
Regiunea SUD-VEST OLTENIA, Anul 2013, Numar, 167
Regiunea SUD-VEST OLTENIA, Anul 2014, Numar, 146
Regiunea SUD-VEST OLTENIA, Anul 2015, Numar, 212
Regiunea SUD-VEST OLTENIA, Anul 2016, Numar, 169
Dolj, Anul 1990, Numar, 152
Dolj, Anul 1991, Numar, 250
Dolj, Anul 1992, Numar, 196
Dolj, Anul 1993, Numar, 263
Dolj, Anul 1994, Numar, 410
Dolj, Anul 1995, Numar, 512
Dolj, Anul 1996, Numar, 533
Dolj, Anul 1997, Numar, 644
Dolj, Anul 1998, Numar, 472
Dolj, Anul 1999, Numar, 380
Dolj, Anul 2000, Numar, 306
Dolj, Anul 2001, Numar, 351
Dolj, Anul 2002, Numar, 343
Dolj, Anul 2003, Numar, 378
Dolj, Anul 2004, Numar, 333
Dolj, Anul 2005, Numar, 309
Dolj, Anul 2006, Numar, 252
Dolj, Anul 2007, Numar, 178
Dolj, Anul 2008, Numar, 110
Dolj, Anul 2009, Numar, 142
Dolj, Anul 2010, Numar, 163
Dolj, Anul 2011, Numar, 187
Dolj, Anul 2012, Numar, 230
Dolj, Anul 2013, Numar, 150
Dolj, Anul 2014, Numar, 130
Dolj, Anul 2015, Numar, 236
Dolj, Anul 2016, Numar, 166
Gorj, Anul 1990, Numar, 258
Gorj, Anul 1991, Numar, 416
Gorj, Anul 1992, Numar, 427
Gorj, Anul 1993, Numar, 528
Gorj, Anul 1994, Numar, 736
Gorj, Anul 1995, Numar, 645
Gorj, Anul 1996, Numar, 693
Gorj, Anul 1997, Numar, 660
Gorj, Anul 1998, Numar, 575
Gorj, Anul 1999, Numar, 517
Gorj, Anul 2000, Numar, 437
Gorj, Anul 2001, Numar, 506
Gorj, Anul 2002, Numar, 448
Gorj, Anul 2003, Numar, 476
Gorj, Anul 2004, Numar, 437
Gorj, Anul 2005, Numar, 404
Gorj, Anul 2006, Numar, 330
Gorj, Anul 2007, Numar, 213
Gorj, Anul 2008, Numar, 158
Gorj, Anul 2009, Numar, 186
Gorj, Anul 2010, Numar, 250
Gorj, Anul 2011, Numar, 275
Gorj, Anul 2012, Numar, 260
Gorj, Anul 2013, Numar, 164
Gorj, Anul 2014, Numar, 143
Gorj, Anul 2015, Numar, 216
Gorj, Anul 2016, Numar, 240
Mehedinti, Anul 1990, Numar, 242
Mehedinti, Anul 1991, Numar, 383
Mehedinti, Anul 1992, Numar, 476
Mehedinti, Anul 1993, Numar, 558
Mehedinti, Anul 1994, Numar, 745
