Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Bihor, Anul 2007, Numar persoane, 911
Bihor, Anul 2008, Numar persoane, 885
Bihor, Anul 2009, Numar persoane, 765
Bihor, Anul 2010, Numar persoane, 1230
Bihor, Anul 2011, Numar persoane, 1364
Bihor, Anul 2012, Numar persoane, 1558
Bihor, Anul 2013, Numar persoane, 1234
Bihor, Anul 2014, Numar persoane, 1069
Bihor, Anul 2015, Numar persoane, 1585
Bihor, Anul 2016, Numar persoane, 943
Bistrita-Nasaud, Anul 1990, Numar persoane, 502
Bistrita-Nasaud, Anul 1991, Numar persoane, 954
Bistrita-Nasaud, Anul 1992, Numar persoane, 692
Bistrita-Nasaud, Anul 1993, Numar persoane, 1737
Bistrita-Nasaud, Anul 1994, Numar persoane, 1504
Bistrita-Nasaud, Anul 1995, Numar persoane, 1629
Bistrita-Nasaud, Anul 1996, Numar persoane, 1358
Bistrita-Nasaud, Anul 1997, Numar persoane, 1494
Bistrita-Nasaud, Anul 1998, Numar persoane, 1388
Bistrita-Nasaud, Anul 1999, Numar persoane, 1228
Bistrita-Nasaud, Anul 2000, Numar persoane, 1074
Bistrita-Nasaud, Anul 2001, Numar persoane, 1068
Bistrita-Nasaud, Anul 2002, Numar persoane, 1008
Bistrita-Nasaud, Anul 2003, Numar persoane, 845
Bistrita-Nasaud, Anul 2004, Numar persoane, 760
Bistrita-Nasaud, Anul 2005, Numar persoane, 891
Bistrita-Nasaud, Anul 2006, Numar persoane, 795
Bistrita-Nasaud, Anul 2007, Numar persoane, 621
Bistrita-Nasaud, Anul 2008, Numar persoane, 507
Bistrita-Nasaud, Anul 2009, Numar persoane, 491
Bistrita-Nasaud, Anul 2010, Numar persoane, 544
Bistrita-Nasaud, Anul 2011, Numar persoane, 712
Bistrita-Nasaud, Anul 2012, Numar persoane, 617
Bistrita-Nasaud, Anul 2013, Numar persoane, 617
Bistrita-Nasaud, Anul 2014, Numar persoane, 535
Bistrita-Nasaud, Anul 2015, Numar persoane, 443
Bistrita-Nasaud, Anul 2016, Numar persoane, 516
Cluj, Anul 1990, Numar persoane, 1133
Cluj, Anul 1991, Numar persoane, 1600
Cluj, Anul 1992, Numar persoane, 1644
Cluj, Anul 1993, Numar persoane, 2450
Cluj, Anul 1994, Numar persoane, 2524
Cluj, Anul 1995, Numar persoane, 2787
Cluj, Anul 1996, Numar persoane, 2743
Cluj, Anul 1997, Numar persoane, 2877
Cluj, Anul 1998, Numar persoane, 3102
Cluj, Anul 1999, Numar persoane, 2805
Cluj, Anul 2000, Numar persoane, 2277
Cluj, Anul 2001, Numar persoane, 2072
Cluj, Anul 2002, Numar persoane, 2010
Cluj, Anul 2003, Numar persoane, 2065
Cluj, Anul 2004, Numar persoane, 1981
Cluj, Anul 2005, Numar persoane, 1934
Cluj, Anul 2006, Numar persoane, 1848
Cluj, Anul 2007, Numar persoane, 1668
Cluj, Anul 2008, Numar persoane, 1480
Cluj, Anul 2009, Numar persoane, 1121
Cluj, Anul 2010, Numar persoane, 1324
Cluj, Anul 2011, Numar persoane, 1990
Cluj, Anul 2012, Numar persoane, 2075
Cluj, Anul 2013, Numar persoane, 1995
Cluj, Anul 2014, Numar persoane, 1728
Cluj, Anul 2015, Numar persoane, 2112
Cluj, Anul 2016, Numar persoane, 954
Maramures, Anul 1990, Numar persoane, 619
Maramures, Anul 1991, Numar persoane, 1169
Maramures, Anul 1992, Numar persoane, 1751
Maramures, Anul 1993, Numar persoane, 2149
Maramures, Anul 1994, Numar persoane, 2109
Maramures, Anul 1995, Numar persoane, 2624
Maramures, Anul 1996, Numar persoane, 2465
Maramures, Anul 1997, Numar persoane, 2415
Maramures, Anul 1998, Numar persoane, 2968
Maramures, Anul 1999, Numar persoane, 2545
Maramures, Anul 2000, Numar persoane, 2219
Maramures, Anul 2001, Numar persoane, 2299
Maramures, Anul 2002, Numar persoane, 2275
Maramures, Anul 2003, Numar persoane, 1736
Maramures, Anul 2004, Numar persoane, 1788
Maramures, Anul 2005, Numar persoane, 1890
Maramures, Anul 2006, Numar persoane, 1566
Maramures, Anul 2007, Numar persoane, 1537
Maramures, Anul 2008, Numar persoane, 1146
Maramures, Anul 2009, Numar persoane, 1056
Maramures, Anul 2010, Numar persoane, 1266
Maramures, Anul 2011, Numar persoane, 1503
Maramures, Anul 2012, Numar persoane, 1492
Maramures, Anul 2013, Numar persoane, 1627
Maramures, Anul 2014, Numar persoane, 1409
Maramures, Anul 2015, Numar persoane, 1031
Maramures, Anul 2016, Numar persoane, 1004
Satu Mare, Anul 1990, Numar persoane, 753
Satu Mare, Anul 1991, Numar persoane, 1416
Satu Mare, Anul 1992, Numar persoane, 1807
Satu Mare, Anul 1993, Numar persoane, 2788
Satu Mare, Anul 1994, Numar persoane, 2595
Satu Mare, Anul 1995, Numar persoane, 2451
Satu Mare, Anul 1996, Numar persoane, 2227
Satu Mare, Anul 1997, Numar persoane, 2274
Satu Mare, Anul 1998, Numar persoane, 2187
Satu Mare, Anul 1999, Numar persoane, 1567
Satu Mare, Anul 2000, Numar persoane, 1498
Satu Mare, Anul 2001, Numar persoane, 1720
Satu Mare, Anul 2002, Numar persoane, 1528
Satu Mare, Anul 2003, Numar persoane, 1514
Satu Mare, Anul 2004, Numar persoane, 1179
Satu Mare, Anul 2005, Numar persoane, 925
Satu Mare, Anul 2006, Numar persoane, 980
Satu Mare, Anul 2007, Numar persoane, 1045
Satu Mare, Anul 2008, Numar persoane, 825
Satu Mare, Anul 2009, Numar persoane, 709
Satu Mare, Anul 2010, Numar persoane, 869
Satu Mare, Anul 2011, Numar persoane, 643
Satu Mare, Anul 2012, Numar persoane, 1015
Satu Mare, Anul 2013, Numar persoane, 725
Satu Mare, Anul 2014, Numar persoane, 628
Satu Mare, Anul 2015, Numar persoane, 501
Satu Mare, Anul 2016, Numar persoane, 634
Salaj, Anul 1990, Numar persoane, 392
Salaj, Anul 1991, Numar persoane, 745
Salaj, Anul 1992, Numar persoane, 800
Salaj, Anul 1993, Numar persoane, 1579
Salaj, Anul 1994, Numar persoane, 1407
Salaj, Anul 1995, Numar persoane, 1232
Salaj, Anul 1996, Numar persoane, 1067
Salaj, Anul 1997, Numar persoane, 1202
Salaj, Anul 1998, Numar persoane, 1315
Salaj, Anul 1999, Numar persoane, 798
Salaj, Anul 2000, Numar persoane, 503
Salaj, Anul 2001, Numar persoane, 548
Salaj, Anul 2002, Numar persoane, 553
Salaj, Anul 2003, Numar persoane, 630
Salaj, Anul 2004, Numar persoane, 666
Salaj, Anul 2005, Numar persoane, 613
Salaj, Anul 2006, Numar persoane, 527
Salaj, Anul 2007, Numar persoane, 433
Salaj, Anul 2008, Numar persoane, 364
Salaj, Anul 2009, Numar persoane, 388
Salaj, Anul 2010, Numar persoane, 551
Salaj, Anul 2011, Numar persoane, 497
Salaj, Anul 2012, Numar persoane, 784
Salaj, Anul 2013, Numar persoane, 746
Salaj, Anul 2014, Numar persoane, 646
Salaj, Anul 2015, Numar persoane, 630
Salaj, Anul 2016, Numar persoane, 341
Regiunea CENTRU, Anul 1990, Numar persoane, 3738
Regiunea CENTRU, Anul 1991, Numar persoane, 6854
Regiunea CENTRU, Anul 1992, Numar persoane, 7023
Regiunea CENTRU, Anul 1993, Numar persoane, 9633
Regiunea CENTRU, Anul 1994, Numar persoane, 11869
Regiunea CENTRU, Anul 1995, Numar persoane, 11715
Regiunea CENTRU, Anul 1996, Numar persoane, 11488
Regiunea CENTRU, Anul 1997, Numar persoane, 11634
Regiunea CENTRU, Anul 1998, Numar persoane, 11492
Regiunea CENTRU, Anul 1999, Numar persoane, 9830
Regiunea CENTRU, Anul 2000, Numar persoane, 8519
Regiunea CENTRU, Anul 2001, Numar persoane, 8434
Regiunea CENTRU, Anul 2002, Numar persoane, 7757
Regiunea CENTRU, Anul 2003, Numar persoane, 7789
Regiunea CENTRU, Anul 2004, Numar persoane, 6156
Regiunea CENTRU, Anul 2005, Numar persoane, 6100
Regiunea CENTRU, Anul 2006, Numar persoane, 6200
Regiunea CENTRU, Anul 2007, Numar persoane, 4949
Regiunea CENTRU, Anul 2008, Numar persoane, 4412
Regiunea CENTRU, Anul 2009, Numar persoane, 4444
Regiunea CENTRU, Anul 2010, Numar persoane, 5564
Regiunea CENTRU, Anul 2011, Numar persoane, 6739
Regiunea CENTRU, Anul 2012, Numar persoane, 6300
Regiunea CENTRU, Anul 2013, Numar persoane, 6135
Regiunea CENTRU, Anul 2014, Numar persoane, 5315
Regiunea CENTRU, Anul 2015, Numar persoane, 4903
Regiunea CENTRU, Anul 2016, Numar persoane, 3774
Alba, Anul 1990, Numar persoane, 590
Alba, Anul 1991, Numar persoane, 1150
Alba, Anul 1992, Numar persoane, 1055
Alba, Anul 1993, Numar persoane, 1385
Alba, Anul 1994, Numar persoane, 1881
Alba, Anul 1995, Numar persoane, 1953
Alba, Anul 1996, Numar persoane, 1978
Alba, Anul 1997, Numar persoane, 1838
Alba, Anul 1998, Numar persoane, 2019
Alba, Anul 1999, Numar persoane, 1625
Alba, Anul 2000, Numar persoane, 1366
Alba, Anul 2001, Numar persoane, 1299
Alba, Anul 2002, Numar persoane, 1437
Alba, Anul 2003, Numar persoane, 1351
Alba, Anul 2004, Numar persoane, 1022
Alba, Anul 2005, Numar persoane, 1068
Alba, Anul 2006, Numar persoane, 1020
Alba, Anul 2007, Numar persoane, 715
Alba, Anul 2008, Numar persoane, 689
Alba, Anul 2009, Numar persoane, 651
Alba, Anul 2010, Numar persoane, 1025
Alba, Anul 2011, Numar persoane, 1275
Alba, Anul 2012, Numar persoane, 1257
Alba, Anul 2013, Numar persoane, 1174
Alba, Anul 2014, Numar persoane, 1017
Alba, Anul 2015, Numar persoane, 792
Alba, Anul 2016, Numar persoane, 727
Brasov, Anul 1990, Numar persoane, 1173
Brasov, Anul 1991, Numar persoane, 1812
Brasov, Anul 1992, Numar persoane, 2141
Brasov, Anul 1993, Numar persoane, 2245
Brasov, Anul 1994, Numar persoane, 2609
Brasov, Anul 1995, Numar persoane, 2742
Brasov, Anul 1996, Numar persoane, 2693
Brasov, Anul 1997, Numar persoane, 2550
Brasov, Anul 1998, Numar persoane, 2587
Brasov, Anul 1999, Numar persoane, 1820
Brasov, Anul 2000, Numar persoane, 1456
Brasov, Anul 2001, Numar persoane, 1736
Brasov, Anul 2002, Numar persoane, 1573
Brasov, Anul 2003, Numar persoane, 1399
Brasov, Anul 2004, Numar persoane, 1100
Brasov, Anul 2005, Numar persoane, 1018
Brasov, Anul 2006, Numar persoane, 1221
Brasov, Anul 2007, Numar persoane, 1026
Brasov, Anul 2008, Numar persoane, 848
Brasov, Anul 2009, Numar persoane, 911
Brasov, Anul 2010, Numar persoane, 1235
Brasov, Anul 2011, Numar persoane, 1633
Brasov, Anul 2012, Numar persoane, 1549
Brasov, Anul 2013, Numar persoane, 1640
Brasov, Anul 2014, Numar persoane, 1421
Brasov, Anul 2015, Numar persoane, 1359
Brasov, Anul 2016, Numar persoane, 1168
Covasna, Anul 1990, Numar persoane, 295
Covasna, Anul 1991, Numar persoane, 598
Covasna, Anul 1992, Numar persoane, 576
Covasna, Anul 1993, Numar persoane, 812
Covasna, Anul 1994, Numar persoane, 909
Covasna, Anul 1995, Numar persoane, 947
Covasna, Anul 1996, Numar persoane, 970
Covasna, Anul 1997, Numar persoane, 1185
Covasna, Anul 1998, Numar persoane, 1125
Covasna, Anul 1999, Numar persoane, 923
