Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
Bistrita-Nasaud, Anul 1994, Numar, 1117
Bistrita-Nasaud, Anul 1995, Numar, 1216
Bistrita-Nasaud, Anul 1996, Numar, 1205
Bistrita-Nasaud, Anul 1997, Numar, 1426
Bistrita-Nasaud, Anul 1998, Numar, 1614
Bistrita-Nasaud, Anul 1999, Numar, 1621
Bistrita-Nasaud, Anul 2000, Numar, 1386
Bistrita-Nasaud, Anul 2001, Numar, 1396
Bistrita-Nasaud, Anul 2002, Numar, 1283
Bistrita-Nasaud, Anul 2003, Numar, 1307
Bistrita-Nasaud, Anul 2004, Numar, 1102
Bistrita-Nasaud, Anul 2005, Numar, 1011
Bistrita-Nasaud, Anul 2006, Numar, 1184
Bistrita-Nasaud, Anul 2007, Numar, 1044
Bistrita-Nasaud, Anul 2008, Numar, 1083
Bistrita-Nasaud, Anul 2009, Numar, 1165
Bistrita-Nasaud, Anul 2010, Numar, 1352
Bistrita-Nasaud, Anul 2011, Numar, 1300
Bistrita-Nasaud, Anul 2012, Numar, 1330
Bistrita-Nasaud, Anul 2013, Numar, 1172
Bistrita-Nasaud, Anul 2014, Numar, 1643
Bistrita-Nasaud, Anul 2015, Numar, 1394
Bistrita-Nasaud, Anul 2016, Numar, 1845
Cluj, Anul 1990, Numar, 429
Cluj, Anul 1991, Numar, 569
Cluj, Anul 1992, Numar, 618
Cluj, Anul 1993, Numar, 825
Cluj, Anul 1994, Numar, 857
Cluj, Anul 1995, Numar, 1106
Cluj, Anul 1996, Numar, 1269
Cluj, Anul 1997, Numar, 1386
Cluj, Anul 1998, Numar, 1633
Cluj, Anul 1999, Numar, 1121
Cluj, Anul 2000, Numar, 1080
Cluj, Anul 2001, Numar, 961
Cluj, Anul 2002, Numar, 967
Cluj, Anul 2003, Numar, 987
Cluj, Anul 2004, Numar, 1104
Cluj, Anul 2005, Numar, 945
Cluj, Anul 2006, Numar, 1117
Cluj, Anul 2007, Numar, 1211
Cluj, Anul 2008, Numar, 1237
Cluj, Anul 2009, Numar, 1426
Cluj, Anul 2010, Numar, 1699
Cluj, Anul 2011, Numar, 1450
Cluj, Anul 2012, Numar, 1654
Cluj, Anul 2013, Numar, 1709
Cluj, Anul 2014, Numar, 2064
Cluj, Anul 2015, Numar, 2130
Cluj, Anul 2016, Numar, 1543
Maramures, Anul 1990, Numar, 372
Maramures, Anul 1991, Numar, 465
Maramures, Anul 1992, Numar, 531
Maramures, Anul 1993, Numar, 900
Maramures, Anul 1994, Numar, 953
Maramures, Anul 1995, Numar, 1011
Maramures, Anul 1996, Numar, 1051
Maramures, Anul 1997, Numar, 1048
Maramures, Anul 1998, Numar, 1067
Maramures, Anul 1999, Numar, 1155
Maramures, Anul 2000, Numar, 1100
Maramures, Anul 2001, Numar, 1123
Maramures, Anul 2002, Numar, 949
Maramures, Anul 2003, Numar, 981
Maramures, Anul 2004, Numar, 907
Maramures, Anul 2005, Numar, 851
Maramures, Anul 2006, Numar, 995
Maramures, Anul 2007, Numar, 1130
Maramures, Anul 2008, Numar, 1090
Maramures, Anul 2009, Numar, 1314
Maramures, Anul 2010, Numar, 1373
Maramures, Anul 2011, Numar, 1169
Maramures, Anul 2012, Numar, 1192
Maramures, Anul 2013, Numar, 1249
Maramures, Anul 2014, Numar, 1643
Maramures, Anul 2015, Numar, 1181
Maramures, Anul 2016, Numar, 1301
Satu Mare, Anul 1990, Numar, 601
Satu Mare, Anul 1991, Numar, 615
Satu Mare, Anul 1992, Numar, 770
Satu Mare, Anul 1993, Numar, 1147
Satu Mare, Anul 1994, Numar, 1119
Satu Mare, Anul 1995, Numar, 1283
Satu Mare, Anul 1996, Numar, 1555
Satu Mare, Anul 1997, Numar, 1762
Satu Mare, Anul 1998, Numar, 1925
Satu Mare, Anul 1999, Numar, 1516
Satu Mare, Anul 2000, Numar, 1567
Satu Mare, Anul 2001, Numar, 1481
Satu Mare, Anul 2002, Numar, 1420
Satu Mare, Anul 2003, Numar, 1282
Satu Mare, Anul 2004, Numar, 1172
Satu Mare, Anul 2005, Numar, 1216
Satu Mare, Anul 2006, Numar, 1064
Satu Mare, Anul 2007, Numar, 1343
Satu Mare, Anul 2008, Numar, 1259
Satu Mare, Anul 2009, Numar, 1639
Satu Mare, Anul 2010, Numar, 1467
Satu Mare, Anul 2011, Numar, 1051
Satu Mare, Anul 2012, Numar, 1384
Satu Mare, Anul 2013, Numar, 1210
Satu Mare, Anul 2014, Numar, 1605
Satu Mare, Anul 2015, Numar, 1246
Satu Mare, Anul 2016, Numar, 997
Salaj, Anul 1990, Numar, 272
Salaj, Anul 1991, Numar, 420
Salaj, Anul 1992, Numar, 496
Salaj, Anul 1993, Numar, 1006
Salaj, Anul 1994, Numar, 806
Salaj, Anul 1995, Numar, 946
Salaj, Anul 1996, Numar, 980
Salaj, Anul 1997, Numar, 1175
Salaj, Anul 1998, Numar, 1242
Salaj, Anul 1999, Numar, 988
Salaj, Anul 2000, Numar, 861
Salaj, Anul 2001, Numar, 931
Salaj, Anul 2002, Numar, 805
Salaj, Anul 2003, Numar, 879
Salaj, Anul 2004, Numar, 955
Salaj, Anul 2005, Numar, 975
Salaj, Anul 2006, Numar, 1024
Salaj, Anul 2007, Numar, 1101
Salaj, Anul 2008, Numar, 1181
Salaj, Anul 2009, Numar, 1418
Salaj, Anul 2010, Numar, 1302
Salaj, Anul 2011, Numar, 1248
Salaj, Anul 2012, Numar, 1452
Salaj, Anul 2013, Numar, 1437
Salaj, Anul 2014, Numar, 1938
Salaj, Anul 2015, Numar, 1390
Salaj, Anul 2016, Numar, 1445
Regiunea CENTRU, Anul 1990, Numar, 316
Regiunea CENTRU, Anul 1991, Numar, 463
Regiunea CENTRU, Anul 1992, Numar, 504
Regiunea CENTRU, Anul 1993, Numar, 840
Regiunea CENTRU, Anul 1994, Numar, 917
Regiunea CENTRU, Anul 1995, Numar, 1095
Regiunea CENTRU, Anul 1996, Numar, 1250
Regiunea CENTRU, Anul 1997, Numar, 1536
Regiunea CENTRU, Anul 1998, Numar, 1822
Regiunea CENTRU, Anul 1999, Numar, 1706
Regiunea CENTRU, Anul 2000, Numar, 1692
Regiunea CENTRU, Anul 2001, Numar, 1637
Regiunea CENTRU, Anul 2002, Numar, 1567
Regiunea CENTRU, Anul 2003, Numar, 1382
Regiunea CENTRU, Anul 2004, Numar, 1143
Regiunea CENTRU, Anul 2005, Numar, 1032
Regiunea CENTRU, Anul 2006, Numar, 1169
Regiunea CENTRU, Anul 2007, Numar, 1378
Regiunea CENTRU, Anul 2008, Numar, 1447
Regiunea CENTRU, Anul 2009, Numar, 1604
Regiunea CENTRU, Anul 2010, Numar, 1566
Regiunea CENTRU, Anul 2011, Numar, 1490
Regiunea CENTRU, Anul 2012, Numar, 1642
Regiunea CENTRU, Anul 2013, Numar, 1638
Regiunea CENTRU, Anul 2014, Numar, 2046
Regiunea CENTRU, Anul 2015, Numar, 1641
Regiunea CENTRU, Anul 2016, Numar, 1606
Alba, Anul 1990, Numar, 341
Alba, Anul 1991, Numar, 468
Alba, Anul 1992, Numar, 548
Alba, Anul 1993, Numar, 877
Alba, Anul 1994, Numar, 915
Alba, Anul 1995, Numar, 1182
Alba, Anul 1996, Numar, 1157
Alba, Anul 1997, Numar, 1333
Alba, Anul 1998, Numar, 2293
Alba, Anul 1999, Numar, 1862
Alba, Anul 2000, Numar, 1666
Alba, Anul 2001, Numar, 1707
Alba, Anul 2002, Numar, 1914
Alba, Anul 2003, Numar, 1697
Alba, Anul 2004, Numar, 1470
Alba, Anul 2005, Numar, 1167
Alba, Anul 2006, Numar, 1330
Alba, Anul 2007, Numar, 1905
Alba, Anul 2008, Numar, 1978
Alba, Anul 2009, Numar, 2207
Alba, Anul 2010, Numar, 2094
Alba, Anul 2011, Numar, 1724
Alba, Anul 2012, Numar, 1892
Alba, Anul 2013, Numar, 2074
Alba, Anul 2014, Numar, 2177
Alba, Anul 2015, Numar, 1969
Alba, Anul 2016, Numar, 2061
Brasov, Anul 1990, Numar, 341
Brasov, Anul 1991, Numar, 516
Brasov, Anul 1992, Numar, 432
Brasov, Anul 1993, Numar, 663
Brasov, Anul 1994, Numar, 691
Brasov, Anul 1995, Numar, 970
Brasov, Anul 1996, Numar, 1287
Brasov, Anul 1997, Numar, 1756
Brasov, Anul 1998, Numar, 1808
Brasov, Anul 1999, Numar, 1901
Brasov, Anul 2000, Numar, 1985
Brasov, Anul 2001, Numar, 1867
Brasov, Anul 2002, Numar, 1803
Brasov, Anul 2003, Numar, 1438
Brasov, Anul 2004, Numar, 889
Brasov, Anul 2005, Numar, 915
Brasov, Anul 2006, Numar, 1107
Brasov, Anul 2007, Numar, 1161
Brasov, Anul 2008, Numar, 1242
Brasov, Anul 2009, Numar, 1407
Brasov, Anul 2010, Numar, 1332
Brasov, Anul 2011, Numar, 1868
Brasov, Anul 2012, Numar, 1921
Brasov, Anul 2013, Numar, 1777
Brasov, Anul 2014, Numar, 2551
Brasov, Anul 2015, Numar, 2425
Brasov, Anul 2016, Numar, 2048
Covasna, Anul 1990, Numar, 293
Covasna, Anul 1991, Numar, 470
Covasna, Anul 1992, Numar, 513
Covasna, Anul 1993, Numar, 905
Covasna, Anul 1994, Numar, 1065
Covasna, Anul 1995, Numar, 1478
Covasna, Anul 1996, Numar, 1772
Covasna, Anul 1997, Numar, 2005
Covasna, Anul 1998, Numar, 2383
Covasna, Anul 1999, Numar, 2138
Covasna, Anul 2000, Numar, 1963
Covasna, Anul 2001, Numar, 1959
Covasna, Anul 2002, Numar, 1820
Covasna, Anul 2003, Numar, 1598
Covasna, Anul 2004, Numar, 1574
Covasna, Anul 2005, Numar, 1234
Covasna, Anul 2006, Numar, 1151
Covasna, Anul 2007, Numar, 1082
Covasna, Anul 2008, Numar, 934
Covasna, Anul 2009, Numar, 1188
Covasna, Anul 2010, Numar, 1151
Covasna, Anul 2011, Numar, 1032
Covasna, Anul 2012, Numar, 1200
Covasna, Anul 2013, Numar, 1011
Covasna, Anul 2014, Numar, 1010
Covasna, Anul 2015, Numar, 1143
Covasna, Anul 2016, Numar, 945
Harghita, Anul 1990, Numar, 184
Harghita, Anul 1991, Numar, 340
Harghita, Anul 1992, Numar, 379
Harghita, Anul 1993, Numar, 793
Harghita, Anul 1994, Numar, 955
Harghita, Anul 1995, Numar, 1146
Harghita, Anul 1996, Numar, 1288
Harghita, Anul 1997, Numar, 1576
Harghita, Anul 1998, Numar, 1883
Harghita, Anul 1999, Numar, 1767
Harghita, Anul 2000, Numar, 1431
Harghita, Anul 2001, Numar, 1318
Harghita, Anul 2002, Numar, 1367
Harghita, Anul 2003, Numar, 1352
Harghita, Anul 2004, Numar, 1229
Harghita, Anul 2005, Numar, 1356
Harghita, Anul 2006, Numar, 1415
Harghita, Anul 2007, Numar, 1455
Harghita, Anul 2008, Numar, 1408
Harghita, Anul 2009, Numar, 1517
Harghita, Anul 2010, Numar, 1680
Harghita, Anul 2011, Numar, 1750
Harghita, Anul 2012, Numar, 1595
Harghita, Anul 2013, Numar, 1586
Harghita, Anul 2014, Numar, 1510
Harghita, Anul 2015, Numar, 1047
Harghita, Anul 2016, Numar, 1113
Mures, Anul 1990, Numar, 330
Mures, Anul 1991, Numar, 456
Mures, Anul 1992, Numar, 551
Mures, Anul 1993, Numar, 866
Mures, Anul 1994, Numar, 1079
