Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
Vaslui, Anul 2000, Numar, 1590
Vaslui, Anul 2001, Numar, 1471
Vaslui, Anul 2002, Numar, 1389
Vaslui, Anul 2003, Numar, 1120
Vaslui, Anul 2004, Numar, 1142
Vaslui, Anul 2005, Numar, 1017
Vaslui, Anul 2006, Numar, 1153
Vaslui, Anul 2007, Numar, 1315
Vaslui, Anul 2008, Numar, 1128
Vaslui, Anul 2009, Numar, 1227
Vaslui, Anul 2010, Numar, 1282
Vaslui, Anul 2011, Numar, 1399
Vaslui, Anul 2012, Numar, 1841
Vaslui, Anul 2013, Numar, 2021
Vaslui, Anul 2014, Numar, 2466
Vaslui, Anul 2015, Numar, 2288
Vaslui, Anul 2016, Numar, 2491
Regiunea SUD-EST, Anul 1990, Numar, 479
Regiunea SUD-EST, Anul 1991, Numar, 701
Regiunea SUD-EST, Anul 1992, Numar, 688
Regiunea SUD-EST, Anul 1993, Numar, 1030
Regiunea SUD-EST, Anul 1994, Numar, 1035
Regiunea SUD-EST, Anul 1995, Numar, 1264
Regiunea SUD-EST, Anul 1996, Numar, 1364
Regiunea SUD-EST, Anul 1997, Numar, 1557
Regiunea SUD-EST, Anul 1998, Numar, 1708
Regiunea SUD-EST, Anul 1999, Numar, 1604
Regiunea SUD-EST, Anul 2000, Numar, 1604
Regiunea SUD-EST, Anul 2001, Numar, 1611
Regiunea SUD-EST, Anul 2002, Numar, 1377
Regiunea SUD-EST, Anul 2003, Numar, 1200
Regiunea SUD-EST, Anul 2004, Numar, 1063
Regiunea SUD-EST, Anul 2005, Numar, 915
Regiunea SUD-EST, Anul 2006, Numar, 968
Regiunea SUD-EST, Anul 2007, Numar, 1225
Regiunea SUD-EST, Anul 2008, Numar, 1234
Regiunea SUD-EST, Anul 2009, Numar, 1229
Regiunea SUD-EST, Anul 2010, Numar, 1188
Regiunea SUD-EST, Anul 2011, Numar, 1087
Regiunea SUD-EST, Anul 2012, Numar, 1524
Regiunea SUD-EST, Anul 2013, Numar, 1583
Regiunea SUD-EST, Anul 2014, Numar, 1925
Regiunea SUD-EST, Anul 2015, Numar, 1718
Regiunea SUD-EST, Anul 2016, Numar, 1905
Braila, Anul 1990, Numar, 575
Braila, Anul 1991, Numar, 921
Braila, Anul 1992, Numar, 951
Braila, Anul 1993, Numar, 1100
Braila, Anul 1994, Numar, 1184
Braila, Anul 1995, Numar, 1398
Braila, Anul 1996, Numar, 1385
Braila, Anul 1997, Numar, 1693
Braila, Anul 1998, Numar, 2007
Braila, Anul 1999, Numar, 1775
Braila, Anul 2000, Numar, 1629
Braila, Anul 2001, Numar, 1559
Braila, Anul 2002, Numar, 1134
Braila, Anul 2003, Numar, 986
Braila, Anul 2004, Numar, 806
Braila, Anul 2005, Numar, 759
Braila, Anul 2006, Numar, 861
Braila, Anul 2007, Numar, 971
Braila, Anul 2008, Numar, 1171
Braila, Anul 2009, Numar, 1080
Braila, Anul 2010, Numar, 1236
Braila, Anul 2011, Numar, 1063
Braila, Anul 2012, Numar, 1363
Braila, Anul 2013, Numar, 1520
Braila, Anul 2014, Numar, 1944
Braila, Anul 2015, Numar, 1668
Braila, Anul 2016, Numar, 2062
Buzau, Anul 1990, Numar, 330
Buzau, Anul 1991, Numar, 533
Buzau, Anul 1992, Numar, 629
Buzau, Anul 1993, Numar, 907
Buzau, Anul 1994, Numar, 1005
Buzau, Anul 1995, Numar, 1261
Buzau, Anul 1996, Numar, 1432
Buzau, Anul 1997, Numar, 1605
Buzau, Anul 1998, Numar, 1650
Buzau, Anul 1999, Numar, 1429
Buzau, Anul 2000, Numar, 1445
Buzau, Anul 2001, Numar, 1480
Buzau, Anul 2002, Numar, 1574
Buzau, Anul 2003, Numar, 1070
Buzau, Anul 2004, Numar, 1049
Buzau, Anul 2005, Numar, 931
Buzau, Anul 2006, Numar, 960
Buzau, Anul 2007, Numar, 1070
Buzau, Anul 2008, Numar, 1217
Buzau, Anul 2009, Numar, 1162
Buzau, Anul 2010, Numar, 1124
Buzau, Anul 2011, Numar, 1030
Buzau, Anul 2012, Numar, 1188
Buzau, Anul 2013, Numar, 1271
Buzau, Anul 2014, Numar, 1704
Buzau, Anul 2015, Numar, 1728
Buzau, Anul 2016, Numar, 1871
Constanta, Anul 1990, Numar, 506
Constanta, Anul 1991, Numar, 749
Constanta, Anul 1992, Numar, 769
Constanta, Anul 1993, Numar, 1186
Constanta, Anul 1994, Numar, 1134
Constanta, Anul 1995, Numar, 1533
Constanta, Anul 1996, Numar, 1422
Constanta, Anul 1997, Numar, 1525
Constanta, Anul 1998, Numar, 1672
Constanta, Anul 1999, Numar, 1476
Constanta, Anul 2000, Numar, 1553
Constanta, Anul 2001, Numar, 1866
Constanta, Anul 2002, Numar, 1431
Constanta, Anul 2003, Numar, 1346
Constanta, Anul 2004, Numar, 1331
Constanta, Anul 2005, Numar, 1028
Constanta, Anul 2006, Numar, 1004
Constanta, Anul 2007, Numar, 1432
Constanta, Anul 2008, Numar, 1341
Constanta, Anul 2009, Numar, 1317
Constanta, Anul 2010, Numar, 1209
Constanta, Anul 2011, Numar, 1023
Constanta, Anul 2012, Numar, 1977
Constanta, Anul 2013, Numar, 2240
Constanta, Anul 2014, Numar, 2424
Constanta, Anul 2015, Numar, 2309
Constanta, Anul 2016, Numar, 2201
Galati, Anul 1990, Numar, 560
Galati, Anul 1991, Numar, 675
Galati, Anul 1992, Numar, 609
Galati, Anul 1993, Numar, 1054
Galati, Anul 1994, Numar, 1038
Galati, Anul 1995, Numar, 1097
Galati, Anul 1996, Numar, 1363
Galati, Anul 1997, Numar, 1619
Galati, Anul 1998, Numar, 1811
Galati, Anul 1999, Numar, 1595
Galati, Anul 2000, Numar, 1472
Galati, Anul 2001, Numar, 1371
Galati, Anul 2002, Numar, 1139
Galati, Anul 2003, Numar, 1007
Galati, Anul 2004, Numar, 818
Galati, Anul 2005, Numar, 677
Galati, Anul 2006, Numar, 859
Galati, Anul 2007, Numar, 1087
Galati, Anul 2008, Numar, 972
Galati, Anul 2009, Numar, 956
Galati, Anul 2010, Numar, 985
Galati, Anul 2011, Numar, 1082
Galati, Anul 2012, Numar, 1294
Galati, Anul 2013, Numar, 1135
Galati, Anul 2014, Numar, 1692
Galati, Anul 2015, Numar, 1404
Galati, Anul 2016, Numar, 1872
Tulcea, Anul 1990, Numar, 392
Tulcea, Anul 1991, Numar, 517
Tulcea, Anul 1992, Numar, 464
Tulcea, Anul 1993, Numar, 828
Tulcea, Anul 1994, Numar, 785
Tulcea, Anul 1995, Numar, 1194
Tulcea, Anul 1996, Numar, 1261
Tulcea, Anul 1997, Numar, 1399
Tulcea, Anul 1998, Numar, 1755
Tulcea, Anul 1999, Numar, 1927
Tulcea, Anul 2000, Numar, 2065
Tulcea, Anul 2001, Numar, 1417
Tulcea, Anul 2002, Numar, 1342
Tulcea, Anul 2003, Numar, 1303
Tulcea, Anul 2004, Numar, 1116
Tulcea, Anul 2005, Numar, 1061
Tulcea, Anul 2006, Numar, 1140
Tulcea, Anul 2007, Numar, 1450
Tulcea, Anul 2008, Numar, 1330
Tulcea, Anul 2009, Numar, 1701
Tulcea, Anul 2010, Numar, 1638
Tulcea, Anul 2011, Numar, 1593
Tulcea, Anul 2012, Numar, 2055
Tulcea, Anul 2013, Numar, 1859
Tulcea, Anul 2014, Numar, 1878
Tulcea, Anul 2015, Numar, 1748
Tulcea, Anul 2016, Numar, 1875
Vrancea, Anul 1990, Numar, 453
Vrancea, Anul 1991, Numar, 772
Vrancea, Anul 1992, Numar, 632
Vrancea, Anul 1993, Numar, 928
Vrancea, Anul 1994, Numar, 906
Vrancea, Anul 1995, Numar, 941
Vrancea, Anul 1996, Numar, 1216
Vrancea, Anul 1997, Numar, 1425
Vrancea, Anul 1998, Numar, 1357
Vrancea, Anul 1999, Numar, 1703
Vrancea, Anul 2000, Numar, 1789
Vrancea, Anul 2001, Numar, 1870
Vrancea, Anul 2002, Numar, 1663
Vrancea, Anul 2003, Numar, 1540
Vrancea, Anul 2004, Numar, 1193
Vrancea, Anul 2005, Numar, 1121
Vrancea, Anul 2006, Numar, 1076
Vrancea, Anul 2007, Numar, 1349
Vrancea, Anul 2008, Numar, 1469
Vrancea, Anul 2009, Numar, 1413
Vrancea, Anul 2010, Numar, 1219
Vrancea, Anul 2011, Numar, 988
Vrancea, Anul 2012, Numar, 1232
Vrancea, Anul 2013, Numar, 1247
Vrancea, Anul 2014, Numar, 1571
Vrancea, Anul 2015, Numar, 1011
Vrancea, Anul 2016, Numar, 1262
MACROREGIUNEA TREI, Anul 1990, Numar, 489
MACROREGIUNEA TREI, Anul 1991, Numar, 641
MACROREGIUNEA TREI, Anul 1992, Numar, 646
MACROREGIUNEA TREI, Anul 1993, Numar, 970
MACROREGIUNEA TREI, Anul 1994, Numar, 1051
MACROREGIUNEA TREI, Anul 1995, Numar, 1274
MACROREGIUNEA TREI, Anul 1996, Numar, 1353
MACROREGIUNEA TREI, Anul 1997, Numar, 1594
MACROREGIUNEA TREI, Anul 1998, Numar, 1787
MACROREGIUNEA TREI, Anul 1999, Numar, 1637
MACROREGIUNEA TREI, Anul 2000, Numar, 1584
MACROREGIUNEA TREI, Anul 2001, Numar, 1548
MACROREGIUNEA TREI, Anul 2002, Numar, 1504
MACROREGIUNEA TREI, Anul 2003, Numar, 1270
MACROREGIUNEA TREI, Anul 2004, Numar, 968
MACROREGIUNEA TREI, Anul 2005, Numar, 911
MACROREGIUNEA TREI, Anul 2006, Numar, 1121
MACROREGIUNEA TREI, Anul 2007, Numar, 1299
MACROREGIUNEA TREI, Anul 2008, Numar, 1322
MACROREGIUNEA TREI, Anul 2009, Numar, 1303
MACROREGIUNEA TREI, Anul 2010, Numar, 1318
MACROREGIUNEA TREI, Anul 2011, Numar, 1159
MACROREGIUNEA TREI, Anul 2012, Numar, 1575
MACROREGIUNEA TREI, Anul 2013, Numar, 1631
MACROREGIUNEA TREI, Anul 2014, Numar, 2421
MACROREGIUNEA TREI, Anul 2015, Numar, 1984
MACROREGIUNEA TREI, Anul 2016, Numar, 1885
Regiunea SUD-MUNTENIA, Anul 1990, Numar, 344
Regiunea SUD-MUNTENIA, Anul 1991, Numar, 549
Regiunea SUD-MUNTENIA, Anul 1992, Numar, 590
Regiunea SUD-MUNTENIA, Anul 1993, Numar, 877
Regiunea SUD-MUNTENIA, Anul 1994, Numar, 1002
Regiunea SUD-MUNTENIA, Anul 1995, Numar, 1206
Regiunea SUD-MUNTENIA, Anul 1996, Numar, 1360
Regiunea SUD-MUNTENIA, Anul 1997, Numar, 1527
Regiunea SUD-MUNTENIA, Anul 1998, Numar, 1686
Regiunea SUD-MUNTENIA, Anul 1999, Numar, 1516
Regiunea SUD-MUNTENIA, Anul 2000, Numar, 1469
Regiunea SUD-MUNTENIA, Anul 2001, Numar, 1292
Regiunea SUD-MUNTENIA, Anul 2002, Numar, 1201
Regiunea SUD-MUNTENIA, Anul 2003, Numar, 1158
Regiunea SUD-MUNTENIA, Anul 2004, Numar, 978
Regiunea SUD-MUNTENIA, Anul 2005, Numar, 904
Regiunea SUD-MUNTENIA, Anul 2006, Numar, 935
Regiunea SUD-MUNTENIA, Anul 2007, Numar, 1222
Regiunea SUD-MUNTENIA, Anul 2008, Numar, 1234
Regiunea SUD-MUNTENIA, Anul 2009, Numar, 1285
Regiunea SUD-MUNTENIA, Anul 2010, Numar, 1326
Regiunea SUD-MUNTENIA, Anul 2011, Numar, 1158
Regiunea SUD-MUNTENIA, Anul 2012, Numar, 1366
Regiunea SUD-MUNTENIA, Anul 2013, Numar, 1398
Regiunea SUD-MUNTENIA, Anul 2014, Numar, 1939
Regiunea SUD-MUNTENIA, Anul 2015, Numar, 1693
Regiunea SUD-MUNTENIA, Anul 2016, Numar, 1561
Arges, Anul 1990, Numar, 221
Arges, Anul 1991, Numar, 469
Arges, Anul 1992, Numar, 446
Arges, Anul 1993, Numar, 556
Arges, Anul 1994, Numar, 674
Arges, Anul 1995, Numar, 828
Arges, Anul 1996, Numar, 911
Arges, Anul 1997, Numar, 1153
Arges, Anul 1998, Numar, 1391
Arges, Anul 1999, Numar, 1220
Arges, Anul 2000, Numar, 1207
Arges, Anul 2001, Numar, 1181
Arges, Anul 2002, Numar, 1288
Arges, Anul 2003, Numar, 1210
Arges, Anul 2004, Numar, 825
Arges, Anul 2005, Numar, 678
Arges, Anul 2006, Numar, 736
Arges, Anul 2007, Numar, 1181
Arges, Anul 2008, Numar, 1179
Arges, Anul 2009, Numar, 1240
Arges, Anul 2010, Numar, 1255
Arges, Anul 2011, Numar, 1173
Arges, Anul 2012, Numar, 1288
Arges, Anul 2013, Numar, 1302
Arges, Anul 2014, Numar, 1994
Arges, Anul 2015, Numar, 1941
Arges, Anul 2016, Numar, 1695
Calarasi, Anul 1990, Numar, 385
Calarasi, Anul 1991, Numar, 481
Calarasi, Anul 1992, Numar, 565
Calarasi, Anul 1993, Numar, 1021
Calarasi, Anul 1994, Numar, 1032
Calarasi, Anul 1995, Numar, 1293
Calarasi, Anul 1996, Numar, 1586
Calarasi, Anul 1997, Numar, 1892
Calarasi, Anul 1998, Numar, 1778
Calarasi, Anul 1999, Numar, 1912
Calarasi, Anul 2000, Numar, 1930
Calarasi, Anul 2001, Numar, 1681
Calarasi, Anul 2002, Numar, 1611
Calarasi, Anul 2003, Numar, 1409
Calarasi, Anul 2004, Numar, 1192
Calarasi, Anul 2005, Numar, 1246
Calarasi, Anul 2006, Numar, 1161
Calarasi, Anul 2007, Numar, 1617
Calarasi, Anul 2008, Numar, 1678
Calarasi, Anul 2009, Numar, 1870
Calarasi, Anul 2010, Numar, 1702
Calarasi, Anul 2011, Numar, 919
Calarasi, Anul 2012, Numar, 1491
Calarasi, Anul 2013, Numar, 1567
Calarasi, Anul 2014, Numar, 2198
Calarasi, Anul 2015, Numar, 1990
Calarasi, Anul 2016, Numar, 1454
Dambovita, Anul 1990, Numar, 281
Dambovita, Anul 1991, Numar, 416
Dambovita, Anul 1992, Numar, 516
Dambovita, Anul 1993, Numar, 929
Dambovita, Anul 1994, Numar, 1077
Dambovita, Anul 1995, Numar, 1192
Dambovita, Anul 1996, Numar, 1350
Dambovita, Anul 1997, Numar, 1533
Dambovita, Anul 1998, Numar, 1625
Dambovita, Anul 1999, Numar, 1378
Dambovita, Anul 2000, Numar, 1362
Dambovita, Anul 2001, Numar, 1362
Dambovita, Anul 2002, Numar, 1331
Dambovita, Anul 2003, Numar, 1347
Dambovita, Anul 2004, Numar, 1384
Dambovita, Anul 2005, Numar, 1223
Dambovita, Anul 2006, Numar, 1150
Dambovita, Anul 2007, Numar, 1186
Dambovita, Anul 2008, Numar, 1066
Dambovita, Anul 2009, Numar, 1130
Dambovita, Anul 2010, Numar, 1402
Dambovita, Anul 2011, Numar, 1097
Dambovita, Anul 2012, Numar, 1425
Dambovita, Anul 2013, Numar, 1550
Dambovita, Anul 2014, Numar, 1869
Dambovita, Anul 2015, Numar, 1454
Dambovita, Anul 2016, Numar, 1558
Giurgiu, Anul 1990, Numar, 325
Giurgiu, Anul 1991, Numar, 541
Giurgiu, Anul 1992, Numar, 714
Giurgiu, Anul 1993, Numar, 1100
Giurgiu, Anul 1994, Numar, 1376
Giurgiu, Anul 1995, Numar, 1560
Giurgiu, Anul 1996, Numar, 1912
Giurgiu, Anul 1997, Numar, 1855
Giurgiu, Anul 1998, Numar, 2014
Giurgiu, Anul 1999, Numar, 1741
Giurgiu, Anul 2000, Numar, 1396
Giurgiu, Anul 2001, Numar, 1185
Giurgiu, Anul 2002, Numar, 956
Giurgiu, Anul 2003, Numar, 979
Giurgiu, Anul 2004, Numar, 931
Giurgiu, Anul 2005, Numar, 789
Giurgiu, Anul 2006, Numar, 912
Giurgiu, Anul 2007, Numar, 1339
Giurgiu, Anul 2008, Numar, 1406
Giurgiu, Anul 2009, Numar, 1312
Giurgiu, Anul 2010, Numar, 1772
Giurgiu, Anul 2011, Numar, 1299
Giurgiu, Anul 2012, Numar, 1328
Giurgiu, Anul 2013, Numar, 1405
Giurgiu, Anul 2014, Numar, 1649
Giurgiu, Anul 2015, Numar, 1193
Giurgiu, Anul 2016, Numar, 1262
Ialomita, Anul 1990, Numar, 395
Ialomita, Anul 1991, Numar, 597
Ialomita, Anul 1992, Numar, 662
Ialomita, Anul 1993, Numar, 888
Ialomita, Anul 1994, Numar, 1122
Ialomita, Anul 1995, Numar, 1525
Ialomita, Anul 1996, Numar, 1809
Ialomita, Anul 1997, Numar, 1940
Ialomita, Anul 1998, Numar, 2047
Ialomita, Anul 1999, Numar, 1744
Ialomita, Anul 2000, Numar, 1906
Ialomita, Anul 2001, Numar, 1559
Ialomita, Anul 2002, Numar, 1349
Ialomita, Anul 2003, Numar, 1324
Ialomita, Anul 2004, Numar, 1125
Ialomita, Anul 2005, Numar, 1099
Ialomita, Anul 2006, Numar, 1236
Ialomita, Anul 2007, Numar, 1492
Ialomita, Anul 2008, Numar, 1511
Ialomita, Anul 2009, Numar, 1620
Ialomita, Anul 2010, Numar, 1419
Ialomita, Anul 2011, Numar, 1498
Ialomita, Anul 2012, Numar, 1382
Ialomita, Anul 2013, Numar, 1513
Ialomita, Anul 2014, Numar, 2323
Ialomita, Anul 2015, Numar, 1806
Ialomita, Anul 2016, Numar, 1671
Prahova, Anul 1990, Numar, 463
Prahova, Anul 1991, Numar, 720
Prahova, Anul 1992, Numar, 645
Prahova, Anul 1993, Numar, 908
Prahova, Anul 1994, Numar, 995
Prahova, Anul 1995, Numar, 1102
Prahova, Anul 1996, Numar, 1211
Prahova, Anul 1997, Numar, 1341
Prahova, Anul 1998, Numar, 1637
Prahova, Anul 1999, Numar, 1540
Prahova, Anul 2000, Numar, 1563
Prahova, Anul 2001, Numar, 1187
Prahova, Anul 2002, Numar, 960
Prahova, Anul 2003, Numar, 943
Prahova, Anul 2004, Numar, 791
Prahova, Anul 2005, Numar, 761
Prahova, Anul 2006, Numar, 795
Prahova, Anul 2007, Numar, 1001
Prahova, Anul 2008, Numar, 1085
Prahova, Anul 2009, Numar, 1168
Prahova, Anul 2010, Numar, 1145
Prahova, Anul 2011, Numar, 1245
Prahova, Anul 2012, Numar, 1601
Prahova, Anul 2013, Numar, 1512
Prahova, Anul 2014, Numar, 2081
Prahova, Anul 2015, Numar, 1815
Prahova, Anul 2016, Numar, 1652
Teleorman, Anul 1990, Numar, 322
Teleorman, Anul 1991, Numar, 529
Teleorman, Anul 1992, Numar, 670
Teleorman, Anul 1993, Numar, 965
Teleorman, Anul 1994, Numar, 1057
Teleorman, Anul 1995, Numar, 1463
Teleorman, Anul 1996, Numar, 1488
Teleorman, Anul 1997, Numar, 1665
Teleorman, Anul 1998, Numar, 1762
Teleorman, Anul 1999, Numar, 1490
Teleorman, Anul 2000, Numar, 1230
Teleorman, Anul 2001, Numar, 1175
Teleorman, Anul 2002, Numar, 1138
Teleorman, Anul 2003, Numar, 1075
Teleorman, Anul 2004, Numar, 833
Teleorman, Anul 2005, Numar, 812
Teleorman, Anul 2006, Numar, 879
Teleorman, Anul 2007, Numar, 1197
Teleorman, Anul 2008, Numar, 1181
Teleorman, Anul 2009, Numar, 1085
Teleorman, Anul 2010, Numar, 1034
Teleorman, Anul 2011, Numar, 877
Teleorman, Anul 2012, Numar, 846
Teleorman, Anul 2013, Numar, 883
Teleorman, Anul 2014, Numar, 1378
Teleorman, Anul 2015, Numar, 1418
Teleorman, Anul 2016, Numar, 1386
Regiunea BUCURESTI - ILFOV, Anul 1990, Numar, 706
Regiunea BUCURESTI - ILFOV, Anul 1991, Numar, 780
Regiunea BUCURESTI - ILFOV, Anul 1992, Numar, 732
Regiunea BUCURESTI - ILFOV, Anul 1993, Numar, 1112
Regiunea BUCURESTI - ILFOV, Anul 1994, Numar, 1126
Regiunea BUCURESTI - ILFOV, Anul 1995, Numar, 1377
Regiunea BUCURESTI - ILFOV, Anul 1996, Numar, 1343
Regiunea BUCURESTI - ILFOV, Anul 1997, Numar, 1696
Regiunea BUCURESTI - ILFOV, Anul 1998, Numar, 1941
Regiunea BUCURESTI - ILFOV, Anul 1999, Numar, 1822
Regiunea BUCURESTI - ILFOV, Anul 2000, Numar, 1759
Regiunea BUCURESTI - ILFOV, Anul 2001, Numar, 1938
Regiunea BUCURESTI - ILFOV, Anul 2002, Numar, 1965
Regiunea BUCURESTI - ILFOV, Anul 2003, Numar, 1442
Regiunea BUCURESTI - ILFOV, Anul 2004, Numar, 954
Regiunea BUCURESTI - ILFOV, Anul 2005, Numar, 922
Regiunea BUCURESTI - ILFOV, Anul 2006, Numar, 1398
Regiunea BUCURESTI - ILFOV, Anul 2007, Numar, 1413
Regiunea BUCURESTI - ILFOV, Anul 2008, Numar, 1450
Regiunea BUCURESTI - ILFOV, Anul 2009, Numar, 1329
Regiunea BUCURESTI - ILFOV, Anul 2010, Numar, 1307
Regiunea BUCURESTI - ILFOV, Anul 2011, Numar, 1160
Regiunea BUCURESTI - ILFOV, Anul 2012, Numar, 1861
Regiunea BUCURESTI - ILFOV, Anul 2013, Numar, 1948
Regiunea BUCURESTI - ILFOV, Anul 2014, Numar, 3070
Regiunea BUCURESTI - ILFOV, Anul 2015, Numar, 2371
Regiunea BUCURESTI - ILFOV, Anul 2016, Numar, 2312
Mun. Bucuresti -incl. SAI, Anul 1990, Numar, 706
Mun. Bucuresti -incl. SAI, Anul 1991, Numar, 780
Mun. Bucuresti -incl. SAI, Anul 1992, Numar, 732
Mun. Bucuresti -incl. SAI, Anul 1993, Numar, 1112
Mun. Bucuresti -incl. SAI, Anul 1994, Numar, 1126
Mun. Bucuresti -incl. SAI, Anul 1995, Numar, 1377
Mun. Bucuresti -incl. SAI, Anul 1996, Numar, 1343
Mun. Bucuresti -incl. SAI, Anul 1997, Numar, 1696
Mun. Bucuresti -incl. SAI, Anul 1998, Numar, 1941
Mun. Bucuresti -incl. SAI, Anul 1999, Numar, 1822
Mun. Bucuresti -incl. SAI, Anul 2000, Numar, 1759
Mun. Bucuresti -incl. SAI, Anul 2001, Numar, 1938
Mun. Bucuresti -incl. SAI, Anul 2002, Numar, 1965
Mun. Bucuresti -incl. SAI, Anul 2003, Numar, 1442
Mun. Bucuresti -incl. SAI, Anul 2004, Numar, 954
Mun. Bucuresti -incl. SAI, Anul 2005, Numar, 922
Mun. Bucuresti -incl. SAI, Anul 2006, Numar, 1398
Mun. Bucuresti -incl. SAI, Anul 2007, Numar, 1413
Mun. Bucuresti -incl. SAI, Anul 2008, Numar, 1450
Mun. Bucuresti -incl. SAI, Anul 2009, Numar, 1329
Mun. Bucuresti -incl. SAI, Anul 2010, Numar, 1307
Mun. Bucuresti -incl. SAI, Anul 2011, Numar, 1160
Mun. Bucuresti -incl. SAI, Anul 2012, Numar, 1861
Mun. Bucuresti -incl. SAI, Anul 2013, Numar, 1948
Mun. Bucuresti -incl. SAI, Anul 2014, Numar, 3070
Mun. Bucuresti -incl. SAI, Anul 2015, Numar, 2371
Mun. Bucuresti -incl. SAI, Anul 2016, Numar, 2312
MACROREGIUNEA PATRU, Anul 1990, Numar, 434
MACROREGIUNEA PATRU, Anul 1991, Numar, 675
MACROREGIUNEA PATRU, Anul 1992, Numar, 738
MACROREGIUNEA PATRU, Anul 1993, Numar, 1022
MACROREGIUNEA PATRU, Anul 1994, Numar, 1166
MACROREGIUNEA PATRU, Anul 1995, Numar, 1505
MACROREGIUNEA PATRU, Anul 1996, Numar, 1701
MACROREGIUNEA PATRU, Anul 1997, Numar, 1793
MACROREGIUNEA PATRU, Anul 1998, Numar, 1971
MACROREGIUNEA PATRU, Anul 1999, Numar, 1803
MACROREGIUNEA PATRU, Anul 2000, Numar, 1724
MACROREGIUNEA PATRU, Anul 2001, Numar, 1593
MACROREGIUNEA PATRU, Anul 2002, Numar, 1529
MACROREGIUNEA PATRU, Anul 2003, Numar, 1388
MACROREGIUNEA PATRU, Anul 2004, Numar, 1123
MACROREGIUNEA PATRU, Anul 2005, Numar, 957
MACROREGIUNEA PATRU, Anul 2006, Numar, 1091
MACROREGIUNEA PATRU, Anul 2007, Numar, 1476
MACROREGIUNEA PATRU, Anul 2008, Numar, 1621
MACROREGIUNEA PATRU, Anul 2009, Numar, 1726
MACROREGIUNEA PATRU, Anul 2010, Numar, 1578
MACROREGIUNEA PATRU, Anul 2011, Numar, 1284
MACROREGIUNEA PATRU, Anul 2012, Numar, 1571
MACROREGIUNEA PATRU, Anul 2013, Numar, 1572
MACROREGIUNEA PATRU, Anul 2014, Numar, 1774
MACROREGIUNEA PATRU, Anul 2015, Numar, 1641
MACROREGIUNEA PATRU, Anul 2016, Numar, 1615
Regiunea SUD-VEST OLTENIA, Anul 1990, Numar, 446
Regiunea SUD-VEST OLTENIA, Anul 1991, Numar, 609
Regiunea SUD-VEST OLTENIA, Anul 1992, Numar, 634
Regiunea SUD-VEST OLTENIA, Anul 1993, Numar, 974
Regiunea SUD-VEST OLTENIA, Anul 1994, Numar, 1084
Regiunea SUD-VEST OLTENIA, Anul 1995, Numar, 1479
Regiunea SUD-VEST OLTENIA, Anul 1996, Numar, 1449
Regiunea SUD-VEST OLTENIA, Anul 1997, Numar, 1601
Regiunea SUD-VEST OLTENIA, Anul 1998, Numar, 1881
Regiunea SUD-VEST OLTENIA, Anul 1999, Numar, 1875
Regiunea SUD-VEST OLTENIA, Anul 2000, Numar, 1775
Regiunea SUD-VEST OLTENIA, Anul 2001, Numar, 1600
Regiunea SUD-VEST OLTENIA, Anul 2002, Numar, 1462
Regiunea SUD-VEST OLTENIA, Anul 2003, Numar, 1387
Regiunea SUD-VEST OLTENIA, Anul 2004, Numar, 1126
Regiunea SUD-VEST OLTENIA, Anul 2005, Numar, 913
Regiunea SUD-VEST OLTENIA, Anul 2006, Numar, 1062
Regiunea SUD-VEST OLTENIA, Anul 2007, Numar, 1491
Regiunea SUD-VEST OLTENIA, Anul 2008, Numar, 1634
Regiunea SUD-VEST OLTENIA, Anul 2009, Numar, 1751
Regiunea SUD-VEST OLTENIA, Anul 2010, Numar, 1607
Regiunea SUD-VEST OLTENIA, Anul 2011, Numar, 1235
Regiunea SUD-VEST OLTENIA, Anul 2012, Numar, 1559
Regiunea SUD-VEST OLTENIA, Anul 2013, Numar, 1597
Regiunea SUD-VEST OLTENIA, Anul 2014, Numar, 1585
Regiunea SUD-VEST OLTENIA, Anul 2015, Numar, 1451
Regiunea SUD-VEST OLTENIA, Anul 2016, Numar, 1543
Dolj, Anul 1990, Numar, 526
Dolj, Anul 1991, Numar, 547
Dolj, Anul 1992, Numar, 591
Dolj, Anul 1993, Numar, 822
Dolj, Anul 1994, Numar, 1028
Dolj, Anul 1995, Numar, 1835
Dolj, Anul 1996, Numar, 1361
Dolj, Anul 1997, Numar, 1472
Dolj, Anul 1998, Numar, 1991
Dolj, Anul 1999, Numar, 2145
Dolj, Anul 2000, Numar, 1954
Dolj, Anul 2001, Numar, 1706
Dolj, Anul 2002, Numar, 1645
Dolj, Anul 2003, Numar, 1564
Dolj, Anul 2004, Numar, 1181
Dolj, Anul 2005, Numar, 876
Dolj, Anul 2006, Numar, 1084
Dolj, Anul 2007, Numar, 1422
Dolj, Anul 2008, Numar, 1458
Dolj, Anul 2009, Numar, 1540
Dolj, Anul 2010, Numar, 1559
Dolj, Anul 2011, Numar, 1287
Dolj, Anul 2012, Numar, 1575
Dolj, Anul 2013, Numar, 1564
Dolj, Anul 2014, Numar, 1861
Dolj, Anul 2015, Numar, 1379
Dolj, Anul 2016, Numar, 1393
Gorj, Anul 1990, Numar, 493
Gorj, Anul 1991, Numar, 688
Gorj, Anul 1992, Numar, 748
Gorj, Anul 1993, Numar, 1053
Gorj, Anul 1994, Numar, 1198
