Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2012, Numar, 36189
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2013, Numar, 30739
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2014, Numar, 28813
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2015, Numar, 31963
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2016, Numar, 31200
Numarul mediu lunar de beneficiari - total, Regiunea CENTRU, Anul 2017, Numar, 29966
Numarul mediu lunar de beneficiari - total, Alba, Anul 2011, Numar, 5921
Numarul mediu lunar de beneficiari - total, Alba, Anul 2012, Numar, 4811
Numarul mediu lunar de beneficiari - total, Alba, Anul 2013, Numar, 3953
Numarul mediu lunar de beneficiari - total, Alba, Anul 2014, Numar, 3756
Numarul mediu lunar de beneficiari - total, Alba, Anul 2015, Numar, 4142
Numarul mediu lunar de beneficiari - total, Alba, Anul 2016, Numar, 3877
Numarul mediu lunar de beneficiari - total, Alba, Anul 2017, Numar, 3620
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2011, Numar, 6231
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2012, Numar, 5299
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2013, Numar, 4429
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2014, Numar, 4264
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2015, Numar, 4910
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2016, Numar, 4780
Numarul mediu lunar de beneficiari - total, Brasov, Anul 2017, Numar, 4701
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2011, Numar, 3185
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2012, Numar, 2911
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2013, Numar, 2608
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2014, Numar, 2550
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2015, Numar, 2987
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2016, Numar, 2983
Numarul mediu lunar de beneficiari - total, Covasna, Anul 2017, Numar, 2774
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2011, Numar, 5650
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2012, Numar, 5440
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2013, Numar, 4726
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2014, Numar, 4693
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2015, Numar, 5235
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2016, Numar, 5349
Numarul mediu lunar de beneficiari - total, Harghita, Anul 2017, Numar, 5069
Numarul mediu lunar de beneficiari - total, Mures, Anul 2011, Numar, 12783
Numarul mediu lunar de beneficiari - total, Mures, Anul 2012, Numar, 11811
Numarul mediu lunar de beneficiari - total, Mures, Anul 2013, Numar, 9697
Numarul mediu lunar de beneficiari - total, Mures, Anul 2014, Numar, 8482
Numarul mediu lunar de beneficiari - total, Mures, Anul 2015, Numar, 9192
Numarul mediu lunar de beneficiari - total, Mures, Anul 2016, Numar, 8968
Numarul mediu lunar de beneficiari - total, Mures, Anul 2017, Numar, 8759
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2011, Numar, 6942
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2012, Numar, 5917
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2013, Numar, 5326
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2014, Numar, 5068
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2015, Numar, 5497
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2016, Numar, 5243
Numarul mediu lunar de beneficiari - total, Sibiu, Anul 2017, Numar, 5043
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2011, Numar, 132179
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2012, Numar, 123173
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2013, Numar, 107054
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2014, Numar, 102632
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2015, Numar, 113594
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2016, Numar, 113091
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA DOI, Anul 2017, Numar, 107386
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2011, Numar, 87035
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2012, Numar, 83411
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2013, Numar, 71831
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2014, Numar, 68954
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2015, Numar, 76090
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2016, Numar, 76289
Numarul mediu lunar de beneficiari - total, Regiunea NORD-EST, Anul 2017, Numar, 72996
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2011, Numar, 16280
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2012, Numar, 16614
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2013, Numar, 14221
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2014, Numar, 13159
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2015, Numar, 14650
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2016, Numar, 14948
Numarul mediu lunar de beneficiari - total, Bacau, Anul 2017, Numar, 14390
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2011, Numar, 10771
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2012, Numar, 9891
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2013, Numar, 7950
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2014, Numar, 7697
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2015, Numar, 9098
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2016, Numar, 9368
Numarul mediu lunar de beneficiari - total, Botosani, Anul 2017, Numar, 9358
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2011, Numar, 16012
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2012, Numar, 14377
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2013, Numar, 12449
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2014, Numar, 11896
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2015, Numar, 12860
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2016, Numar, 13359
Numarul mediu lunar de beneficiari - total, Iasi, Anul 2017, Numar, 12753
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2011, Numar, 12827
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2012, Numar, 11482
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2013, Numar, 10211
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2014, Numar, 9604
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2015, Numar, 10362
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2016, Numar, 10315
Numarul mediu lunar de beneficiari - total, Neamt, Anul 2017, Numar, 9714
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2011, Numar, 13023
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2012, Numar, 14650
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2013, Numar, 13098
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2014, Numar, 13341
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2015, Numar, 15074
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2016, Numar, 14580
Numarul mediu lunar de beneficiari - total, Suceava, Anul 2017, Numar, 13784
