Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2011, Numar, 6434
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2012, Numar, 6919
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2013, Numar, 5821
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2014, Numar, 5407
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2015, Numar, 6021
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2016, Numar, 5882
Numarul mediu lunar de beneficiari - total, Gorj, Anul 2017, Numar, 5308
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2011, Numar, 6735
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2012, Numar, 6957
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2013, Numar, 5687
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2014, Numar, 5264
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2015, Numar, 5654
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2016, Numar, 5317
Numarul mediu lunar de beneficiari - total, Mehedinti, Anul 2017, Numar, 4479
Numarul mediu lunar de beneficiari - total, Olt, Anul 2011, Numar, 9846
Numarul mediu lunar de beneficiari - total, Olt, Anul 2012, Numar, 9309
Numarul mediu lunar de beneficiari - total, Olt, Anul 2013, Numar, 7862
Numarul mediu lunar de beneficiari - total, Olt, Anul 2014, Numar, 7516
Numarul mediu lunar de beneficiari - total, Olt, Anul 2015, Numar, 8463
Numarul mediu lunar de beneficiari - total, Olt, Anul 2016, Numar, 8165
Numarul mediu lunar de beneficiari - total, Olt, Anul 2017, Numar, 7375
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2011, Numar, 8561
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2012, Numar, 7768
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2013, Numar, 6813
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2014, Numar, 6592
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2015, Numar, 7367
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2016, Numar, 6907
Numarul mediu lunar de beneficiari - total, Valcea, Anul 2017, Numar, 5961
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2011, Numar, 12196
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2012, Numar, 10507
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2013, Numar, 9495
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2014, Numar, 9226
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2015, Numar, 10472
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2016, Numar, 9959
Numarul mediu lunar de beneficiari - total, Regiunea VEST, Anul 2017, Numar, 9529
Numarul mediu lunar de beneficiari - total, Arad, Anul 2011, Numar, 2685
Numarul mediu lunar de beneficiari - total, Arad, Anul 2012, Numar, 2773
Numarul mediu lunar de beneficiari - total, Arad, Anul 2013, Numar, 2525
Numarul mediu lunar de beneficiari - total, Arad, Anul 2014, Numar, 2296
Numarul mediu lunar de beneficiari - total, Arad, Anul 2015, Numar, 2521
Numarul mediu lunar de beneficiari - total, Arad, Anul 2016, Numar, 2347
Numarul mediu lunar de beneficiari - total, Arad, Anul 2017, Numar, 2208
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2011, Numar, 3187
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2012, Numar, 2616
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2013, Numar, 2257
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2014, Numar, 2287
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2015, Numar, 2617
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2016, Numar, 2595
Numarul mediu lunar de beneficiari - total, Caras-Severin, Anul 2017, Numar, 2619
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2011, Numar, 3901
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2012, Numar, 2859
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2013, Numar, 2805
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2014, Numar, 2829
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2015, Numar, 3349
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2016, Numar, 3186
Numarul mediu lunar de beneficiari - total, Hunedoara, Anul 2017, Numar, 2951
Numarul mediu lunar de beneficiari - total, Timis, Anul 2011, Numar, 2423
Numarul mediu lunar de beneficiari - total, Timis, Anul 2012, Numar, 2259
Numarul mediu lunar de beneficiari - total, Timis, Anul 2013, Numar, 1908
Numarul mediu lunar de beneficiari - total, Timis, Anul 2014, Numar, 1814
Numarul mediu lunar de beneficiari - total, Timis, Anul 2015, Numar, 1985
Numarul mediu lunar de beneficiari - total, Timis, Anul 2016, Numar, 1831
Numarul mediu lunar de beneficiari - total, Timis, Anul 2017, Numar, 1751
