Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Alba, Anul 2012, Numar persoane, 211206
Alba, Anul 2013, Numar persoane, 215848
Alba, Anul 2014, Numar persoane, 235902
Alba, Anul 2015, Numar persoane, 238487
Alba, Anul 2016, Numar persoane, 255515
Alba, Anul 2017, Numar persoane, 260514
Brasov, Anul 2008, Numar persoane, 415368
Brasov, Anul 2009, Numar persoane, 421722
Brasov, Anul 2010, Numar persoane, 436750
Brasov, Anul 2011, Numar persoane, 490294
Brasov, Anul 2012, Numar persoane, 439443
Brasov, Anul 2013, Numar persoane, 444789
Brasov, Anul 2014, Numar persoane, 475639
Brasov, Anul 2015, Numar persoane, 488000
Brasov, Anul 2016, Numar persoane, 492104
Brasov, Anul 2017, Numar persoane, 535644
Covasna, Anul 2008, Numar persoane, 82157
Covasna, Anul 2009, Numar persoane, 88242
Covasna, Anul 2010, Numar persoane, 89047
Covasna, Anul 2011, Numar persoane, 84446
Covasna, Anul 2012, Numar persoane, 85745
Covasna, Anul 2013, Numar persoane, 85420
Covasna, Anul 2014, Numar persoane, 96011
Covasna, Anul 2015, Numar persoane, 104617
Covasna, Anul 2016, Numar persoane, 107342
Covasna, Anul 2017, Numar persoane, 116138
Harghita, Anul 2008, Numar persoane, 135534
Harghita, Anul 2009, Numar persoane, 131500
Harghita, Anul 2010, Numar persoane, 158895
Harghita, Anul 2011, Numar persoane, 156445
Harghita, Anul 2012, Numar persoane, 155996
Harghita, Anul 2013, Numar persoane, 155748
Harghita, Anul 2014, Numar persoane, 170861
Harghita, Anul 2015, Numar persoane, 173453
Harghita, Anul 2016, Numar persoane, 191037
Harghita, Anul 2017, Numar persoane, 193704
Mures, Anul 2008, Numar persoane, 322067
Mures, Anul 2009, Numar persoane, 321390
Mures, Anul 2010, Numar persoane, 327247
Mures, Anul 2011, Numar persoane, 321408
Mures, Anul 2012, Numar persoane, 324745
Mures, Anul 2013, Numar persoane, 329046
Mures, Anul 2014, Numar persoane, 344227
Mures, Anul 2015, Numar persoane, 340976
Mures, Anul 2016, Numar persoane, 344104
Mures, Anul 2017, Numar persoane, 343414
Sibiu, Anul 2008, Numar persoane, 301535
Sibiu, Anul 2009, Numar persoane, 298793
Sibiu, Anul 2010, Numar persoane, 292240
Sibiu, Anul 2011, Numar persoane, 295521
Sibiu, Anul 2012, Numar persoane, 301814
Sibiu, Anul 2013, Numar persoane, 294097
Sibiu, Anul 2014, Numar persoane, 306953
Sibiu, Anul 2015, Numar persoane, 320317
Sibiu, Anul 2016, Numar persoane, 317927
Sibiu, Anul 2017, Numar persoane, 319812
MACROREGIUNEA DOI, Anul 2008, Numar persoane, 3055805
MACROREGIUNEA DOI, Anul 2009, Numar persoane, 3159379
MACROREGIUNEA DOI, Anul 2010, Numar persoane, 3185833
MACROREGIUNEA DOI, Anul 2011, Numar persoane, 3160712
MACROREGIUNEA DOI, Anul 2012, Numar persoane, 3193563
MACROREGIUNEA DOI, Anul 2013, Numar persoane, 3315929
MACROREGIUNEA DOI, Anul 2014, Numar persoane, 3377327
MACROREGIUNEA DOI, Anul 2015, Numar persoane, 3387792
MACROREGIUNEA DOI, Anul 2016, Numar persoane, 3336558
MACROREGIUNEA DOI, Anul 2017, Numar persoane, 3426065
Regiunea NORD-EST, Anul 2008, Numar persoane, 1341998
Regiunea NORD-EST, Anul 2009, Numar persoane, 1436411
Regiunea NORD-EST, Anul 2010, Numar persoane, 1471864
Regiunea NORD-EST, Anul 2011, Numar persoane, 1472048
Regiunea NORD-EST, Anul 2012, Numar persoane, 1494286
Regiunea NORD-EST, Anul 2013, Numar persoane, 1608025
Regiunea NORD-EST, Anul 2014, Numar persoane, 1612880
Regiunea NORD-EST, Anul 2015, Numar persoane, 1617562
Regiunea NORD-EST, Anul 2016, Numar persoane, 1500331
Regiunea NORD-EST, Anul 2017, Numar persoane, 1531222
Bacau, Anul 2008, Numar persoane, 283051
Bacau, Anul 2009, Numar persoane, 296391
Bacau, Anul 2010, Numar persoane, 305039
Bacau, Anul 2011, Numar persoane, 308831
Bacau, Anul 2012, Numar persoane, 316070
